Code département,Libellé département,Code commune,Libellé commune,Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Numéro de panneau 1,Nuance candidat 1,Nom candidat 1,Prénom candidat 1,Sexe candidat 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Elu 1,Numéro de panneau 2,Nuance candidat 2,Nom candidat 2,Prénom candidat 2,Sexe candidat 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Elu 2,Numéro de panneau 3,Nuance candidat 3,Nom candidat 3,Prénom candidat 3,Sexe candidat 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Elu 3,Numéro de panneau 4,Nuance candidat 4,Nom candidat 4,Prénom candidat 4,Sexe candidat 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,Elu 4
35,Ille-et-Vilaine,35081,Clayes,0001,691,551,"79,74%",140,"20,26%",533,"77,13%","96,73%",9,"1,30%","1,63%",9,"1,30%","1,63%",1,RN,D'ORSANNE,Virginie,FEMININ,102,"14,76%","19,14%",,2,ENS,FAILLÉ,Charlotte,FEMININ,159,"23,01%","29,83%",,4,UG,ROUAUX,Claudia,FEMININ,272,"39,36%","51,03%",élu,,,,,,,,,
35,Ille-et-Vilaine,35088,Corps-Nuds,0001,636,489,"76,89%",147,"23,11%",464,"72,96%","94,89%",16,"2,52%","3,27%",9,"1,42%","1,84%",3,RN,GILOIS,Françoise,FEMININ,135,"21,23%","29,09%",,4,ENS,LE NABOUR,Christine,FEMININ,329,"51,73%","70,91%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35088,Corps-Nuds,0002,769,593,"77,11%",176,"22,89%",566,"73,60%","95,45%",23,"2,99%","3,88%",4,"0,52%","0,67%",3,RN,GILOIS,Françoise,FEMININ,153,"19,90%","27,03%",,4,ENS,LE NABOUR,Christine,FEMININ,413,"53,71%","72,97%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35088,Corps-Nuds,0003,1012,766,"75,69%",246,"24,31%",712,"70,36%","92,95%",47,"4,64%","6,14%",7,"0,69%","0,91%",3,RN,GILOIS,Françoise,FEMININ,209,"20,65%","29,35%",,4,ENS,LE NABOUR,Christine,FEMININ,503,"49,70%","70,65%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35120,Gévezé,0001,993,790,"79,56%",203,"20,44%",774,"77,95%","97,97%",9,"0,91%","1,14%",7,"0,70%","0,89%",1,RN,D'ORSANNE,Virginie,FEMININ,186,"18,73%","24,03%",,2,ENS,FAILLÉ,Charlotte,FEMININ,271,"27,29%","35,01%",,4,UG,ROUAUX,Claudia,FEMININ,317,"31,92%","40,96%",élu,,,,,,,,,
35,Ille-et-Vilaine,35120,Gévezé,0002,898,682,"75,95%",216,"24,05%",671,"74,72%","98,39%",11,"1,22%","1,61%",0,"0,00%","0,00%",1,RN,D'ORSANNE,Virginie,FEMININ,162,"18,04%","24,14%",,2,ENS,FAILLÉ,Charlotte,FEMININ,240,"26,73%","35,77%",,4,UG,ROUAUX,Claudia,FEMININ,269,"29,96%","40,09%",élu,,,,,,,,,
35,Ille-et-Vilaine,35120,Gévezé,0003,971,718,"73,94%",253,"26,06%",700,"72,09%","97,49%",16,"1,65%","2,23%",2,"0,21%","0,28%",1,RN,D'ORSANNE,Virginie,FEMININ,142,"14,62%","20,29%",,2,ENS,FAILLÉ,Charlotte,FEMININ,254,"26,16%","36,29%",,4,UG,ROUAUX,Claudia,FEMININ,304,"31,31%","43,43%",élu,,,,,,,,,
35,Ille-et-Vilaine,35120,Gévezé,0004,882,657,"74,49%",225,"25,51%",634,"71,88%","96,50%",17,"1,93%","2,59%",6,"0,68%","0,91%",1,RN,D'ORSANNE,Virginie,FEMININ,169,"19,16%","26,66%",,2,ENS,FAILLÉ,Charlotte,FEMININ,214,"24,26%","33,75%",,4,UG,ROUAUX,Claudia,FEMININ,251,"28,46%","39,59%",élu,,,,,,,,,
35,Ille-et-Vilaine,35120,Gévezé,0005,618,466,"75,40%",152,"24,60%",458,"74,11%","98,28%",6,"0,97%","1,29%",2,"0,32%","0,43%",1,RN,D'ORSANNE,Virginie,FEMININ,108,"17,48%","23,58%",,2,ENS,FAILLÉ,Charlotte,FEMININ,188,"30,42%","41,05%",,4,UG,ROUAUX,Claudia,FEMININ,162,"26,21%","35,37%",élu,,,,,,,,,
35,Ille-et-Vilaine,35132,Hirel,0001,893,654,"73,24%",239,"26,76%",622,"69,65%","95,11%",25,"2,80%","3,82%",7,"0,78%","1,07%",1,RN,LEMOINE,Dylan,MASCULIN,264,"29,56%","42,44%",,2,DVD,BOURGEAUX,Jean-Luc,MASCULIN,358,"40,09%","57,56%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35132,Hirel,0002,216,162,"75,00%",54,"25,00%",150,"69,44%","92,59%",9,"4,17%","5,56%",3,"1,39%","1,85%",1,RN,LEMOINE,Dylan,MASCULIN,48,"22,22%","32,00%",,2,DVD,BOURGEAUX,Jean-Luc,MASCULIN,102,"47,22%","68,00%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35135,Irodouër,0001,864,623,"72,11%",241,"27,89%",609,"70,49%","97,75%",11,"1,27%","1,77%",3,"0,35%","0,48%",1,RN,D'ORSANNE,Virginie,FEMININ,215,"24,88%","35,30%",,2,ENS,FAILLÉ,Charlotte,FEMININ,222,"25,69%","36,45%",,4,UG,ROUAUX,Claudia,FEMININ,172,"19,91%","28,24%",élu,,,,,,,,,
35,Ille-et-Vilaine,35135,Irodouër,0002,847,611,"72,14%",236,"27,86%",600,"70,84%","98,20%",5,"0,59%","0,82%",6,"0,71%","0,98%",1,RN,D'ORSANNE,Virginie,FEMININ,204,"24,09%","34,00%",,2,ENS,FAILLÉ,Charlotte,FEMININ,212,"25,03%","35,33%",,4,UG,ROUAUX,Claudia,FEMININ,184,"21,72%","30,67%",élu,,,,,,,,,
35,Ille-et-Vilaine,35136,Janzé,0001,886,644,"72,69%",242,"27,31%",605,"68,28%","93,94%",24,"2,71%","3,73%",15,"1,69%","2,33%",3,RN,GILOIS,Françoise,FEMININ,219,"24,72%","36,20%",,4,ENS,LE NABOUR,Christine,FEMININ,386,"43,57%","63,80%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35136,Janzé,0002,858,614,"71,56%",244,"28,44%",587,"68,41%","95,60%",26,"3,03%","4,23%",1,"0,12%","0,16%",3,RN,GILOIS,Françoise,FEMININ,212,"24,71%","36,12%",,4,ENS,LE NABOUR,Christine,FEMININ,375,"43,71%","63,88%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35136,Janzé,0003,771,536,"69,52%",235,"30,48%",511,"66,28%","95,34%",21,"2,72%","3,92%",4,"0,52%","0,75%",3,RN,GILOIS,Françoise,FEMININ,193,"25,03%","37,77%",,4,ENS,LE NABOUR,Christine,FEMININ,318,"41,25%","62,23%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35136,Janzé,0004,786,566,"72,01%",220,"27,99%",538,"68,45%","95,05%",17,"2,16%","3,00%",11,"1,40%","1,94%",3,RN,GILOIS,Françoise,FEMININ,183,"23,28%","34,01%",,4,ENS,LE NABOUR,Christine,FEMININ,355,"45,17%","65,99%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35136,Janzé,0005,696,493,"70,83%",203,"29,17%",456,"65,52%","92,49%",28,"4,02%","5,68%",9,"1,29%","1,83%",3,RN,GILOIS,Françoise,FEMININ,148,"21,26%","32,46%",,4,ENS,LE NABOUR,Christine,FEMININ,308,"44,25%","67,54%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35136,Janzé,0006,775,551,"71,10%",224,"28,90%",522,"67,35%","94,74%",19,"2,45%","3,45%",10,"1,29%","1,81%",3,RN,GILOIS,Françoise,FEMININ,183,"23,61%","35,06%",,4,ENS,LE NABOUR,Christine,FEMININ,339,"43,74%","64,94%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35136,Janzé,0007,751,527,"70,17%",224,"29,83%",488,"64,98%","92,60%",27,"3,60%","5,12%",12,"1,60%","2,28%",3,RN,GILOIS,Françoise,FEMININ,157,"20,91%","32,17%",,4,ENS,LE NABOUR,Christine,FEMININ,331,"44,07%","67,83%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35136,Janzé,0008,807,583,"72,24%",224,"27,76%",553,"68,53%","94,85%",25,"3,10%","4,29%",5,"0,62%","0,86%",3,RN,GILOIS,Françoise,FEMININ,211,"26,15%","38,16%",,4,ENS,LE NABOUR,Christine,FEMININ,342,"42,38%","61,84%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35139,Laillé,0001,854,638,"74,71%",216,"25,29%",561,"65,69%","87,93%",59,"6,91%","9,25%",18,"2,11%","2,82%",3,RN,FRANÇOIS,Jacques,MASCULIN,169,"19,79%","30,12%",,4,UG,HIGNET,Mathilde,FEMININ,392,"45,90%","69,88%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35139,Laillé,0002,841,611,"72,65%",230,"27,35%",537,"63,85%","87,89%",54,"6,42%","8,84%",20,"2,38%","3,27%",3,RN,FRANÇOIS,Jacques,MASCULIN,210,"24,97%","39,11%",,4,UG,HIGNET,Mathilde,FEMININ,327,"38,88%","60,89%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35139,Laillé,0003,845,620,"73,37%",225,"26,63%",539,"63,79%","86,94%",64,"7,57%","10,32%",17,"2,01%","2,74%",3,RN,FRANÇOIS,Jacques,MASCULIN,167,"19,76%","30,98%",,4,UG,HIGNET,Mathilde,FEMININ,372,"44,02%","69,02%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35139,Laillé,0004,817,605,"74,05%",212,"25,95%",532,"65,12%","87,93%",57,"6,98%","9,42%",16,"1,96%","2,64%",3,RN,FRANÇOIS,Jacques,MASCULIN,175,"21,42%","32,89%",,4,UG,HIGNET,Mathilde,FEMININ,357,"43,70%","67,11%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35139,Laillé,0005,881,671,"76,16%",210,"23,84%",603,"68,44%","89,87%",54,"6,13%","8,05%",14,"1,59%","2,09%",3,RN,FRANÇOIS,Jacques,MASCULIN,216,"24,52%","35,82%",,4,UG,HIGNET,Mathilde,FEMININ,387,"43,93%","64,18%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35144,Langan,0001,835,642,"76,89%",193,"23,11%",619,"74,13%","96,42%",19,"2,28%","2,96%",4,"0,48%","0,62%",1,RN,D'ORSANNE,Virginie,FEMININ,209,"25,03%","33,76%",,2,ENS,FAILLÉ,Charlotte,FEMININ,207,"24,79%","33,44%",,4,UG,ROUAUX,Claudia,FEMININ,203,"24,31%","32,79%",élu,,,,,,,,,
35,Ille-et-Vilaine,35150,Lécousse,0001,870,624,"71,72%",246,"28,28%",589,"67,70%","94,39%",20,"2,30%","3,21%",15,"1,72%","2,40%",3,RN,MARION,Tangi,MASCULIN,172,"19,77%","29,20%",,5,ENS,BENOIT,Thierry,MASCULIN,417,"47,93%","70,80%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35150,Lécousse,0002,763,548,"71,82%",215,"28,18%",524,"68,68%","95,62%",19,"2,49%","3,47%",5,"0,66%","0,91%",3,RN,MARION,Tangi,MASCULIN,185,"24,25%","35,31%",,5,ENS,BENOIT,Thierry,MASCULIN,339,"44,43%","64,69%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35150,Lécousse,0003,804,614,"76,37%",190,"23,63%",578,"71,89%","94,14%",24,"2,99%","3,91%",12,"1,49%","1,95%",3,RN,MARION,Tangi,MASCULIN,131,"16,29%","22,66%",,5,ENS,BENOIT,Thierry,MASCULIN,447,"55,60%","77,34%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35150,Lécousse,0004,628,465,"74,04%",163,"25,96%",455,"72,45%","97,85%",6,"0,96%","1,29%",4,"0,64%","0,86%",3,RN,MARION,Tangi,MASCULIN,113,"17,99%","24,84%",,5,ENS,BENOIT,Thierry,MASCULIN,342,"54,46%","75,16%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35160,Loutehel,0001,179,140,"78,21%",39,"21,79%",131,"73,18%","93,57%",3,"1,68%","2,14%",6,"3,35%","4,29%",3,RN,FRANÇOIS,Jacques,MASCULIN,70,"39,11%","53,44%",,4,UG,HIGNET,Mathilde,FEMININ,61,"34,08%","46,56%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35170,Mecé,0001,462,337,"72,94%",125,"27,06%",308,"66,67%","91,39%",25,"5,41%","7,42%",4,"0,87%","1,19%",3,RN,GILOIS,Françoise,FEMININ,124,"26,84%","40,26%",,4,ENS,LE NABOUR,Christine,FEMININ,184,"39,83%","59,74%",élu,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35180,Miniac-sous-Bécherel,0001,582,443,"76,12%",139,"23,88%",432,"74,23%","97,52%",7,"1,20%","1,58%",4,"0,69%","0,90%",1,RN,D'ORSANNE,Virginie,FEMININ,131,"22,51%","30,32%",,2,ENS,FAILLÉ,Charlotte,FEMININ,123,"21,13%","28,47%",,4,UG,ROUAUX,Claudia,FEMININ,178,"30,58%","41,20%",élu,,,,,,,,,
35,Ille-et-Vilaine,35189,Montgermont,0001,897,716,"79,82%",181,"20,18%",702,"78,26%","98,04%",10,"1,11%","1,40%",4,"0,45%","0,56%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,327,"36,45%","46,58%",,4,RN,VANHAECKE,Bérénice,FEMININ,101,"11,26%","14,39%",,5,UG,LAHAIS,Tristan,MASCULIN,274,"30,55%","39,03%",élu,,,,,,,,,
35,Ille-et-Vilaine,35189,Montgermont,0002,846,647,"76,48%",199,"23,52%",632,"74,70%","97,68%",12,"1,42%","1,85%",3,"0,35%","0,46%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,303,"35,82%","47,94%",,4,RN,VANHAECKE,Bérénice,FEMININ,100,"11,82%","15,82%",,5,UG,LAHAIS,Tristan,MASCULIN,229,"27,07%","36,23%",élu,,,,,,,,,
35,Ille-et-Vilaine,35189,Montgermont,0003,892,696,"78,03%",196,"21,97%",679,"76,12%","97,56%",12,"1,35%","1,72%",5,"0,56%","0,72%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,251,"28,14%","36,97%",,4,RN,VANHAECKE,Bérénice,FEMININ,119,"13,34%","17,53%",,5,UG,LAHAIS,Tristan,MASCULIN,309,"34,64%","45,51%",élu,,,,,,,,,
35,Ille-et-Vilaine,35190,Monthault,0001,174,117,"67,24%",57,"32,76%",110,"63,22%","94,02%",3,"1,72%","2,56%",4,"2,30%","3,42%",3,RN,MARION,Tangi,MASCULIN,37,"21,26%","33,64%",,5,ENS,BENOIT,Thierry,MASCULIN,73,"41,95%","66,36%",élu,,,,,,,,,,,,,,,,,,
