Exercice,Outre-mer,Code Insee 2024 Région,Nom 2024 Région,Code Insee 2024 Département,Nom 2024 Département,Code Siren 2024 EPCI,Nom 2024 EPCI,Strate population 2024,Commune rurale,Commune de montagne,Commune touristique,Tranche revenu par habitant,Présence QPV,Code Insee 2024 Commune,Nom 2024 Commune,Catégorie,Code Siren Collectivité,Code Insee Collectivité,Libellé Budget,Agrégat,Montant BP,Montant BA,Montant flux BP-BA,Montant,Montant en millions,Population totale,Montant en € par habitant,Compte 2024 Disponible,ordre_analyse1_section1,ordre_analyse1_section2,ordre_analyse1_section3,ordre_analyse2_section1,ordre_analyse2_section2,ordre_analyse2_section3,ordre_analyse3_section1,ordre_analyse3_section2,ordre_analyse3_section3,ordre_analyse4_section1,annee_join,Population totale du dernier exercice
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35001,Acigné,Commune,213500010,35001,ACIGNE,Achats et charges externes,975831.17,1708441.82,0.0,2684272.99,2.68427299,6574,408.31654852449043,1,,,,,3,,,,,,2017,7051
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,3,Oui,Non,Non,1,Non,35022,Bécherel,Commune,213500226,35022,BECHEREL,Achats et charges externes,127291.3,0.0,0.0,127291.3,0.1272913,715,178.0297902097902,1,,,,,3,,,,,,2017,706
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35024,Betton,Commune,213500242,35024,BETTON,Achats et charges externes,2060203.52,54649.6,0.0,2114853.12,2.1148531200000003,11038,191.5974922993296,1,,,,,3,,,,,,2017,12959
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35032,Bourgbarré,Commune,213500325,35032,BOURGBARRE,Achats et charges externes,709850.66,0.0,0.0,709850.66,0.7098506600000001,3814,186.11711064499215,1,,,,,3,,,,,,2017,4646
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35039,Brécé,Commune,213500390,35039,BRECE,Achats et charges externes,436442.79,74897.07,0.0,511339.86,0.51133986,2141,238.83225595516114,1,,,,,3,,,,,,2017,2191
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,8,Non,Non,Non,2,Non,35047,Bruz,Commune,213500473,35047,BRUZ,Achats et charges externes,3550600.01,674019.22,0.0,4224619.23,4.22461923,17863,236.5011045177182,1,,,,,3,,,,,,2017,20118
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,3,Non,35051,Cesson-Sévigné,Commune,213500515,35051,CESSON-SEVIGNE,Achats et charges externes,4353746.76,0.0,0.0,4353746.76,4.35374676,17934,242.7649581799933,1,,,,,3,,,,,,2017,18212
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35055,Chantepie,Commune,213500556,35055,CHANTEPIE,Achats et charges externes,2463956.84,1178366.23,0.0,3642323.07,3.6423230699999998,10904,334.03549798239175,1,,,,,3,,,,,,2017,10391
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,3,Oui,Non,Non,1,Non,35058,La Chapelle-Chaussée,Commune,213500580,35058,CHAPELLE-CHAUSSEE (LA ),Achats et charges externes,282015.36,0.0,0.0,282015.36,0.28201536,1282,219.98078003120125,1,,,,,3,,,,,,2017,1323
2017,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35059,La Chapelle-des-Fougeretz,Commune,213500598,35059,CHAPELLE-DES-FOUGERETZ (LA ),Achats et charges externes,708435.99,17982.44,0.0,726418.43,0.7264184300000001,4836,150.21059346567412,1,,,,,3,,,,,,2017,4696
