Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2023,Autre établissements d'enseignement universitaire,Public,0353074B,EHESP RENNES,EC HTES ETUD SANTE PUB RENNES,nan,0350095N,EHESP RENNES,EC HTES ETUD SANTE PUB RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11634510265663, -1.7023595504452675",3.0,BAC + 3,22,15,7
2023,Autre établissements d'enseignement universitaire,Public,0353074B,EHESP RENNES,EC HTES ETUD SANTE PUB RENNES,nan,0350095N,EHESP RENNES,EC HTES ETUD SANTE PUB RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11634510265663, -1.7023595504452675",6.0,BAC + 6 et plus,53,27,26
2023,Autre établissements d'enseignement universitaire,Privé,0490811R,UCO,FACULTES LIBRES DE L'OUEST,FACULTES LIBRES DE L'OUEST,0352005P,ISFEC RENNES,ISFEC,RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12559725890972, -1.6654101480183037",4.0,BAC + 4,119,91,28
2023,Autre établissements d'enseignement universitaire,Privé,0490811R,UCO,FACULTES LIBRES DE L'OUEST,FACULTES LIBRES DE L'OUEST,0352005P,ISFEC RENNES,ISFEC,RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12559725890972, -1.6654101480183037",5.0,BAC + 5,118,91,27
2023,"Écoles de commerce, gestion et vente",Privé,0351884H,OF CFA,ORGANISME FORMATION-CFA,FACULTE DES METIERS CCI ILLE-E,0353065S,EC SUP PRIV,ECOLE SUPERIEURE PRIVEE,FERRANDI PARIS - CAMPUS DE REN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11240678296901, -1.687908745798019",1.0,BAC + 1,115,70,45
2023,"Écoles de commerce, gestion et vente",Privé,0351884H,OF CFA,ORGANISME FORMATION-CFA,FACULTE DES METIERS CCI ILLE-E,0353065S,EC SUP PRIV,ECOLE SUPERIEURE PRIVEE,FERRANDI PARIS - CAMPUS DE REN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11240678296901, -1.687908745798019",2.0,BAC + 2,92,55,37
2023,"Écoles de commerce, gestion et vente",Privé,0352275H,EC SUP PR,ECOLE SUPERIEURE PRIVEE,ASSOCIATION ESUP GROUP  - ETAB,0352275H,EC SUP PR,ECOLE SUPERIEURE PRIVEE,ASSOCIATION ESUP GROUP  - ETAB,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35281,Saint-Jacques-de-la-Lande,"48.09281593304075, -1.7042444043551852",1.0,BAC + 1,125,80,45
2023,"Écoles de commerce, gestion et vente",Privé,0352719R,EC SUP PR,SUP OUEST,AFTEC RENNES,0352719R,EC SUP PR,SUP OUEST,AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.090878710729896, -1.6312196784789788",2.0,BAC + 2,97,46,51
2023,"Écoles de commerce, gestion et vente",Privé,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.109897429536595, -1.6656803464516423",1.0,BAC + 1,50,31,19
2023,"Écoles de commerce, gestion et vente",Privé,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.109897429536595, -1.6656803464516423",2.0,BAC + 2,40,29,11
2023,"Écoles de commerce, gestion et vente",Privé,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.109897429536595, -1.6656803464516423",4.0,BAC + 4,242,147,95
2023,"Écoles de commerce, gestion et vente",Privé,0353001X,EC TECH SUP PR,GROUPE AFTEC,IPAC BACHELOR FACTORY RENNES,0353001X,EC TECH SUP PR,GROUPE AFTEC,IPAC BACHELOR FACTORY RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",2.0,BAC + 2,10,1,9
2022,Lycées,Privé,0350777E,LGT PR,LYCEE GEN ET TECHNOL PRIVE,ST MARTIN,0350777E,LGT PR,LYCEE GEN ET TECHNOL PRIVE,ST MARTIN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11662933373054, -1.6791295723203956",1.0,BAC + 1,31,27,4
2022,Lycées,Privé,0350778F,LG PR,LYCEE GENERAL PRIVE,ASSOMPTION,0350778F,LG PR,LYCEE GENERAL PRIVE,ASSOMPTION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12237920961309, -1.6589194034352435",1.0,BAC + 1,82,18,64
