ID,ENSEIGNE,ADRESSE,COMPLEMENT,CODE POSTAL,COMMUNE,NATURE DU DEBIT,geom,area,Département
8184,,76 AVENUE LA CHAUSSAIRIE,TABAC,35131,CHARTRES-DE-BRETAGNE,Ordinaire permanent,"48.032383, -1.711663",35,['35>35131']
8501,BAR TABAC AU BOULOT,5 PLACE DE L' EGLISE,TABAC,35850,ROMILLE,Ordinaire permanent,"48.215649, -1.892129",35,['35>35850']
8434,BAR TABAC LE TREGOR,1 PLACE DU VIEUX MARCHE,TABAC,35830,BETTON,Ordinaire permanent,"48.183308, -1.644706",35,['35>35830']
8340,,154 bis RUE DE NANTES,TABAC,35000,RENNES,Ordinaire permanent,"48.099631, -1.6864400000000002",35,['35>35000']
8586,TABAC PRESSE DU GROS CHENE,4 PLACE DU GROS CHENE,TABAC,35000,RENNES,Ordinaire permanent,"48.122013, -1.681824",35,['35>35000']
8613,TABAC PRESSE LES MARELLES,PLACE DES MARELLES,TABAC,35135,CHANTEPIE,Ordinaire permanent,"48.088142, -1.620772",35,['35>35135']
8315,,4 RUE  D' ESTREES,TABAC,35000,RENNES,Ordinaire permanent,"48.112027, -1.6792500000000001",35,['35>35000']
8541,TABAC PRESSE,22 RUE DE RENNES,TABAC,35132,VEZIN-LE-COQUET,Ordinaire permanent,"48.119287, -1.754117",35,['35>35132']
8440,,14 PL DU DOCTEUR JOLY,TABAC,35170,BRUZ,Ordinaire permanent,"48.024515, -1.746815",35,['35>35170']
8172,,30 RUE DE LA LIBERATION,TABAC,35190,BECHEREL,Ordinaire permanent,"48.29586, -1.9454500000000001",35,['35>35190']
8236,,1 RUE DE LA MEZIERE,TABAC,35850,GEVEZE,Ordinaire permanent,"48.221255, -1.788238",35,['35>35850']
8516,,CTRE COMMERCIAL LA FORGE,TABAC,35760,SAINT-GREGOIRE,Ordinaire permanent,"48.150817, -1.684926",35,['35>35760']
8370,,238 RUE DE NANTES,TABAC,35136,SAINT-JACQUES-DE-LA-LANDE,Ordinaire permanent,"48.095128, -1.6900870000000001",35,['35>35136']
8177,,2 PLACE DE L EGLISE,TABAC,35230,BOURGBARRE,Ordinaire permanent,"47.994911, -1.615395",35,['35>35230']
8196,,1 PLACE DE L'EGLISE,TABAC,35250,CHEVAIGNE,Ordinaire permanent,"48.211072, -1.631323",35,['35>35250']
8485,,1 PLACE DE LA MAIRIE,TABAC,35230,ORGERES,Ordinaire permanent,"47.996212, -1.667724",35,['35>35230']
8534,BAR TABAC LE THORIGNE,3 RUE DE LA MARE PAVEE,TABAC,35235,THORIGNE-FOUILLARD,Ordinaire permanent,"48.153896, -1.579729",35,['35>35235']
8314,,16 PLACE SAINTE ANNE,TABAC,35000,RENNES,Ordinaire permanent,"48.114343, -1.6811180000000001",35,['35>35000']
8499,BAR TABAC LE ZINC,LES LANDES D APIGNE 36 ROUTE NATIONALE,TABAC,35650,LE-RHEU,Ordinaire permanent,"48.095075, -1.769653",35,['35>35650']
8191,TABAC PRESSE,CTE CIAL LE BRETAGNE,TABAC,35131,CHARTRES-DE-BRETAGNE,Ordinaire permanent,,35,['35>35131']
8444,BAR TABAC LE TAMARIS,4 ROUTE DE ST MALO,TABAC,35520,LA-CHAPELLE-DES-FOUGERETZ,Ordinaire permanent,"48.185119, -1.734255",35,['35>35520']
8610,,ALLEE MORVAN LEBESQUE,TABAC DES LONGSCHAMPS,35700,RENNES,Ordinaire permanent,"48.13102, -1.63292",35,['35>35700']
8576,,44 RUE JULES LALLEMAND,TABAC,35200,RENNES,Ordinaire permanent,,35,['35>35200']
8600,TABAC PRESSE,C CAL DE BOURGCHEVREUIL,TABAC,35510,CESSON-SEVIGNE,Ordinaire permanent,"48.118193, -1.606404",35,['35>35510']
