date,adresse,commune,insee,cote_archives,longitude,latitude
1927,28 rue du Général-Margueritte,Rennes,35238,762W,-1.679372,48.099811
1927,43 rue Ginguené,Rennes,35238,762W,-1.681748,48.099064
1927,47 rue du Général-Marguerite,Rennes,35238,762W,-1.679104,48.098974
1927,49 rue du Général-Margueritte,Rennes,35238,762W,-1.679093,48.098891
1927,6 rue du Général-Margueritte,Rennes,35238,762W,-1.679585,48.101255
1927,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1927,rue de la Gomondière,Rennes,35238,762W,-1.647595,48.094876
1927,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1928,15 rue Ginguené,Rennes,35238,762W,-1.684623,48.099064
1928,23 rue Ginguené,Rennes,35238,762W,-1.683797,48.098982
1928,25 rue Gilles-Languedoc,Rennes,35238,762W,-1.68768,48.122221
1928,26 rue Glais-Bizoin,Rennes,35238,762W,-1.669053,48.095666
1928,37 rue Ginguené,Rennes,35238,762W,-1.682154,48.099029
1928,41 rue du Général-Margueritte,Rennes,35238,762W,-1.678837,48.099514
1928,42 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.686588,48.094462
1928,42 rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1928,59 rue Ginguené,Rennes,35238,762W,-1.680493,48.099139
1928,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
sans date,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1928,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1928,rue de la Gomondière,Rennes,35238,762W,-1.647595,48.094876
1928,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1929,rue du Général-Margueritte,Rennes,35238,762W,-1.679207,48.099216
1929,14 rue Ginguené,Rennes,35238,762W,-1.685277,48.098728
1929,17 rue George-Sand,Rennes,35238,762W,-1.668273,48.117665
1929,19 rue du Général-Margueritte,Rennes,35238,762W,-1.679359,48.100655
1929,38bis Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.686853,48.094473
1929,43 rue Ginguené,Rennes,35238,762W,-1.681748,48.099064
1929,48 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.686172,48.094438
1929,52 rue du Général-Margueritte,Rennes,35238,762W,-1.679163,48.098407
