id,teleicare_id,numero_declaration_teleicare,article_procedure,decision,date_decision,date_retrait,nom_commercial,marque,gamme,responsable_mise_sur_marche,adresse_responsable_mise_sur_marche,siret_responsable_mise_sur_marche,vat_responsable_mise_sur_marche,forme_galenique,dose_journaliere,mode_emploi,mises_en_garde,objectif_effet,aromes,facteurs_risques,populations_cibles,plantes,ingredients_inactifs,micro_organismes,additifs,nutriments,autres_ingredients_actifs,substances
320922,73824,2021-9-181,Article 15,Autorisée,2021-09-03T14:00:00+02:00,,complexe drainage,Ar duen,gemmothérapie,EBENE,"{'code_postal': '35000', 'pays': 'FR'}",52322095200015,,Autre : macérât hydro-alcooloique de bourgeon,30 gouttes,15 gouttes matin et soir dilué dans de l'eau,"Précaution d'emploi Femme enceinte , allaitante, enfant de moins de 3 ans  : demander l’avis de votre médecin avant utilisation. Emploi contre-indiqué aux personnes allergiques aux dérivés salicylés ou sous traitement anti-coagulant.  Tenir hors de portée des jeunes enfants.  Ce complément alimentaire n’est pas un médicament et ne se substitue pas à une alimentation équilibrée.Ne pas dépasser la dose journalière  prescrite","[""Détoxifiant / Draineur""]",,"[""Femmes allaitantes"", ""Allergie aux dérivés salicylés"", ""Enfants en bas âge (1 à 3 ans)"", ""Femmes enceintes"", ""Nourrissons (moins de 1 an)"", ""Sous anticoagulants""]",[],"[{""nom"": ""Betula pubescens Ehrh."", ""partie"": ""Bourgeon"", ""preparation"": ""Macérât hydroalcoolique"", ""quantité_par_djr"": 5.4, ""unite"": ""mg""}, {""nom"": ""Calluna vulgaris (L.) Hull"", ""partie"": ""Jeune pousse"", ""preparation"": ""Macérât hydroalcoolique"", ""quantité_par_djr"": 5.4, ""unite"": ""mg""}, {""nom"": ""Castanea sativa Mill."", ""partie"": ""Bourgeon"", ""preparation"": ""Macérât hydroalcoolique"", ""quantité_par_djr"": 5.4, ""unite"": ""mg""}, {""nom"": ""Cedrus libani A. Rich."", ""partie"": ""Jeune pousse"", ""preparation"": ""Macérât hydroalcoolique"", ""quantité_par_djr"": 5.4, ""unite"": ""mg""}, {""nom"": ""Rosmarinus officinalis L."", ""partie"": ""Jeune pousse"", ""preparation"": ""Macérât hydroalcoolique"", ""quantité_par_djr"": 5.4, ""unite"": ""mg""}]",[],[],[],[],"[""Propolis"", ""miel""]",[]
320930,73827,2021-9-184,Article 15,Autorisée,2021-09-03T14:00:00+02:00,,complexe vision,Ar duen,gemmothérapie,EBENE,"{'code_postal': '35000', 'pays': 'FR'}",52322095200015,,Autre : macérât hydro-alcooloique de bourgeon,30 gouttes,15 gouttes matin et soir dilué dans de l'eau,"Précaution d'emploi Femme enceinte , allaitante, enfant de moins de 3 ans  : demander l’avis de votre médecin avant utilisation.   Tenir hors de portée des jeunes enfants.  Ce complément alimentaire n’est pas un médicament et ne se substitue pas à une alimentation équilibrée.Ne pas dépasser la dose journalière  prescrite.","[""Œil / Vision""]",,"[""Femmes allaitantes"", ""Enfants en bas âge (1 à 3 ans)"", ""Femmes enceintes"", ""Nourrissons (moins de 1 an)""]",[],"[{""nom"": ""Cercis siliquastrum L."", ""partie"": ""Bourgeon"", ""preparation"": ""Macérât hydroalcoolique"", ""quantité_par_djr"": 12.6, ""unite"": ""mg""}, {""nom"": ""Vaccinium myrtillus L."", ""partie"": ""Jeune pousse"", ""preparation"": ""Macérât hydroalcoolique"", ""quantité_par_djr"": 12.6, ""unite"": ""mg""}]",[],[],[],[],"[""miel""]",[]
320680,73570,2021-8-1383,Article 15,Autorisée,2021-08-31T14:00:00+02:00,,PRISE DE POIDS,YOUR BODY,,TAYLOR ROBERT,"{'code_postal': '35136', 'pays': 'FR'}",89335058700018,,Gélule,3 GELULES PAR JOUR,"3 gélules par jour après le repas, à avaler avec un verre d'eau (15 cl)",,[],,"[""Femmes allaitantes"", ""Enfants (moins de 12 ans)"", ""Enfants en bas âge (1 à 3 ans)"", ""Femmes enceintes""]",[],"[{""nom"": ""Trigonella foenum-graecum L."", ""partie"": ""Graine"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 1050.0, ""unite"": ""mg""}, {""nom"": ""Zingiber officinale Roscoe"", ""partie"": ""Racine"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 15.0, ""unite"": ""mg""}, {""nom"": ""Spirulina platensis (Gomont) Geitler"", ""partie"": ""Plante entière"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 450.0, ""unite"": ""mg""}]","[""Gélule végétale""]",[],[],[],[],[]
321097,69987,2021-6-831,Article 15,Autorisée,2021-06-14T14:00:00+02:00,,IODE & MAGNESIUM MARINS  ZINC - SELENIUM - MANGANESE,DIVINE ESSENCE THERAPY,,PAUL DE COMBOURG,"{'code_postal': '35160', 'pays': 'FR'}",83814700700028,,Comprimé,1 COMPRIME PAR JOUR,1 COMPRIME PAR JOUR AVEC UN GRAND VERRE D'EAU,Allergène : Iode  Usage déconseillé en association avec un traitement anticoagulant.  Usage pour adultes exclusivement,"[""Autre : ""]",SANS,"[""Adolescents (moins de 18 ans)"", ""Femmes allaitantes"", ""Femmes enceintes"", ""Sous anticoagulants"", ""Utilisation prolongée""]","[""Homme"", ""Femme""]","[{""nom"": ""Fucus vesiculosus L."", ""partie"": ""Thalle"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 150.0, ""unite"": ""mg""}]","[""huile de tournesol""]",[],"[""E460"", ""Citrate de calcium""]","[""Oxyde de magnésium"", ""L-sélénométhionine"", ""Citrate de zinc"", ""Citrate de manganèse""]",[],[]
321098,69988,2021-6-832,Article 15,Autorisée,2021-06-14T14:00:00+02:00,,VITAMINES B12 & B9 - ZINC,DIVINE ESSENCE THERAPY,,PAUL DE COMBOURG,"{'code_postal': '35160', 'pays': 'FR'}",83814700700028,,Comprimé,1 COMPRIME PAR JOUR,1 COMPRIME PAR JOUR AVEC UN GRAND VERRE D'EAU,Utilisation pour adultes uniquement,[],SANS,"[""Adolescents (moins de 18 ans)"", ""Femmes allaitantes"", ""Enfants (moins de 12 ans)"", ""Enfants en bas âge (1 à 3 ans)"", ""Femmes enceintes"", ""Nourrissons (moins de 1 an)""]",[],[],"[""maltodextrine"", ""huile de tournesol""]",[],"[""E460"", ""Citrate de calcium""]","[""Citrate de zinc"", ""Cyanocobalamine"", ""Acide ptéroylmonoglutamique""]","[""Fibres solubles d'acacia""]",[]
321100,69559,2021-6-371,Article 15,Autorisée,2021-06-06T14:00:00+02:00,,CHROME PICOLINATE & VITAMINE C,DIVINE ESSENCE THERAPY,,PAUL DE COMBOURG,"{'code_postal': '35160', 'pays': 'FR'}",83814700700028,,Gélule,1 GELULE PAR JOUR,1 GELULE PAR JOUR AVEC UN GRAND VERRE D'EAU,,[],SANS,"[""Femmes allaitantes"", ""Enfants (moins de 12 ans)"", ""Enfants en bas âge (1 à 3 ans)"", ""Nourrissons (moins de 1 an)""]",[],[],"[""huile de tournesol""]",[],"[""E460"", ""Citrate de calcium"", ""E464""]","[""Picolinate de chrome"", ""Acide L-ascorbique""]",[],[]
302180,50464,2020-4-1657,Article 16,Autorisée,2020-04-29T14:00:00+02:00,,Viapramax,,,MACADAMIA,"{'code_postal': '35000', 'pays': 'FR'}",84251269100010,,Gélule,1 gélule,,,"[""Tonus sexuel""]",,"[""Adolescents (moins de 18 ans)"", ""Maladie rénale"", ""Problèmes cardiaques"", ""Sous anticoagulants"", ""Sous antidépresseurs"", ""Sous antidiabétiques"", ""Sous traitement antihypertenseur"", ""Sous traitement pour la thyroïde""]","[""Homme""]","[{""nom"": ""Plectranthus barbatus Andrews"", ""partie"": ""Racine"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 250.0, ""unite"": ""mg""}, {""nom"": ""Ginkgo biloba L."", ""partie"": ""Feuille"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 500.0, ""unite"": ""mg""}, {""nom"": ""Panax ginseng C.A.Mey."", ""partie"": ""Racine"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 850.0, ""unite"": ""mg""}, {""nom"": ""Ptychopetalum olacoides Benth."", ""partie"": ""Ecorce"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Tribulus terrestris L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 360.0, ""unite"": ""mg""}]","[""Gélule végétale""]",[],[],"[""Oxyde de zinc"", ""D-alpha-tocophérol"", ""Chlorhydrate de thiamine"", ""Riboflavine"", ""Acide nicotinique"", ""D-pantothénate de calcium"", ""Chlorhydrate de pyridoxine"", ""Cyanocobalamine"", ""L-méthylfolate de calcium"", ""Levure enrichie en sélénium""]","[""Arginine"", ""Citrulline""]",[]
302179,50463,2020-4-1656,Article 16,Autorisée,2020-04-29T14:00:00+02:00,,show must go on,,,MACADAMIA,"{'code_postal': '35000', 'pays': 'FR'}",84251269100010,,Gélule,1 gélule,,,"[""Tonus sexuel""]",,"[""Adolescents (moins de 18 ans)"", ""Maladie rénale"", ""Problèmes cardiaques"", ""Sous anticoagulants"", ""Sous antidépresseurs"", ""Sous antidiabétiques"", ""Sous traitement antihypertenseur"", ""Sous traitement pour la thyroïde""]","[""Homme""]","[{""nom"": ""Plectranthus barbatus Andrews"", ""partie"": ""Racine"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 250.0, ""unite"": ""mg""}, {""nom"": ""Ginkgo biloba L."", ""partie"": ""Feuille"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 500.0, ""unite"": ""mg""}, {""nom"": ""Panax ginseng C.A.Mey."", ""partie"": ""Racine"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 850.0, ""unite"": ""mg""}, {""nom"": ""Ptychopetalum olacoides Benth."", ""partie"": ""Ecorce"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Tribulus terrestris L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 360.0, ""unite"": ""mg""}]","[""Gélule végétale""]",[],[],"[""Oxyde de zinc"", ""D-alpha-tocophérol"", ""Chlorhydrate de thiamine"", ""Riboflavine"", ""Acide nicotinique"", ""D-pantothénate de calcium"", ""Chlorhydrate de pyridoxine"", ""Cyanocobalamine"", ""L-méthylfolate de calcium"", ""Levure enrichie en sélénium""]","[""Arginine"", ""Citrulline""]",[]
168483,49916,2020-4-1092,Article 15,Autorisée,2020-04-21T14:00:00+02:00,,Calcilithothamne,,,FOODINNOV,"{'code_postal': '35170', 'pays': 'FR'}",45300531600030,,Comprimé,2100 mg,Prendre 3 comprimés par jour,Les compléments alimentaires ne remplacent pas un régime varié et équilibré ni un mode de vie sain. Ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Il est recommandé pour les femmes enceintes et allaitantes de consulter un professionnel de santé avant toute complémentation.  ,"[""Os""]",,[],[],"[{""nom"": ""Lithothamnion calcareum (Pallas) Areschoug"", ""partie"": ""Thalle"", ""preparation"": ""Autre extrait sec"", ""quantité_par_djr"": 2100.0, ""unite"": ""mg""}]",[],[],"[""E460"", ""E270"", ""E574""]","[""Cholécalciférol"", ""Oxyde de magnésium""]",[],[]
276558,4987,2016-10-403,Article 15,Retiré du marché,,2019-12-09,total vision +,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,2 gélules,2 gélules par jour au moment des repas avec un verre d'eau,Consultez votre médecin en cas de prise simultanée d'anticoagulants.,"[""Œil / Vision""]",,"[""Sous anticoagulants""]",[],"[{""nom"": ""Ginkgo biloba L."", ""partie"": ""Feuille"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 63.6, ""unite"": ""mg""}, {""nom"": ""Ribes nigrum L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 340.0, ""unite"": ""mg""}, {""nom"": ""Tagetes erecta L."", ""partie"": ""Fleur"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 10.0, ""unite"": ""mg""}, {""nom"": ""Vaccinium myrtillus L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 140.0, ""unite"": ""mg""}, {""nom"": ""Vitis vinifera L."", ""partie"": ""Pépin"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 150.0, ""unite"": ""mg""}]",[],[],"[""E464""]","[""Acide L-ascorbique"", ""Gluconate de zinc""]",[],[]
298645,43951,2019-11-318,Article 15,Autorisée,2019-11-08T13:00:00+01:00,,PROSTAPHANE,,,TRIBALLAT NOYAL,"{'code_postal': '35530', 'pays': 'FR'}",70920030700011,,Gélule,1 à 6 gélules,"à avaler telles quelles avec un verre d'eau, au moment des repas","Pour les personnes en hypothyroïdie ou ayant un traitement de la thyroïde, consultez votre médecin avant utilisation","[""Système urinaire""]",,"[""Sous traitement pour la thyroïde""]",[],"[{""nom"": ""Brassica oleracea L."", ""partie"": ""Graine"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 1320.0, ""unite"": ""mg""}]","[""maltodextrine""]",[],"[""E464"", ""E414"", ""E470b""]",[],[],[]
