Session,UAI,Nom de l'établissement,Commune,Code région académique,Région académique,Code académie,Académie,Code département,Département,Secteur,Nb candidats G,Taux de réussite G,VA du taux de réussite G,Nb candidats P,Taux de réussite P,Note à l'écrit G,VA de la note G,Note à l'écrit P,Taux d'accès 6eme 3eme,Part présents 3eme ordinaire total,Part présents 3eme segpa total,Nb mentions AB G,Nb mentions B G,Nb mentions TB G,Nb mentions global G,code_region_insee
2025,0350874K,COLLEGE PRIVE ST YVES,MORDELLES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,163,96.0,0.0,,,12.8,0.5,,92.0,99.0,,31,40,48,119,53
2025,0352069J,COLLEGE PRIVE ST VINCENT-PROVIDENCE,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,187,98.0,0.0,12,42.0,14.4,-0.1,6.5,89.0,98.0,57.0,23,66,89,178,53
2025,0352070K,COLLEGE PRIVE ASSOMPTION,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,249,99.0,1.0,,,13.8,0.0,,94.0,100.0,,23,64,156,243,53
2025,0352541X,COLLEGE THEODORE MONOD,VERN SUR SEICHE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,128,90.0,-4.0,,,11.7,-0.1,,91.0,99.0,,22,32,42,96,53
2025,0352959B,COLLEGE MARIE CURIE,LAILLE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,129,95.0,-1.0,,,13.1,0.3,,96.0,99.0,,24,31,56,111,53
2023,0352260S,COLLEGE FRANCOIS TRUFFAUT,BETTON,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,123,98.0,1.0,8,88.0,13.1,-0.3,9.2,93.0,99.0,,13,29,64,106,53
2023,0351847T,COLLEGE GEORGES BRASSENS,LE RHEU,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,197,95.0,0.0,15,73.0,11.6,-0.6,9.1,91.0,100.0,,32,67,68,167,53
2023,0350963G,COLLEGE DES HAUTES OURMES,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,137,83.0,-4.0,25,52.0,9.9,-0.5,5.7,85.0,96.0,50.0,24,23,37,84,53
2023,0351796M,COLLEGE EMILE ZOLA,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,137,87.0,-6.0,,,11.5,-0.5,,89.0,95.0,,18,25,57,100,53
2023,0350839X,COLLEGE PRIVE SAINT-HELIER,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,124,98.0,0.0,,,12.4,-0.3,,91.0,99.0,,26,37,39,102,53
2024,0300037C,COLLEGE JEAN VILAR,SAINT GILLES,16,OCCITANIE,11,MONTPELLIER,30,GARD,PU,155,67.0,-14.0,9,89.0,8.6,-0.8,6.5,91.0,98.0,53.0,30,24,19,73,76
2023,0300037C,COLLEGE JEAN VILAR,SAINT GILLES,16,OCCITANIE,11,MONTPELLIER,30,GARD,PU,189,81.0,-6.0,8,75.0,10.0,-0.1,4.2,91.0,97.0,50.0,43,31,36,110,76
2024,0351906G,COLLEGE BOURGCHEVREUIL,CESSON SEVIGNE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,168,97.0,0.0,,,12.8,-1.0,,91.0,97.0,,32,40,76,148,53
2024,0350781J,COLLEGE PRIVE NOTRE DAME DU VIEUX COURS,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,107,95.0,-2.0,,,13.0,0.0,,84.0,98.0,,14,36,42,92,53
2025,0350027P,COLLEGE LES GAYEULLES,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,148,89.0,1.0,,,11.5,0.1,,80.0,91.0,,25,42,50,117,53
2025,0350759K,COLLEGE ECHANGE,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,89,92.0,0.0,14,57.0,12.0,-0.4,9.7,91.0,95.0,,14,21,37,72,53
2025,0350760L,COLLEGE CLEUNAY,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,98,85.0,1.0,,,10.5,0.0,,92.0,97.0,,14,16,31,61,53
2025,0350836U,COLLEGE PRIVE ST MARTIN QUARTIER STE GENEVIEVE,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,87,98.0,2.0,,,12.7,0.2,,85.0,99.0,,17,28,30,75,53
2025,0350839X,COLLEGE PRIVE SAINT-HELIER,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,123,88.0,-8.0,,,11.7,-0.3,,93.0,98.0,,24,41,24,89,53
2025,0350852L,COLLEGE PRIVE ST JOSEPH,BRUZ,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,206,96.0,0.0,,,12.4,0.0,,92.0,99.0,,56,59,57,172,53
2025,0350965J,COLLEGE LE LANDRY,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,104,88.0,-3.0,12,58.0,11.8,-0.4,10.4,86.0,96.0,,14,19,49,82,53
2025,0351796M,COLLEGE EMILE ZOLA,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,124,72.0,-13.0,,,9.5,-1.0,,85.0,96.0,,23,23,29,75,53
2025,0351906G,COLLEGE BOURGCHEVREUIL,CESSON SEVIGNE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,175,94.0,-1.0,10,60.0,12.9,0.2,8.9,91.0,97.0,,28,44,79,151,53
2025,0352030S,COLLEGE MORVAN LEBESQUE,MORDELLES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,130,91.0,1.0,,,11.3,0.3,,95.0,98.0,,26,39,33,98,53
2025,0352319F,COLLEGE PRIVE ST GABRIEL,PACE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,245,98.0,1.0,,,13.4,0.5,,93.0,99.0,,42,68,113,223,53
2025,0352589Z,COLLEGE JEAN MOULIN,SAINT JACQUES DE LA LANDE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,93,85.0,0.0,,,10.3,-0.3,,91.0,97.0,,22,14,32,68,53
2025,0352691K,COLLEGE ANDREE RECIPON,ORGERES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,107,89.0,-5.0,8,100.0,12.7,0.5,12.1,90.0,100.0,,24,19,40,83,53
2022,0351906G,COLLEGE BOURGCHEVREUIL,CESSON SEVIGNE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,183,98.0,1.0,8,100.0,13.5,0.8,9.6,91.0,98.0,,22,30,121,173,53
2022,0352959B,COLLEGE MARIE CURIE,LAILLE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,59,100.0,3.0,,,12.7,0.0,,100.0,100.0,,14,14,25,53,53
2022,0351847T,COLLEGE GEORGES BRASSENS,LE RHEU,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,197,89.0,-4.0,15,80.0,10.7,-0.2,8.1,94.0,98.0,,46,59,54,159,53
2022,0350874K,COLLEGE PRIVE ST YVES,MORDELLES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,168,98.0,,6,83.0,12.0,,9.3,92.0,97.0,,31,39,70,140,53
2022,0352691K,COLLEGE ANDREE RECIPON,ORGERES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,103,87.0,-9.0,5,60.0,12.2,0.0,7.9,94.0,96.0,,16,23,44,83,53
2022,0352319F,COLLEGE PRIVE ST GABRIEL,PACE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,243,100.0,2.0,,,13.0,0.5,,96.0,100.0,,47,64,109,220,53
2022,0350963G,COLLEGE DES HAUTES OURMES,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,125,76.0,-8.0,9,89.0,8.8,-0.5,6.8,89.0,94.0,50.0,21,23,30,74,53
2022,0351796M,COLLEGE EMILE ZOLA,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,138,88.0,-4.0,,,11.0,-0.6,,88.0,96.0,,15,35,51,101,53
2022,0350913C,COLLEGE CLOTILDE VAUTIER,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,77,87.0,2.0,10,80.0,10.4,0.5,5.5,84.0,98.0,38.0,16,11,27,54,53
2022,0350835T,COLLEGE PRIVE LA TOUR D'AUVERGNE LA SALLE,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,99,95.0,-2.0,,,12.2,0.1,,97.0,99.0,,16,30,41,87,53
2022,0351638R,COLLEGE ANNE DE BRETAGNE,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,205,95.0,-2.0,,,11.9,-0.7,,89.0,98.0,,27,49,108,184,53
2022,0351851X,COLLEGE LA BINQUENAIS,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,116,79.0,4.0,,,7.6,-0.3,,82.0,96.0,0.0,23,16,20,59,53
