EPCI,Commune,Numéro d'immatriculation,Type de syndic : bénévole / professionnel / non connu,Identification du représentant légal  (raison sociale et le numéro SIRET du syndic professionnel ou Civilité/prénom/ nom du syndic bénévole ou coopératif),Siret représentant légal (si existe),Code APE,Commune du représentant légal,Mandat en cours dans la copropriété,Nom d’usage de la copropriété,Adresse de référence,Numéro et Voie (adresse de référence),Code postal (adresse de référence),Commune (adresse de référence),Adresse complémentaire 1,Adresse complémentaire 2,Adresse complémentaire 3,Nombre d'adresses complémentaires,long,lat,Date du règlement de copropriété,Résidence service,Syndicat coopératif,Syndicat principal ou syndicat secondaire,"Si secondaire, n° d’immatriculation du principal",Nombre d’ASL auxquelles est rattaché le syndicat de copropriétaires,Nombre d’AFUL auxquelles est rattaché le syndicat de copropriétaires,Nombre d’Unions de syndicats auxquelles est rattaché le syndicat de copropriétaires,Nombre total de lots,"Nombre total de lots à usage d’habitation, de bureaux ou de commerces",Nombre de lots à usage d’habitation,Nombre de lots de stationnement,Nombre d'arrêtés relevant du code de la santé publique en cours,Nombre d'arrêtés de péril sur les parties communes en cours,Nombre d'arrêtés sur les équipements communs en cours,Période de construction,Référence Cadastrale 1,Code INSEE commune 1,Préfixe 1,Section 1,Numéro parcelle 1,Référence Cadastrale 2,Code INSEE commune 2,Préfixe 2,Section 2,Numéro parcelle 2,Référence Cadastrale 3,Code INSEE commune 3,Préfixe 3,Section 3,Numéro parcelle 3,Nombre de parcelles cadastrales,nom_qp,code_qp,Copro dans ACV,Copro dans PVD,Copro aidée,Code Officiel Commune,Nom Officiel Commune,Code Officiel Arrondissement Commune,Nom Officiel Arrondissement Commune,Code Officiel EPCI,Nom Officiel EPCI,Code Officiel Département,Nom Officiel Département,Code Officiel Région,Nom Officiel Région
243500139,35238,AB0126250,professionnel,FONCIA ARMOR 41133158000133,41133158000133,6831Z,RENNES,Mandat en cours,VITRE TURMEL,105-107 bd de vitre 35700 RENNES,105-107 bd de vitre,35700,RENNES,105 BD DE VITRE - 105 BD DE VITRE 35700 RENNES,105 bd de vitre 35700 RENNES,32 r joseph turmel 35700 RENNES,4,-1.651256,48.121928,1957-11-06,non,non,oui,,0,0,0,142,61,61,0,0,0,0,DE_1949_A_1960,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0128561,non connu,non connu,,non connu,non connu,Pas de mandat en cours,LE BELVEDERE,1-7 mail louise bourgeois 35000 RENNES,1-7 mail louise bourgeois,35000,RENNES,,,,0,-1.662786,48.102597,2011-11-25,non,non,oui,,0,0,0,173,83,83,90,0,0,0,A_COMPTER_DE_2011,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35055,AB0129635,non connu,non connu,,non connu,non connu,Pas de mandat en cours,CASTELLINA PARC 2 - BAT C&D,5-7 r simone de beauvoir 35135 CHANTEPIE,5-7 r simone de beauvoir,35135,CHANTEPIE,7 RUE SIMONE DE BEAUVOIR - 7 RUE SIMONE DE BEAUVOIR 35135 CHANTEPIE,,,1,-1.608074,48.093261,2003-07-08,non,non,oui,,0,0,0,22,22,22,0,0,0,0,DE_2001_A_2010,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35055,Chantepie,35055,Chantepie,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35352,AB0130294,professionnel,POIRIER SYNDIC 89009945000011,89009945000011,6832A,RENNES,Mandat en cours,009 - VILLA GRAPELLI,2 r sarah vaughan 35770 Vern-sur-Seiche,2 r sarah vaughan,35770,Vern-sur-Seiche,,,,0,-1.614193,48.052433,2006-12-15,non,non,oui,,0,0,0,29,12,12,17,0,0,0,DE_2001_A_2010,35352000AL0337,35352,000,AL,0337,,,,,,,,,,,1,,,Non,Non,Non,35352,Vern-sur-Seiche,35352,Vern-sur-Seiche,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0131367,professionnel,HABITER 35 32164132600046,32164132600046,6832A,RENNES,Mandat en cours,2196 - JANVIER 45,45 av jean janvier 35000 Rennes,45 av jean janvier,35000,Rennes,,,,0,-1.67274,48.105541,2009-04-07,non,non,oui,,0,0,0,5,5,4,0,0,0,0,DE_1949_A_1960,35238000BR0281,35238,000,BR,0281,,,,,,,,,,,1,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500634,35136,AB0136986,professionnel,FONCIA ARMOR 41133158000133,41133158000133,6831Z,RENNES,Mandat en cours,PARC ANNE DE BRETAGNE,"r des primeveres, 35150 Janzé","r des primeveres,",35150,Janzé,31 D RUE DES PRIMEVERES 35150 JANZE,31 C RUE DES PRIMEVERES 35150 JANZE,31B r des primeveres 35150 JANZE,3,-1.509272,47.960914,2004-01-01,non,non,oui,,0,0,0,122,52,52,70,0,0,0,DE_2001_A_2010,35136000AH0490,35136,000,AH,0490,,,,,,,,,,,1,,,Non,Oui,Non,35136,Janzé,35136,Janzé,243500634,CC Roche aux Fées Communauté,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0145979,professionnel,FONCIA ARMOR 41133158000133,41133158000133,6831Z,RENNES,Mandat en cours,4 RUE LOBINEAU,4 r lobineau 35000 RENNES,4 r lobineau,35000,RENNES,,,,0,-1.684321,48.101292,1963-02-04,non,non,oui,,0,0,0,35,13,13,0,0,0,0,AVANT_1949,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0148296,non connu,non connu,,non connu,non connu,Pas de mandat en cours,4 RUE DE LA HERPE,4 r de la herpe 35000 RENNES,4 r de la herpe,35000,RENNES,,,,0,-1.667918,48.101728,1954-05-22,non,non,oui,,0,0,0,22,9,9,4,0,0,0,DE_1949_A_1960,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AB0150813,professionnel,FONCIA ARMOR 41133158000133,41133158000133,6831Z,RENNES,Mandat en cours,10 RUE DE VERN,10 r de vern 35000 RENNES,10 r de vern,35000,RENNES,,,,0,-1.659903,48.101612,1946-12-10,non,non,oui,,0,0,0,16,16,13,0,0,0,0,AVANT_1949,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35051,AB0155457,non connu,non connu,,non connu,non connu,Pas de mandat en cours,JAZZ,42-44 r de rennes 35510 Cesson-Sévigné,42-44 r de rennes,35510,Cesson-Sévigné,42.44.46 Rue de Rennes 35510 CESSON-SÉVIGNÉ,,,1,-1.623356,48.114268,2015-02-18,non,non,oui,,0,0,0,119,45,45,0,0,0,0,NON_CONNUE,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35051,Cesson-Sévigné,35051,Cesson-Sévigné,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
