CI,Département,Commune,Art,Aire géographique,IDA
35238,ILLE-ET-VILAINE,Rennes,,Whisky breton ou Whisky de Bretagne,2379
35245,ILLE-ET-VILAINE,Romillé,,Prés-salés du Mont-Saint-Michel,1674
35245,ILLE-ET-VILAINE,Romillé,,Whisky breton ou Whisky de Bretagne,2379
35250,ILLE-ET-VILAINE,Saint-Armel,,Eau-de-vie de cidre de Bretagne,1449
35250,ILLE-ET-VILAINE,Saint-Armel,,Pommeau de Bretagne,2367
35250,ILLE-ET-VILAINE,Saint-Armel,,Whisky breton ou Whisky de Bretagne,2379
35266,ILLE-ET-VILAINE,Saint-Erblon,,Eau-de-vie de cidre de Bretagne,1449
35266,ILLE-ET-VILAINE,Saint-Erblon,,Pommeau de Bretagne,2367
35266,ILLE-ET-VILAINE,Saint-Erblon,,Whisky breton ou Whisky de Bretagne,2379
35275,ILLE-ET-VILAINE,Saint-Gilles,,Whisky breton ou Whisky de Bretagne,2379
35278,ILLE-ET-VILAINE,Saint-Grégoire,,Prés-salés du Mont-Saint-Michel,1674
35278,ILLE-ET-VILAINE,Saint-Grégoire,,Whisky breton ou Whisky de Bretagne,2379
35281,ILLE-ET-VILAINE,Saint-Jacques-de-la-Lande,,Prés-salés du Mont-Saint-Michel,1674
35281,ILLE-ET-VILAINE,Saint-Jacques-de-la-Lande,,Whisky breton ou Whisky de Bretagne,2379
35315,ILLE-ET-VILAINE,Saint-Sulpice-la-Forêt,,Prés-salés du Mont-Saint-Michel,1674
35315,ILLE-ET-VILAINE,Saint-Sulpice-la-Forêt,,Whisky breton ou Whisky de Bretagne,2379
35334,ILLE-ET-VILAINE,Thorigné-Fouillard,,Eau-de-vie de cidre de Bretagne,1449
35334,ILLE-ET-VILAINE,Thorigné-Fouillard,,Pommeau de Bretagne,2367
35334,ILLE-ET-VILAINE,Thorigné-Fouillard,,Prés-salés du Mont-Saint-Michel,1674
35334,ILLE-ET-VILAINE,Thorigné-Fouillard,,Whisky breton ou Whisky de Bretagne,2379
35352,ILLE-ET-VILAINE,Vern-sur-Seiche,,Eau-de-vie de cidre de Bretagne,1449
35352,ILLE-ET-VILAINE,Vern-sur-Seiche,,Pommeau de Bretagne,2367
35352,ILLE-ET-VILAINE,Vern-sur-Seiche,,Prés-salés du Mont-Saint-Michel,1674
35352,ILLE-ET-VILAINE,Vern-sur-Seiche,,Whisky breton ou Whisky de Bretagne,2379
35353,ILLE-ET-VILAINE,Vezin-le-Coquet,,Prés-salés du Mont-Saint-Michel,1674
35353,ILLE-ET-VILAINE,Vezin-le-Coquet,,Whisky breton ou Whisky de Bretagne,2379
50483,MANCHE,Saint-Gilles,,Calvados,2375
50483,MANCHE,Saint-Gilles,,Camembert de Normandie,1462
50483,MANCHE,Saint-Gilles,,Cidre Cotentin ou Cotentin,1854
50483,MANCHE,Saint-Gilles,,Pommeau de Normandie,2378
50483,MANCHE,Saint-Gilles,,Pont-l'Évêque,1951
