Régions,Domaines,"Établissements 
(Sièges et Sites)",Adresse 1,Adresse 2,CP,Villes,Coordonnées Tel,Sites internet,geoloc,coordonnees_cp,coordonnees_finales
Bretagne,Arts plastiques,"École européenne supérieure d’art de Bretagne 
Rennes, Lorient, Quimper et Brest (4 sites)",34 rue Hoche,,35000,Rennes,02 23 62 22 60,www.eesab.fr - www.erba-rennes.fr,"48.114258, -1.677252","48.1116364246, -1.6816378334","48.114258, -1.677252"
Bretagne,Architecture,École nationale supérieure d’architecture de Bretagne,44 boulevard de Chézy,CS 16427,35000,Rennes,02 99 29 68 00,www.rennes.archi.fr,"48.119544, -1.683595","48.1116364246, -1.6816378334","48.119544, -1.683595"
