idcom,idcomtxt,idreg,idregtxt,iddep,iddeptxt,epci21,epci21txt,scot,aav2020,aav2020txt,aav2020_typo,naf09art10,art09act10,art09hab10,art09mix10,art09inc10,naf10art11,art10act11,art10hab11,art10mix11,art10inc11,naf11art12,art11act12,art11hab12,art11mix12,art11inc12,naf12art13,art12act13,art12hab13,art12mix13,art12inc13,naf13art14,art13act14,art13hab14,art13mix14,art13inc14,naf14art15,art14act15,art14hab15,art14mix15,art14inc15,naf15art16,art15act16,art15hab16,art15mix16,art15inc16,naf16art17,art16act17,art16hab17,art16mix17,art16inc17,naf17art18,art17act18,art17hab18,art17mix18,art17inc18,naf18art19,art18act19,art18hab19,art18mix19,art18inc19,naf19art20,art19act20,art19hab20,art19mix20,art19inc20,naf20art21,art20act21,art20hab21,art20mix21,art20inc21,naf09art21,art09act21,art09hab21,art09mix21,art09inc21,artcom2020,pop13,pop18,pop1318,men13,men18,men1318,emp13,emp18,emp1318,mepart1318,menhab1318,artpop1318,surfcom2021
35065,La Chapelle-Thouarault,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,5443,0,5443,0,0,5443,0,5443,0,0,14170,0,14170,0,0,11966,0,11929,0,37,10942,0,10942,0,0,5806,0,5806,0,0,7627,0,7627,0,0,0,0,0,0,0,3461,0,3461,0,0,0,0,0,0,0,7299,0,7299,0,0,9089,0,9089,0,0,81246,0,81209,0,37,1.05,1945,2195,250,780,910,130,126,143,17,52.81,46.7,111.34,7747765
35066,Chartres-de-Bretagne,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,9013,0,8827,0,186,9014,0,8828,0,186,36634,27207,9427,0,0,5134,1097,4037,0,0,14936,390,14545,0,1,0,0,0,0,0,30978,23740,6747,491,0,1714,0,1714,0,0,1281,0,1281,0,0,7002,3980,3022,0,0,25134,0,25134,0,0,12831,336,12494,0,1,153671,56750,96056,491,374,1.54,7395,8023,628,3376,3855,479,7449,5939,-1510,-210.8,197.22,77.88,10002176
35076,Chavagne,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,408,0,408,0,0,409,0,409,0,0,3599,0,3599,0,0,12753,3084,9669,0,0,13106,2414,10692,0,0,18906,1693,17213,0,0,2782,0,2782,0,0,73028,22130,50898,0,0,13730,0,3614,10116,0,34956,0,34956,0,0,37982,0,37982,0,0,5898,0,5898,0,0,217557,29321,178120,10116,0,1.74,3681,4187,506,1471,1722,251,752,630,-122,10.61,29.46,240.22,12500431
35079,Chevaigné,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,37479,0,34667,2238,574,37480,0,34668,2238,574,2711,0,2711,0,0,13478,0,700,12778,0,13017,0,12256,20,741,8606,1531,6927,148,0,4445,0,2097,2348,0,36861,0,36861,0,0,88,0,88,0,0,5037,0,5037,0,0,384,0,384,0,0,147,0,147,0,0,159733,1531,136543,19770,1889,1.54,1958,2295,337,737,901,164,251,199,-52,17.77,28.16,186.99,10405063
35080,Cintré,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,705,52,653,0,0,706,52,654,0,0,14333,0,0,0,14333,194,0,194,0,0,4788,0,4788,0,0,8177,8107,70,0,0,21124,307,20503,314,0,17071,2465,14606,0,0,33792,5772,28020,0,0,43986,43224,359,403,0,941,0,941,0,0,10831,10831,0,0,0,156648,70810,70788,717,14333,1.84,2186,2344,158,787,847,60,140,170,30,10.59,8.83,537.67,8517206
35081,Clayes,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,0,0,0,0,0,0,0,0,0,0,10399,0,10399,0,0,1961,0,1961,0,0,3731,0,3731,0,0,13107,0,13107,0,0,0,0,0,0,0,142,0,142,0,0,42572,0,42572,0,0,866,0,866,0,0,375,0,375,0,0,2924,0,2924,0,0,76077,0,76077,0,0,1.76,718,906,188,255,329,74,54,57,3,12.93,12.43,316.77,4322179
35088,Corps-Nuds,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,15487,1451,13986,49,1,15488,1451,13986,50,1,11678,0,11678,0,0,26791,0,26791,0,0,14953,10019,4934,0,0,15156,0,15156,0,0,34903,17410,17493,0,0,12917,0,12917,0,0,3520,0,3520,0,0,31391,20999,10392,0,0,1778,0,1778,0,0,71149,11620,59529,0,0,255211,62950,192160,99,2,1.11,3176,3369,193,1228,1311,83,551,640,89,21.12,15.36,422.02,22917829
35120,Gévezé,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,11408,231,10294,882,1,11408,231,10295,883,-1,7809,2058,5085,665,1,55414,12071,43342,0,1,13309,810,12499,0,0,6326,1826,4500,0,0,17324,9206,8118,0,0,78023,841,77182,0,0,49108,2399,45553,1156,0,9088,0,9088,0,0,58393,0,58393,0,0,40032,0,38544,1488,0,357642,29673,322893,5074,2,1.29,4843,5411,568,1909,2176,267,628,688,60,19.93,18.06,288.89,27705835
35131,L'Hermitage,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,8011,3333,4678,0,0,8012,3333,4679,0,0,7770,0,5770,2000,0,46764,37720,9044,0,0,19977,17693,2284,0,0,14393,0,14393,0,0,6578,0,6578,0,0,29554,21370,8184,0,0,33005,0,33005,0,0,4758,0,4758,0,0,3624,0,3624,0,0,15223,13374,1849,0,0,197669,96823,98846,2000,0,2.85,4042,4533,491,1663,1970,307,1687,1902,215,50.43,47.64,210.81,6943135
35132,Hirel,53,Bretagne,35,Ille-et-Vilaine,243500782,CA du Pays de Saint Malo Agglomération,SCoT des Communautés du Pays de Saint-Malo,088,088,T02_20,21226,431,20225,570,0,21226,431,20225,570,0,7716,0,7716,0,0,2644,0,2644,0,0,2845,0,2845,0,0,5417,0,4777,640,0,4699,0,4699,0,0,3407,0,3407,0,0,1731,0,1731,0,0,8224,0,8224,0,0,5461,0,5461,0,0,4340,0,4340,0,0,88936,862,86294,1780,0,0.90,1350,1390,40,574,607,33,172,164,-8,13.81,18.9,452.48,9887637
35135,Irodouër,53,Bretagne,35,Ille-et-Vilaine,200038990,CC de Saint-Méen Montauban,SCoT du Pays de Brocéliande,013,013,T45_20,29690,0,23497,6193,0,29690,0,23497,6193,0,12837,0,12837,0,0,8640,1867,5043,0,1730,1942,0,1942,0,0,9986,1973,8013,0,0,0,0,0,0,0,2330,2124,206,0,0,0,0,0,0,0,28130,1200,26930,0,0,0,0,0,0,0,83,39,44,0,0,123328,7203,102009,12386,1730,0.52,2169,2262,93,817,870,53,234,204,-30,16.13,52.16,153.31,23556431
35136,Janzé,53,Bretagne,35,Ille-et-Vilaine,243500634,CC Roche aux Fées Communauté,SCoT du Pays de Vitré,013,013,T45_20,29243,14478,14673,91,1,29243,14478,14673,92,0,8655,0,8655,0,0,126731,13669,113062,0,0,23977,2495,21482,0,0,25270,0,25270,0,0,30815,21579,9236,0,0,178593,50068,128525,0,0,27930,10616,17314,0,0,28816,4920,23894,0,2,24076,1694,22382,0,0,9312,3984,5328,0,0,542661,137981,404494,183,3,1.31,8232,8329,97,3326,3419,93,3162,3037,-125,-1.12,4.61,2954.48,41557653
35139,Laillé,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,86852,36796,46609,3447,0,86853,36796,46610,3447,0,40723,397,40326,0,0,37666,0,37666,0,0,33579,0,33579,0,0,13704,0,13704,0,0,4860,0,4360,500,0,22388,0,22388,0,0,11436,0,11436,0,0,37365,32776,4589,0,0,49119,13613,35506,0,0,27406,0,23818,3386,202,451951,120378,320591,10780,202,1.41,4951,5069,118,1901,2057,156,1091,1189,98,29.55,18.25,728.53,32067375
35144,Langan,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,2030,0,2030,0,0,2030,0,2030,0,0,8918,0,8918,0,0,181,0,181,0,0,0,0,0,0,0,43162,4217,38945,0,0,1358,0,0,1358,0,0,0,0,0,0,597,0,597,0,0,128,0,128,0,0,0,0,0,0,0,250,250,0,0,0,58654,4467,52829,1358,0,0.75,922,1010,88,356,395,39,101,55,-46,-1.55,9.86,512.69,7785267
35150,Lécousse,53,Bretagne,35,Ille-et-Vilaine,200072452,CA Fougères Agglomération,SCoT du Pays de Fougères,172,172,T02_20,464,0,464,0,0,465,0,465,0,0,4956,116,4840,0,0,50774,0,50774,0,0,31993,30107,1886,0,0,20219,13740,6479,0,0,15113,8100,7013,0,0,6333,4491,1842,0,0,2978,2590,388,0,0,59184,21453,37730,0,1,3589,0,3589,0,0,10729,1500,9229,0,0,206797,82097,124699,0,1,1.86,3058,3241,183,1260,1404,144,1243,1452,209,46.06,81.78,418.78,11115869
35160,Loutehel,53,Bretagne,35,Ille-et-Vilaine,200043990,CC Vallons de Haute-Bretagne Communauté,SCoT du Pays des vallons de Vilaine,431,431,T01_20,20726,0,17902,1272,1552,20726,0,17902,1272,1552,1553,0,1553,0,0,1630,0,1630,0,0,0,0,0,0,0,1200,0,1200,0,0,0,0,0,0,0,4231,500,3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,2380,0,0,0,52446,2880,43918,2544,3104,0.72,246,253,7,109,113,4,28,10,-18,-25.78,8.11,775.86,7246301
35170,Mecé,53,Bretagne,35,Ille-et-Vilaine,200039022,CA Vitré Communauté,SCoT du Pays de Vitré,013,013,T45_20,10238,3682,6490,0,66,10239,3683,6491,0,65,1177,0,1177,0,0,1130,0,1130,0,0,874,0,695,0,179,24956,0,24956,0,0,1594,0,524,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,900,0,0,2910,0,2910,0,0,54018,7365,45273,0,1380,0.33,590,607,17,236,240,4,73,36,-37,-12.03,1.53,1613.18,16221218
35180,Miniac-sous-Bécherel,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,4765,500,4265,0,0,4765,500,4265,0,0,900,748,152,0,0,24137,2181,17413,3249,1294,0,0,0,0,0,3294,0,3294,0,0,568,0,568,0,0,1693,0,1693,0,0,3814,0,3814,0,0,1927,0,1927,0,0,1664,0,1664,0,0,1500,0,0,1500,0,49027,3929,39055,4749,1294,0.36,744,784,40,284,300,16,102,100,-2,14.94,17.08,234.23,13582935
