Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202400004706,4,GARENNES (RUE DES),0,N/A, -1,0,0,2,0,0,3,, -1,1,9,4,1
202400006323,4,RUE DE RENNES,0,N/A,2,2,0,1, -1, -1,1,, -1,1,0,1,30
202400006356,4,BUROSPACE,0,N/A,2,2,0,1,1,0,1,, -1,1,0,1,50
202400006356,4,"GISY (ROUTE, JUSQU'A BUROSPACE)",0,N/A,2,2,0,1,1,0,1,, -1,1,0,1,50
202400006713,4,RUE DE RENNES,0,N/A,2,2,2,1, -1, -1,1,, -1,1,0,5,30
202400007679,4,CHE DES CENDRENNES,0,N/A,1,1,0,1,0,0,1,, -1,1,0,1,50
202400009542,2,RN 166 -SENS RENNES / VANNES-,0,N/A,2,3,0,1,0,160,1,, -1,1,0,1,50
202400010744,4,CHANTEPIE (RUE DE),0,N/A,2,2,0,1, -1, -1,1,, -1,1,5,1,50
202400010962,4,RENNES,0,N/A,2,3,3,1,1,0,1,, -1,1,0,1,50
202400015854,3,saint gilles route de D38,0,N/A,2,2,0,1,4,650,1,,7,1,0,1,80
202400015873,3,saint gilles route de D38,0,N/A,2,2,0,1, -1, -1,1,, -1,1,0,1,80
202400018790,4,GARENNES (RUE LES),0,N/A,2,2,0,1, -1, -1,1,, -1,1,0,1,50
202400021418,2,RN 166 -SENS RENNES / VANNES-,0,N/A,3,4,0,2,1,410,2,,10,1,0,1,90
202400022824,4,RUE DES VARENNES,0,N/A,2,2,0,1,0,0,1,, -1,1,0,1,50
202400024035,4,RUE DE RENNES,0,N/A,2,2,0,1, -1, -1,1,, -1,1,0,1,30
202400024474,3,saint gilles route de D38,0,N/A,2,2,0,1,3,600,3,,7,1,0,1,70
202400024794,4,MONTGERMONT (ROND POINT DE),0,N/A,1,3,0,1, -1, -1,2,,7,1,0,1,50
202400030256,7,CHANTEPIE (ROUTE DE),0,N/A,2,2,0,1,7,104,1,,5,1,0,3,80
202400031671,4,ROUTE DE RENNES,0,N/A,2,2,3,2, -1, -1,1,, -1,1,0,1,50
202400033368,4,CHANTEPIE (RUE DE),0,N/A,2,2,0,1, -1, -1,1,, -1,2,0,1,50
202400034834,4,RUE DE RENNES,0,N/A,2,3,3,1, -1, -1,1,, -1,1,0,1,30
202400035329,3,VARENNES (ROUTE DE),0,N/A, -1,2,0,1, -1, -1,1,, -1,2,0,1,80
202400036347,2,RENNES (RTE DE) RN 137,0,N/A,3,4,0,1,30,221,1,,"10,5",2,9,1,110
202400036675,4,BETTON (ROND POINT DE),0,N/A,2,2,0,1, -1, -1,1,, -1,1,0,3,50
202400038409,4,HAUTES VARENNES (RUE DES),0,N/A,2,2,0,1, -1, -1,3,, -1,2,0,1,50
202400042612,4,RUE DE RENNES,0,N/A,2,3,0,1, -1, -1,1,, -1,2,0,1,30
202400042967,4,SAINT GILLES (RUE),0,N/A,1,1,0,1,0,0,1,, -1,1,0,1,50
202400043718,4,RUE DE RENNES,0,N/A,2,4,0,1, -1, -1,1,, -1,2,0,1,30
202400044433,4,ROUTE DE RENNES,0,N/A,3,3,3,1, -1, -1,1,, -1,1,9,8,30
202400046791,4,RUE DE RENNES,0,N/A,2,3,3,1,98, -1,1,, -1,1,0,1,30
202400049766,4,STALINGRAD  - ESPACE TETE D'Or - (Boulev,0,N/A,2,5,1,1, -1, -1,1,, -1,1,0,1,50
202400052546,3,RUE DU LAVOIR VARENNES,0,N/A,2,3,0,1,49,533,1,,"10,5",2,0,1,50
202400053312,4,GRANDES GARENNES,0,N/A,2,2,0,1, -1, -1,1,, -1,1,0,1,50
202400054130,4,RUE DE RENNES,0,N/A,2,4,3,1, -1, -1,1,, -1,1,0,1,30
