Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
201900006297,4,RENNES (RUE DE),0,,1,1,1,1,0,0,2,,,1,9,1,50
201900007569,6,"GISY (ROUTE, JUSQU'A BUROSPACE)",0,,2,2,0,1,0,0,1,,,1,0,1,30
201900010440,4,RUE DE RENNES,0,,2,3,0,1,0,0,1,,,1,0,1,50
201900010452,4,RUE DE RENNES,0,,2,3,0,1,0,0,1,,,1,0,1,50
201900013614,4,SAINT GILLES ROUTE DE,0,,2,2,0,1,0,0,1,,,1,0,1,50
201900017290,4,RENNES (RUE DE),0,,1,2,1,1,0,0,2,,,1,0,1,50
201900019550,4,L'HERMITAGE,0,,1,1,0,1,0,0,1,,,1,0,1,50
201900019756,4,RUE SAINT GILLES,0,,1,1,0,1,0,0,1,,,1,0,1,50
201900023748,4,CHANTEPIE (RUE DE),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900027277,4,VARENNES (ROUTE DE ),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900028040,4,RUE DE RENNES,0,,2,2,0,1,0,0,1,,,2,0,1,50
201900033034,4,RUE DE RENNES,0,,2,2,0,1,92,0,1,,,1,0,1,50
201900033064,4,RUE SAINT GILLES,0,,1,1,0,2,0,0,1,,,1,0,1,30
201900033446,4,RUE SAINT GILLES,0,,1,1,0,1,0,0,1,,,1,0,1,50
201900038120,4,RUE DE RENNES,0,,2,2,0,1,0,0,1,,,2,0,1,50
201900038592,4,SAINT-ARMEL (RPT DE),0,,2,2,0,1,0,0,3,,,2,0,1,50
201900045339,4,RUE DE RENNES,0,,2,2,0,1,143,0,1,,,2,0,1,50
201900046069,4,GARENNES (RUE DES),0,,2,1,0,2,0,0,3,,,2,2,1,50
201900046166,4,RUE DE RENNES,0,,2,3,0,1,93,0,1,,,2,0,1,50
201900047709,4,RUE DE RENNES,0,,2,4,0,1,0,0,1,,,1,0,1,30
201900050562,4,GARENNES(CHEMIN DE),0,,2,2,0,2,0,0,1,,,1,0,1,30
201900055048,4,RUE DE RENNES,0,,2,2,1,1,0,0,1,,,1,0,5,50
201900058332,4,RENNES,0,, -1,2,0,1,0,0,1,,,1,0,1,50
