Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202000001389,4,GRANDES VARENNES   AVENUE DES,0,N/A,2,2,0,1,1,0,1,, -1,1,0,1,50
202000005144,4,REPUBLIQUE (ESPACE DE LA ),0,N/A,1,1,0,1,0,0,1,, -1,1,9,8,30
202000005814,4,RENNES (RUE DE),0,N/A,1,1,0,1,(1),(1),1,, -1,1,5,8,30
202000021047,4,RENNES (RUE DE),0,N/A,2,4,0,1,(1),(1),1,, -1,1,0,1,30
202000027128,4,RENNES (RUE DE),0,N/A,1,4,3,1,0,0,1,, -1,1,0,4,50
202000028467,4,GRANDES VARENNES   AVENUE DES,0,N/A,1,1,0,1,0,0,1,, -1,1,0,1,30
202000029993,4,SAINT GILLES (ROUTE),0,N/A,2,3,0,1,0,0,1,, -1,1,0,1,50
202000030090,4,rue de Rennes,0,N/A,2,2, -1,1,(1),(1),1,, -1,2,0,1,50
202000038783,4,RUE DES VARENNES,0,N/A,2,2,0,1,(1),(1),1,, -1,2,0,1,50
202000039446,4,ROUTE DE SAINT GILLES ,0,N/A,2,2,0,1,(1),(1),1,, -1,1,5,1,50
