Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202300000791,4,RUE DE RENNES,0,N/A,2,2,1,1, -1, -1,1,, -1,1,0,5,30
202300003274,4,RUE DE RENNES,0,N/A,2,4,2,1, -1, -1,1,, -1,1,0,1,30
202300004288,4,MONTGERMONT (ROND POINT DE),0,N/A,1,1,0,1, -1, -1,2,, -1,1,0,1,30
202300004481,4,GRANDES VARENNES   AVENUE DES,0,N/A,1,1,0,1, -1, -1,1,, -1,1,9,1,30
202300004753,4,RUE SAINT GILLES,0,N/A,1,1,0,1, -1, -1,1,, -1,1,0,1,30
202300006008,3,GRANDES VARENNES (RUE DES),0,N/A,2,2,0,1, -1, -1,2,, -1,1,5,1,70
202300007794,4,CHANTEPIE (RUE DE),0,N/A,1,1,0,1, -1, -1,1,, -1,1,0,1,50
202300009268,4,SAINT-BENOIT (ET ESPACE),0,N/A,2,2,0,1,0,0,3,, -1,2,9,1,30
202300009419,4,RENNES,0,N/A,2,2,2,1, -1, -1,1,, -1,1,0,1,50
202300009789,3,saint gilles route de D38,0,N/A,2,2,0,1,4,900,2,, -1,1,0,1,80
202300009809,4,RUE SAINT GILLES,0,N/A,1,1,0,1, -1, -1,1,, -1,1,0,1,30
202300009850,4,RUE DE VARENNES,0,N/A, -1,2,0,1,0,1,1,, -1,1,0,1,30
202300011024,4,STALINGRAD  - ESPACE TETE D'Or - (Boulev,0,N/A,2,4,0,1, -1, -1,1,, -1,1,0,1,50
202300011766,4,RENNES (RUE DE),0,N/A,2,2,0,1,0,0,1,, -1,1,0,1,50
202300014947,3,VARENNES (ROUTE DE ),0,N/A,2,2,0,1,39,800,1,,"5,5",1,0,1,90
202300018410,4,CHANTEPIE (RUE DE),0,N/A,2,2,0,1, -1, -1,1,, -1,2,5,1,50
202300019899,4,RUE DE RENNES,0,N/A,1,2,0,1, -1, -1,1,, -1,1,0,1,30
202300024776,4,RUE DE RENNES,0,N/A,2,4,0,1, -1, -1,1,, -1,2,0,1,30
202300028981,4,RUE SAINT GILLES,0,N/A,1,1,0,1, -1, -1,1,, -1,1,0,1,30
202300030534,4,RUE DE RENNES,0,N/A,2,0,0,1, -1, -1,1,, -1,1,0,1,30
202300030537,4,RUE DE RENNES,0,N/A,2,2,0,1, -1, -1,1,, -1,1,0,1,30
202300031110,4,RUE DE RENNES,0,N/A,2,2,0,1, -1, -1,1,, -1,1,0,1,30
202300034842,3,VARENNES (ROUTE DE),0,N/A,2,2,0,1,28,720,1,,"5,5",2,0,1,80
202300035001,3,VARENNES (ROUTE DE ),0,N/A,2,2,0,1,39,100,1,, -1,1,0,1,90
202300035163,4,RUE SAINT GILLES,0,N/A,1,1,0,2, -1, -1,1,, -1,2, -1,6,30
202300039541,4,RENNES (RUE DE),0,N/A,2,2,3,1, -1, -1,1,, -1,1,0,1,50
202300040778,4,CHANTEPIE (RUE DE),0,N/A,2,2,0,1, -1, -1,1,, -1,2,0,1,50
202300041954,6,CENTRE ESPACE,0,N/A, -1, -1,0,1, -1, -1,1,, -1,1,9,8,30
202300045588,4,RUE DE RENNES,0,N/A,2,3,0,1, -1, -1,1,, -1,2,0,1,30
202300045592,4,RUE DE RENNES,0,N/A, -1,2,3,1, -1, -1,1,, -1,1,0,1,30
202300048619,4,RUE DE RENNES,0,N/A,2,2,1,1, -1, -1,1,, -1,1,0,1,30
202300049110,4,RENNES,0,N/A,2,2,0,1, -1, -1,1,, -1,2,0,1,30
