Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202100000873,3,saint gilles route de D38,0,N/A,2,2,0,1,1,0,2,, -1,1,0,1,80
202100003432,4,RUE DE RENNES,0,N/A,1,2,0,1,(1),(1),1,, -1,1,0,1,30
202100004077,3,RENNES (RUE DE),0,N/A,2,2,0,1,1,0,1,, -1,1,0,1,30
202100005530,4,RUE DE RENNES,0,N/A,2,3,3,2,(1),(1),1,, -1,1,0,1,30
202100007620,7,BETTON (ROND POINT DE),0,N/A,1,1,2,2,8,200,1,, -1,1,0,5,50
202100007842,4,GARENNES (CHEMIN DES),0,N/A,2,1,0,2,0,1,4,, -1,9,0,8,50
202100009767,2,RENNES (RTE DE) RN 137,0,N/A,3,0,0,1,33,273,1,, -1,1,0,8,110
202100010532,4,RENNES (RUE DE),0,N/A,3,2,3,1,(1),(1),1,, -1,1,0,1,30
202100011841,4,RUE DE RENNES,0,N/A,2,3,1,1,(1),(1),1,, -1,1,0,1,30
202100016237,4,RUE DE RENNES,0,N/A,2,4,0,1,(1),(1),1,, -1,1,0,1,30
202100019175,4,RENNES (RUE DE),0,N/A,2,4,1,1,0,0,1,, -1,1,0,1,50
202100019882,4,RENNES (RUE DE),0,N/A,2,2,0,1,1,0,1,, -1,2,0,1,50
202100020584,4,ESPACE LUMIERE-DELATTRE DE TASSIGNY,0,N/A,1,2,0,1,0,0,1,, -1,1,0,1,50
202100023438,3,RENNES (RUE DE),0,N/A,2,2,0,1,0,0,1,, -1,1,0,1,50
202100025120,4,RENNES (RUE DE),0,N/A,3,2,3,1,(1),(1),1,, -1,1,0,1,50
202100027065,7,MONTGERMONT (ROND POINT DE),0,N/A,4,4,0,2,5,910,2,, -1,1,9,1,80
202100027072,3,RENNES (RUE DE),0,N/A,2,2,0,1,0,0,1,, -1,1,0,1,50
202100027198,5,STALINGRAD  - ESPACE TETE D'Or - (Boulev,0,N/A, -1,0,0,1,(1),(1),1,, -1,1,0,8,30
202100028677,4,RUE DE RENNES,0,N/A, -1,2,1,1,(1),(1),1,, -1,1,0,5,30
202100029295,3,RD 57 VERS RENNES,0,N/A,2,2,0,1,1,0,1,, -1,1,0,1,90
202100029616,4,RUE DE RENNES,0,N/A,2,4,0,1,(1),(1),1,, -1,2,0,1,50
202100030222,4,RUE DE RENNES,0,N/A,2,4,0,1,(1),(1),1,, -1,1,0,1,50
202100034051,4,RD 900 VERS RENNES,0,N/A,2,2,0,1,(1),(1),3,, -1,1,0,1,50
202100037426,4,ROUTE DE RENNES,0,N/A,2,2,2,1,(1),(1),1,, -1,1,0,5,50
202100038761,3,ROND POINT DE L'ESPACE,0,N/A,2,2,0,1,0,10,1,, -1,1,0,1,50
202100041798,4,RENNES (ROND POINT DE),0,N/A,1,3,0,1,(1),(1),2,, -1,1,5,1,50
202100042030,4,ROUTE DE RENNES,0,N/A,2,5,2,2,(1),(1),1,, -1,1,0,1,50
202100043013,4,VAL SAINT GREGOIRE (RUE DU),0,N/A,2,2,0,1,1,0,1,, -1,1,0,8,50
202100048418,3,saint gilles route de D38,0,N/A, -1,2,0,1,1,0,1,, -1,1,0,1,80
202100049127,4,RUE DE RENNES,0,N/A, -1,2,0,2,(1),(1),1,, -1,2,0,1,30
202100050460,4,VARENNES (RU DES),0,N/A,2,2,0,1,(1),(1),1,, -1,1,0,1,50
