declaration_creation,declaration_modification,declarant_ID_sibil,declarant_nom,declarant_nom_usuel,declarant_statut,demandeur_ID_sibil,demandeur_role,declarant_siret,declarant_code_postal,declarant_ville,declarant_departement,declarant_region,declarant_numero_dossier,declarant_numero_licence,declaration_ID_sibil,declaration_ID_externe,declaration_date_representation,declaration_statut,declaration_cause_erreur,declaration_gestionnaires_multiples,festival_ID_parent_sibil,festival_nom_parent,festival_ID_sibil,festival_nom,festival_ville,festival_code_postal,festival_date_creation,festival_statut,festival_contributeur_ID_sibil,festival_validateur_ID_sibil,festival_cause_erreur_adresse,lieu_ID_parent_sibil,lieu_nom_parent,lieu_ID_sibil,lieu_nom,lieu_nom_usuel,lieu_adresse,lieu_code_postal,lieu_ville,lieu_siret,lieu_departement_code,lieu_departement_nom,lieu_date_creation,lieu_statut,lieu_contributeur_ID_sibil,lieu_validateur_ID_sibil,lieu_cause_erreur_adresse
2025-03-31,2025-03-31,2641,MAISON DES JEUNES ET CULTURE DE PACE,,Activé,3356,ROLE_SIB,30593736900026,35740,PACE,Ille-et-Vilaine,Bretagne,31372,PLATESV-R-2020-000949,384570,229,2024-12-17,CLOTURE,,false,,,,,,,,,,,,,,11393,ESCAPADE,,6 AVENUE CHARLES LE GOFFIC,35740,PACÉ,,35,Ille-et-Vilaine,2021-09-24,VALIDE,3356,5239,
2024-12-22,2024-12-22,1291,ASSOCIATION LILLICO,,Activé,6234,ROLE_SIB,78975485000038,35000,RENNES,Ille-et-Vilaine,Bretagne,,PLATESV-D-2020-000183,351855,/event_dates/1492725,2024-12-16,CLOTURE,,false,,,,,,,,,,,,,,16849,SALLE GUY ROPARTZ,,14 RUE GUY ROPARTZ,35700,RENNES,,35,Ille-et-Vilaine,2023-01-16,VALIDE,1551,,
2024-12-21,2024-12-21,3284,COMEDIE DE RENNES,,Activé,4315,ROLE_SIB,90319904000010,35700,RENNES,Ille-et-Vilaine,Bretagne,,PLATESV-D-2022-003733,351734,/event_dates/1739204,2024-12-15,CLOTURE,,false,,,,,,,,,,,,,,14581,COMÉDIE DE RENNES,,31 RUE XAVIER GRALL,35700,RENNES,,35,Ille-et-Vilaine,2022-06-24,VALIDE,4314,,
2025-04-02,2025-04-02,1125,CARTEL CONCERTS,,Activé,1278,ROLE_DECLARANT1,80023696000038,35200,RENNES,Ille-et-Vilaine,Bretagne,DOS20168997,3-1072466,365919,,2024-12-14,CLOTURE,,false,,,,,,,,,,,,18106,LE 4 BIS,16451,LE 4BIS,,4BIS COURS DES ALLIÉS,35000,RENNES,,35,Ille-et-Vilaine,2022-12-14,FUSIONNE,967,,
2024-12-20,2024-12-20,3284,COMEDIE DE RENNES,,Activé,4315,ROLE_SIB,90319904000010,35700,RENNES,Ille-et-Vilaine,Bretagne,,PLATESV-D-2022-003733,350841,/event_dates/1739148,2024-12-14,CLOTURE,,false,,,,,,,,,,,,,,14581,COMÉDIE DE RENNES,,31 RUE XAVIER GRALL,35700,RENNES,,35,Ille-et-Vilaine,2022-06-24,VALIDE,4314,,
2025-06-21,2025-06-21,3780,LA PAILLETTE,,Activé,5001,ROLE_SIB,77774969800034,35000,RENNES,Ille-et-Vilaine,Bretagne,52745,PLATESV-R-2020-009633,414271,/event_dates/1953663,2025-06-15,CLOTURE,,false,,,,,,,,,,,,2868,ASS MJC LA PAILLETTE,9054,LA PAILLETTE,,2 RUE DU PRÉ DE BRIS,35000,RENNES,,35,Ille-et-Vilaine,2020-11-30,FUSIONNE,1551,89,
2025-06-21,2025-06-21,3780,LA PAILLETTE,,Activé,5001,ROLE_SIB,77774969800034,35000,RENNES,Ille-et-Vilaine,Bretagne,52745,PLATESV-R-2020-009633,414270,/event_dates/1953656,2025-06-15,CLOTURE,,false,,,,,,,,,,,,2868,ASS MJC LA PAILLETTE,9054,LA PAILLETTE,,2 RUE DU PRÉ DE BRIS,35000,RENNES,,35,Ille-et-Vilaine,2020-11-30,FUSIONNE,1551,89,
2025-07-17,2025-07-17,176,ANTIPODE MJC RENNES,ANTIPODE,Activé,3639,ROLE_SIB,77774999500018,35000,RENNES,Ille-et-Vilaine,Bretagne,,3-1019092,422922,declaration_437_2025_2,2025-06-14,CLOTURE,,false,,,,,,,,,,,,,,13768,ANTIPODE,Antipode - PARVIS AGNÈS VARDA,75 AVENUE JULES MANIEZ,35000,RENNES,,35,Ille-et-Vilaine,2022-05-04,VALIDE,3639,5238,
2025-07-15,2025-07-15,4281,JOYISSIMA,,Activé,5741,ROLE_DECLARANT1,89539474000016,35700,RENNES,Ille-et-Vilaine,Bretagne,PLATESV-D-2021-006638,PLATESV-D-2021-006638,420631,,2025-06-14,CLOTURE,,false,,,3154,Joy Connection,PORNICHET,44380,2024-01-16,VALIDE,5741,,,,,26520,ÉGLISE SAINT PAUL,,58 BOULEVARD EMILE BROODCOORENS,44600,SAINT-NAZAIRE,,44,Loire-Atlantique,2025-07-15,VALIDE,5741,,
2025-07-17,2025-07-17,176,ANTIPODE MJC RENNES,ANTIPODE,Activé,3639,ROLE_SIB,77774999500018,35000,RENNES,Ille-et-Vilaine,Bretagne,,3-1019092,422923,declaration_436_2025_2,2025-06-14,CLOTURE,,false,,,,,,,,,,,,,,13768,ANTIPODE,Antipode - PARVIS AGNÈS VARDA,75 AVENUE JULES MANIEZ,35000,RENNES,,35,Ille-et-Vilaine,2022-05-04,VALIDE,3639,5238,
