code_geo,nb_ventes_maison,moy_prix_m2_maison,med_prix_m2_maison,nb_ventes_appartement,moy_prix_m2_appartement,med_prix_m2_appartement,nb_ventes_local,moy_prix_m2_local,med_prix_m2_local,nb_ventes_apt_maison,moy_prix_m2_apt_maison,med_prix_m2_apt_maison,annee_mois,libelle_geo,code_parent,echelle_geo
35275,11,2757,2785,6,2042,2077,1,2073,2073,17,2505,2422,2021-07,Saint-Gilles,243500139,commune
35275,6,2754,2764,6,2280,2085,,,,12,2517,2602,2021-08,Saint-Gilles,243500139,commune
35275,4,2237,2336,1,2003,2003,,,,5,2190,2236,2021-09,Saint-Gilles,243500139,commune
35275,4,2343,2326,2,2418,2418,1,1257,1257,6,2368,2399,2021-10,Saint-Gilles,243500139,commune
35275,2,2894,2894,2,2491,2491,1,1029,1029,4,2693,2812,2021-11,Saint-Gilles,243500139,commune
35275,5,2644,2850,3,1481,1977,,,,8,2208,2036,2021-12,Saint-Gilles,243500139,commune
35278,3,2992,3041,1,2472,2472,,,,4,2862,2756,2021-01,Saint-Gregoire,243500139,commune
35278,7,3448,3336,3,3170,3066,2,3516,3516,10,3364,3313,2021-02,Saint-Gregoire,243500139,commune
35278,4,5039,4962,4,3335,3352,4,2112,2168,8,4187,3972,2021-03,Saint-Gregoire,243500139,commune
35278,8,3567,3615,4,3586,3582,1,864,864,12,3574,3582,2021-04,Saint-Gregoire,243500139,commune
35278,8,2479,2815,2,2763,2763,,,,10,2536,2763,2021-05,Saint-Gregoire,243500139,commune
35278,5,3389,3688,1,3490,3490,5,1873,1881,6,3405,3589,2021-06,Saint-Gregoire,243500139,commune
35278,13,3688,3628,5,3387,3284,,,,18,3604,3600,2021-07,Saint-Gregoire,243500139,commune
35278,6,4073,4145,2,4034,4034,1,1832,1832,8,4063,4060,2021-08,Saint-Gregoire,243500139,commune
35278,10,3418,3720,5,3622,3559,1,2357,2357,15,3486,3691,2021-09,Saint-Gregoire,243500139,commune
35278,6,3778,3869,3,3864,3934,1,688,688,9,3807,3934,2021-10,Saint-Gregoire,243500139,commune
35278,4,3667,3560,7,3592,3438,4,1170,1212,11,3619,3438,2021-11,Saint-Gregoire,243500139,commune
35278,8,3889,3901,3,3207,3210,,,,11,3703,3279,2021-12,Saint-Gregoire,243500139,commune
35281,4,3216,3383,13,2680,2561,,,,17,2806,2670,2021-01,Saint-Jacques-de-la-Lande,243500139,commune
35281,1,3310,3310,6,2692,2504,1,1500,1500,7,2781,2616,2021-02,Saint-Jacques-de-la-Lande,243500139,commune
35281,9,3263,3044,15,2770,2674,1,669,669,24,2955,2855,2021-03,Saint-Jacques-de-la-Lande,243500139,commune
35281,7,3592,3365,15,2743,2641,,,,22,3013,2760,2021-04,Saint-Jacques-de-la-Lande,243500139,commune
35281,10,3447,3005,23,2990,2737,,,,33,3129,2784,2021-05,Saint-Jacques-de-la-Lande,243500139,commune
35281,11,2928,3065,24,2698,2511,1,3750,3750,35,2770,2600,2021-06,Saint-Jacques-de-la-Lande,243500139,commune
35281,17,3742,3450,28,2946,2954,1,1358,1358,45,3247,3169,2021-07,Saint-Jacques-de-la-Lande,243500139,commune
35281,11,3217,3163,14,3187,3306,1,1786,1786,25,3200,3191,2021-08,Saint-Jacques-de-la-Lande,243500139,commune
35281,5,4166,3809,12,3219,2755,,,,17,3497,3100,2021-09,Saint-Jacques-de-la-Lande,243500139,commune
35281,8,4332,3914,17,2821,2677,3,3874,5073,25,3304,2778,2021-10,Saint-Jacques-de-la-Lande,243500139,commune
35281,4,4235,3943,13,3152,3057,1,1075,1075,17,3407,3188,2021-11,Saint-Jacques-de-la-Lande,243500139,commune
35281,7,3698,3854,19,2870,2640,1,360,360,26,3093,2895,2021-12,Saint-Jacques-de-la-Lande,243500139,commune
35315,1,2259,2259,,,,,,,1,2259,2259,2021-01,Saint-Sulpice-la-Foret,243500139,commune
35315,1,1900,1900,,,,1,3134,3134,1,1900,1900,2021-03,Saint-Sulpice-la-Foret,243500139,commune
35315,2,2629,2629,,,,,,,2,2629,2629,2021-04,Saint-Sulpice-la-Foret,243500139,commune
35315,1,1581,1581,,,,,,,1,1581,1581,2021-05,Saint-Sulpice-la-Foret,243500139,commune
35315,1,2782,2782,,,,,,,1,2782,2782,2021-06,Saint-Sulpice-la-Foret,243500139,commune
35315,5,2682,2647,,,,,,,5,2682,2647,2021-07,Saint-Sulpice-la-Foret,243500139,commune
35315,1,3000,3000,,,,,,,1,3000,3000,2021-08,Saint-Sulpice-la-Foret,243500139,commune
35315,2,2617,2617,,,,,,,2,2617,2617,2021-09,Saint-Sulpice-la-Foret,243500139,commune
35315,2,2015,2015,,,,,,,2,2015,2015,2021-10,Saint-Sulpice-la-Foret,243500139,commune
35315,2,2989,2989,,,,,,,2,2989,2989,2021-11,Saint-Sulpice-la-Foret,243500139,commune
35315,,,,1,3130,3130,,,,1,3130,3130,2021-12,Saint-Sulpice-la-Foret,243500139,commune
35334,3,1973,2200,3,2771,2761,,,,6,2372,2606,2021-01,Thorigne-Fouillard,243500139,commune
35334,4,3266,3110,2,2707,2707,,,,6,3080,2986,2021-02,Thorigne-Fouillard,243500139,commune
35334,4,2934,3000,4,2621,2685,,,,8,2778,2832,2021-03,Thorigne-Fouillard,243500139,commune
35334,1,3165,3165,,,,1,1258,1258,1,3165,3165,2021-04,Thorigne-Fouillard,243500139,commune
35334,6,2970,3079,2,2826,2826,,,,8,2934,2984,2021-05,Thorigne-Fouillard,243500139,commune
35334,4,3069,3024,3,2885,2940,,,,7,2990,2940,2021-06,Thorigne-Fouillard,243500139,commune
35334,15,3175,3121,7,2829,2922,2,2290,2290,22,3065,2959,2021-07,Thorigne-Fouillard,243500139,commune
35334,9,2906,2986,3,2130,2116,,,,12,2712,2916,2021-08,Thorigne-Fouillard,243500139,commune
35334,12,3072,3250,2,3069,3069,,,,14,3072,3167,2021-09,Thorigne-Fouillard,243500139,commune
35334,7,3441,3418,3,3348,3138,,,,10,3413,3414,2021-10,Thorigne-Fouillard,243500139,commune
35334,4,3300,3072,,,,,,,4,3300,3072,2021-11,Thorigne-Fouillard,243500139,commune
35334,3,3153,3225,3,2831,2888,,,,6,2992,3057,2021-12,Thorigne-Fouillard,243500139,commune
35351,2,1725,1725,,,,,,,2,1725,1725,2021-02,Le Verger,243500139,commune
35351,1,2577,2577,,,,,,,1,2577,2577,2021-03,Le Verger,243500139,commune
35351,2,1243,1243,,,,,,,2,1243,1243,2021-05,Le Verger,243500139,commune
35351,3,1871,1838,,,,,,,3,1871,1838,2021-06,Le Verger,243500139,commune
35351,2,1300,1300,,,,,,,2,1300,1300,2021-07,Le Verger,243500139,commune
35351,1,2410,2410,,,,,,,1,2410,2410,2021-08,Le Verger,243500139,commune
35351,2,2073,2073,,,,,,,2,2073,2073,2021-12,Le Verger,243500139,commune
35352,8,2681,2791,1,2529,2529,3,1331,1190,9,2664,2738,2021-01,Vern-sur-Seiche,243500139,commune
35352,5,3122,3056,,,,,,,5,3122,3056,2021-02,Vern-sur-Seiche,243500139,commune
35352,7,2584,2506,3,2655,2628,,,,10,2605,2612,2021-03,Vern-sur-Seiche,243500139,commune
35352,6,2501,2788,2,2458,2458,3,1432,1200,8,2490,2788,2021-04,Vern-sur-Seiche,243500139,commune
35352,9,3169,2980,3,2272,2344,,,,12,2945,2801,2021-05,Vern-sur-Seiche,243500139,commune
35352,10,2555,2678,9,2608,2618,2,2500,2500,19,2580,2618,2021-06,Vern-sur-Seiche,243500139,commune
35352,7,2692,2604,5,2159,2177,,,,12,2470,2553,2021-07,Vern-sur-Seiche,243500139,commune
35352,6,2880,2646,2,2434,2434,,,,8,2768,2626,2021-08,Vern-sur-Seiche,243500139,commune
35352,5,2922,3104,1,2026,2026,,,,6,2772,2786,2021-09,Vern-sur-Seiche,243500139,commune
35352,6,3080,2969,6,2726,2732,1,61,61,12,2903,2814,2021-10,Vern-sur-Seiche,243500139,commune
35352,4,3948,3970,4,2455,2604,2,584,584,8,3201,3127,2021-11,Vern-sur-Seiche,243500139,commune
35352,11,3549,3207,2,2471,2471,,,,13,3383,3124,2021-12,Vern-sur-Seiche,243500139,commune
35353,3,2911,2712,3,2479,2545,,,,6,2695,2557,2021-01,Vezin-le-Coquet,243500139,commune
35353,2,2599,2599,4,2771,2852,,,,6,2713,2769,2021-02,Vezin-le-Coquet,243500139,commune
35353,2,3296,3296,3,2689,2718,,,,5,2932,2848,2021-03,Vezin-le-Coquet,243500139,commune
35353,1,2628,2628,5,1932,2348,,,,6,2048,2424,2021-04,Vezin-le-Coquet,243500139,commune
35353,2,1714,1714,4,2685,2712,,,,6,2361,2488,2021-05,Vezin-le-Coquet,243500139,commune
35353,6,3243,3161,8,2349,2020,,,,14,2732,2645,2021-06,Vezin-le-Coquet,243500139,commune
35353,7,2374,2498,16,2293,2065,,,,23,2317,2152,2021-07,Vezin-le-Coquet,243500139,commune
35353,4,3834,3903,5,2652,3025,,,,9,3177,3244,2021-08,Vezin-le-Coquet,243500139,commune
35353,4,2740,2728,6,3229,3210,2,2374,2374,10,3034,3065,2021-09,Vezin-le-Coquet,243500139,commune
35353,1,3259,3259,3,2894,2813,,,,4,2985,2958,2021-10,Vezin-le-Coquet,243500139,commune
35353,5,3340,3489,5,3093,3099,1,1250,1250,10,3216,3101,2021-11,Vezin-le-Coquet,243500139,commune
35353,5,2664,2623,3,2408,2028,,,,8,2568,2442,2021-12,Vezin-le-Coquet,243500139,commune
35363,4,2479,2659,2,2453,2453,,,,6,2471,2534,2021-01,Pont-Pean,243500139,commune
35363,4,3361,3022,1,2500,2500,,,,5,3189,2857,2021-02,Pont-Pean,243500139,commune
35363,2,3107,3107,1,2046,2046,,,,3,2753,2556,2021-03,Pont-Pean,243500139,commune
35363,2,2724,2724,2,2602,2602,,,,4,2663,2602,2021-04,Pont-Pean,243500139,commune
35363,4,2820,2887,2,2691,2691,,,,6,2777,2880,2021-05,Pont-Pean,243500139,commune
35363,1,2996,2996,4,2554,2431,,,,5,2642,2452,2021-06,Pont-Pean,243500139,commune
35363,3,2991,2987,2,1710,1710,,,,5,2479,2575,2021-07,Pont-Pean,243500139,commune
35363,2,2492,2492,3,3255,3116,,,,5,2950,3116,2021-08,Pont-Pean,243500139,commune
35363,1,2336,2336,2,3077,3077,,,,3,2830,2996,2021-09,Pont-Pean,243500139,commune
35363,5,2752,2454,,,,,,,5,2752,2454,2021-10,Pont-Pean,243500139,commune
35363,3,1770,2051,1,2534,2534,,,,4,1961,2192,2021-11,Pont-Pean,243500139,commune
35363,2,3009,3009,1,3020,3020,,,,3,3013,3020,2021-12,Pont-Pean,243500139,commune
36196,1,488,488,,,,,,,1,488,488,2021-03,Saint-Gilles,200035137,commune
36196,1,1153,1153,,,,,,,1,1153,1153,2021-10,Saint-Gilles,200035137,commune
50483,1,1305,1305,,,,,,,1,1305,1305,2021-02,Saint-Gilles,200066389,commune
50483,1,1239,1239,,,,,,,1,1239,1239,2021-03,Saint-Gilles,200066389,commune
50483,5,1497,1589,,,,,,,5,1497,1589,2021-04,Saint-Gilles,200066389,commune
50483,1,1236,1236,,,,,,,1,1236,1236,2021-06,Saint-Gilles,200066389,commune
50483,1,2106,2106,,,,,,,1,2106,2106,2021-07,Saint-Gilles,200066389,commune
50483,2,1782,1782,,,,,,,2,1782,1782,2021-09,Saint-Gilles,200066389,commune
50483,2,1364,1364,,,,,,,2,1364,1364,2021-12,Saint-Gilles,200066389,commune
51484,1,1483,1483,,,,,,,1,1483,1483,2021-04,Saint-Gilles,200067213,commune
51484,1,1427,1427,,,,,,,1,1427,1427,2021-07,Saint-Gilles,200067213,commune
51484,1,494,494,,,,,,,1,494,494,2021-09,Saint-Gilles,200067213,commune
51484,1,1458,1458,,,,,,,1,1458,1458,2021-11,Saint-Gilles,200067213,commune
53042,4,940,872,,,,,,,4,940,872,2021-02,Brece,245300389,commune
53042,1,1517,1517,,,,,,,1,1517,1517,2021-03,Brece,245300389,commune
53042,3,793,510,,,,,,,3,793,510,2021-04,Brece,245300389,commune
53042,2,964,964,,,,,,,2,964,964,2021-06,Brece,245300389,commune
53042,2,1084,1084,,,,,,,2,1084,1084,2021-07,Brece,245300389,commune
53042,2,711,711,,,,,,,2,711,711,2021-09,Brece,245300389,commune
53042,4,1400,1358,,,,,,,4,1400,1358,2021-10,Brece,245300389,commune
53042,1,1203,1203,,,,,,,1,1203,1203,2021-11,Brece,245300389,commune
53042,3,1060,836,,,,,,,3,1060,836,2021-12,Brece,245300389,commune
53214,1,589,589,,,,,,,1,589,589,2021-05,Saint-Erblon,200048551,commune
53214,2,1636,1636,,,,,,,2,1636,1636,2021-09,Saint-Erblon,200048551,commune
56205,2,2640,2640,,,,,,,2,2640,2640,2021-01,Saint-Armel,200067932,commune
56205,1,2384,2384,,,,,,,1,2384,2384,2021-03,Saint-Armel,200067932,commune
56205,1,2863,2863,,,,,,,1,2863,2863,2021-04,Saint-Armel,200067932,commune
56205,1,12853,12853,,,,,,,1,12853,12853,2021-05,Saint-Armel,200067932,commune
56205,1,5658,5658,,,,,,,1,5658,5658,2021-06,Saint-Armel,200067932,commune
56205,2,4388,4388,,,,,,,2,4388,4388,2021-08,Saint-Armel,200067932,commune
56205,2,4507,4507,,,,,,,2,4507,4507,2021-09,Saint-Armel,200067932,commune
56205,4,3185,3432,,,,,,,4,3185,3432,2021-10,Saint-Armel,200067932,commune
56205,1,17273,17273,,,,,,,1,17273,17273,2021-12,Saint-Armel,200067932,commune
61317,2,1213,1213,,,,,,,2,1213,1213,2021-01,Orgeres,200069458,commune
61317,2,1560,1560,,,,,,,2,1560,1560,2021-08,Orgeres,200069458,commune
61321,1,815,815,,,,,,,1,815,815,2021-03,Pace,246100663,commune
61321,1,787,787,,,,,,,1,787,787,2021-04,Pace,246100663,commune
61321,2,1414,1414,,,,,,,2,1414,1414,2021-05,Pace,246100663,commune
61321,1,1933,1933,,,,,,,1,1933,1933,2021-07,Pace,246100663,commune
71425,1,794,794,,,,,,,1,794,794,2021-02,Saint-Gilles,247100589,commune
71425,1,1825,1825,,,,,,,1,1825,1825,2021-03,Saint-Gilles,247100589,commune
71425,1,971,971,,,,,,,1,971,971,2021-06,Saint-Gilles,247100589,commune
71425,2,1447,1447,,,,,,,2,1447,1447,2021-08,Saint-Gilles,247100589,commune
