Identifiant action de formation,Langues vivantes 1 et 2,Identifiant et fiche onisep lieu de cours,UAI lieu de cours,Libellé lieu de cours,Adresse lieu de cours,Boîte postale lieu de cours,Code postal lieu de cours,Commune lieu de cours,Département lieu de cours,Région lieu de cours,Académie lieu de cours,AF date création,AF date de modification
AF.60624,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16058,0350708E,Collège Paul Féval,Route de Dinan,BP 65,35120,Dol-de-Bretagne,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.60464,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15110,0350874K,Collège Saint-Yves,3 rue Jeanne d'Arc,BP 22,35310,Mordelles,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,09/04/2024
AF.93512,"LV1 : anglais / LV2 : allemand, espagnol, italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21643,0352959B,Collège Marie Curie,2 esplanade Roger Jouan,,35890,Laille,Ille-et-Vilaine,Bretagne,Rennes,08/10/2020,08/10/2020
AF.32055,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10222,0350051R,Collège Théophile Briant,21 avenue des Trente,BP 10,35190,Tinténiac,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.20339,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13353,0351053E,Collège Jean Monnet,2 rue Armand Jouault,,35150,Janzé,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.49172,"LV1 : anglais / LV2 : allemand, espagnol, italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2785,0350866B,Collège Saint-Joseph,45 rue Paul Painlevé,,35150,Janzé,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.49170,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12070,0350839X,Collège Saint-Hélier,7 rue Frère Salomon,,35000,Rennes,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.20497,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,0350895H,Collège Rosa Parks,10 rue de Gascogne,,35000,Rennes,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.66172,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10221,0350881T,Collège Saint-Michel,6 rue des Écoles,,35250,Saint-Aubin-d'Aubigné,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.83642,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16503,0350760L,Collège Cleunay,26 rue Andrée Récipon,,35000,Rennes,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
