journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
15056698,65add224-2049-45a2-95a6-8ceada0faa39,2023-05-01T01:10:00+02:00,2023-05-01,01:10:00,-1.677,48.117,35238,35,Rennes,Rennes Métropole,France,2023-05-01T01:30:00+02:00,2023-05-01,01:30:00,-1.404,48.261,35253,35,Saint-Aubin-du-Cormier,CC Liffré-Cormier Communauté,France,1,C,30888,23,OUI
15039689,af314b8c-52d0-45ee-a0c6-789e598d474e,2023-05-01T07:10:00+02:00,2023-05-01,07:10:00,-1.627,48.130,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-05-01T07:30:00+02:00,2023-05-01,07:30:00,-1.526,48.201,35152,35,Liffré,CC Liffré-Cormier Communauté,France,1,C,12169,15,NON
15042159,cf41db05-4b2f-4013-9099-fa5c5cbab1bd,2023-05-01T08:20:00+02:00,2023-05-01,08:20:00,-1.700,48.101,35238,35,Rennes,Rennes Métropole,France,2023-05-01T08:50:00+02:00,2023-05-01,08:50:00,-1.337,48.053,35161,35,Louvigné-de-Bais,CA Vitré Communauté,France,1,C,37889,28,OUI
15042152,5cdb707c-4982-4325-a148-8de9496f3463,2023-05-01T08:20:00+02:00,2023-05-01,08:20:00,-1.610,48.109,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-05-01T08:50:00+02:00,2023-05-01,08:50:00,-1.225,48.122,35360,35,Vitré,CA Vitré Communauté,France,1,C,35733,30,OUI
15043512,21d28157-4ea4-4c94-9c5d-eb10b8e57f7e,2023-05-01T11:30:00+02:00,2023-05-01,11:30:00,-1.696,48.139,35278,35,Saint-Grégoire,Rennes Métropole,France,2023-05-01T12:10:00+02:00,2023-05-01,12:10:00,-1.204,48.120,35360,35,Vitré,CA Vitré Communauté,France,1,C,43623,32,OUI
15044489,9b3b7a1b-cd57-408d-9362-6d23c6113b0f,2023-05-01T13:20:00+02:00,2023-05-01,13:20:00,-1.673,48.103,35238,35,Rennes,Rennes Métropole,France,2023-05-01T14:10:00+02:00,2023-05-01,14:10:00,-1.046,48.025,35217,35,Le Pertre,CA Vitré Communauté,France,1,C,58054,53,OUI
15044545,0849eb96-6290-4a66-8c13-47c9eb74ebff,2023-05-01T13:40:00+02:00,2023-05-01,13:40:00,-1.710,47.980,35139,35,Laillé,Rennes Métropole,France,2023-05-01T14:20:00+02:00,2023-05-01,14:20:00,-1.351,48.117,35283,35,Saint-Jean-sur-Vilaine,CA Vitré Communauté,France,1,C,40165,35,OUI
15080053,6462b09f-9ecd-4bac-838b-057c66151696,2023-05-01T14:40:00+02:00,2023-05-01,14:40:00,-1.681,48.104,35238,35,Rennes,Rennes Métropole,France,2023-05-01T15:00:00+02:00,2023-05-01,15:00:00,-1.682,47.842,35012,35,Bain-de-Bretagne,CC Bretagne porte de Loire Communauté,France,1,C,34008,23,NON
15143739,704d970b-ac50-4bc0-8448-619f83a0011b,2023-05-01T15:50:00+02:00,2023-05-01,15:50:00,-1.671,48.094,35238,35,Rennes,Rennes Métropole,France,2023-05-01T17:30:00+02:00,2023-05-01,17:30:00,-1.019,47.364,49244,49,Mauges-sur-Loire,CA Mauges Communauté,France,1,C,113033,90,OUI
15056314,02eddd08-baac-4ea9-8c95-c7a9c4191aeb,2023-05-01T17:00:00+02:00,2023-05-01,17:00:00,-1.715,48.078,35281,35,Saint-Jacques-de-la-Lande,Rennes Métropole,France,2023-05-01T17:30:00+02:00,2023-05-01,17:30:00,-1.682,47.836,35012,35,Bain-de-Bretagne,CC Bretagne porte de Loire Communauté,France,1,B,31006,24,NON
15049947,c0a7bb95-2f74-4266-887a-cbc3a63f8a7f,2023-05-01T18:00:00+02:00,2023-05-01,18:00:00,-1.201,47.913,35235,35,Rannée,CA Vitré Communauté,France,2023-05-01T18:50:00+02:00,2023-05-01,18:50:00,-1.693,48.086,35238,35,Rennes,Rennes Métropole,France,1,C,52290,46,OUI
