journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_postalcode,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_postalcode,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
945295,c93a5f38-ce42-428f-be68-68d10a06832a,2019-06-03T08:50:00+02:00,2019-06-03,08:50:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-03T09:10:00+02:00,2019-06-03,09:10:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,C,13246,25,NON
946216,301d11f1-8a49-4b00-b226-5f3af783a786,2019-06-04T08:50:00+02:00,2019-06-04,08:50:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-04T09:10:00+02:00,2019-06-04,09:10:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,C,13236,21,NON
948157,6fdc75cc-7876-4d01-9393-aff6ae48da2a,2019-06-06T08:40:00+02:00,2019-06-06,08:40:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-06T09:00:00+02:00,2019-06-06,09:00:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,C,12828,20,NON
950472,44139679-d39c-4d03-846f-75cea6847b44,2019-06-11T08:40:00+02:00,2019-06-11,08:40:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-11T09:10:00+02:00,2019-06-11,09:10:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,C,12828,26,NON
951589,00bb03c6-a47b-4463-b2ae-a0160533e847,2019-06-12T08:40:00+02:00,2019-06-12,08:40:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-12T09:00:00+02:00,2019-06-12,09:00:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,B,12828,21,NON
952525,0ebad1e5-d7a9-48ec-9180-12e44ef05283,2019-06-13T08:40:00+02:00,2019-06-13,08:40:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-13T09:00:00+02:00,2019-06-13,09:00:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,C,12828,22,NON
962953,4cd1869b-82a0-465a-9e3f-e042ee6c71ba,2019-06-20T08:30:00+02:00,2019-06-20,08:30:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-20T08:50:00+02:00,2019-06-20,08:50:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,C,12828,15,NON
963619,4ebdc236-77ce-4b19-a3e5-ec87167d0140,2019-06-20T18:30:00+02:00,2019-06-20,18:30:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,2019-06-20T19:50:00+02:00,2019-06-20,19:50:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,1,C,13907,75,NON
966110,7cc0194c-306e-473f-a25f-56f53ecfe7d1,2019-06-21T08:30:00+02:00,2019-06-21,08:30:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-21T08:50:00+02:00,2019-06-21,08:50:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,B,14261,16,NON
972708,b48e20b6-c54a-4975-8b3b-4fdbc54d45e9,2019-06-25T08:20:00+02:00,2019-06-25,08:20:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,2019-06-25T08:40:00+02:00,2019-06-25,08:40:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,1,C,12828,19,NON
973236,817cf172-7e6b-46d4-9a25-34d609c43786,2019-06-25T18:30:00+02:00,2019-06-25,18:30:00,-1.71,48.09,35238,35000,35,Rennes (35),Rennes Metropole,France,2019-06-25T18:50:00+02:00,2019-06-25,18:50:00,-1.61,48.14,35051,35510,35,Cesson-Sévigné (35),Rennes Metropole,France,1,C,13814,19,NON
