journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
16663684,823a4566-5db7-40e8-9480-b06b7ad7e83c,2023-07-01T00:40:00+02:00,2023-07-01,00:40:00,-1.656,48.131,35238,35,Rennes,Rennes Métropole,France,2023-07-01T00:50:00+02:00,2023-07-01,00:50:00,-1.683,48.112,35238,35,Rennes,Rennes Métropole,France,1,C,5045,8,NON
16663683,823a4566-5db7-40e8-9480-b06b7ad7e83c,2023-07-01T00:40:00+02:00,2023-07-01,00:40:00,-1.656,48.131,35238,35,Rennes,Rennes Métropole,France,2023-07-01T00:50:00+02:00,2023-07-01,00:50:00,-1.683,48.112,35238,35,Rennes,Rennes Métropole,France,1,C,5045,8,NON
16663685,823a4566-5db7-40e8-9480-b06b7ad7e83c,2023-07-01T00:40:00+02:00,2023-07-01,00:40:00,-1.656,48.131,35238,35,Rennes,Rennes Métropole,France,2023-07-01T00:50:00+02:00,2023-07-01,00:50:00,-1.683,48.112,35238,35,Rennes,Rennes Métropole,France,1,C,5045,8,NON
16640289,65b6c78e-c921-40cb-b636-2a4efbb81d74,2023-07-01T00:50:00+02:00,2023-07-01,00:50:00,-1.615,48.101,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-07-01T01:10:00+02:00,2023-07-01,01:10:00,-1.358,48.119,35283,35,Saint-Jean-sur-Vilaine,CA Vitré Communauté,France,1,C,22799,27,OUI
16649933,984132cb-9fc2-4f7e-b1a3-7ca4ccf4eef8,2023-07-01T05:00:00+02:00,2023-07-01,05:00:00,-1.692,48.091,35281,35,Saint-Jacques-de-la-Lande,Rennes Métropole,France,2023-07-01T05:30:00+02:00,2023-07-01,05:30:00,-1.497,48.224,35152,35,Liffré,CC Liffré-Cormier Communauté,France,1,C,28327,28,NON
16650606,c8bbf7a8-7e85-4a1d-99cd-737d533cff19,2023-07-01T08:30:00+02:00,2023-07-01,08:30:00,-1.725,48.034,35047,35,Bruz,Rennes Métropole,France,2023-07-01T09:10:00+02:00,2023-07-01,09:10:00,-1.237,47.997,35097,35,Domalain,CA Vitré Communauté,France,1,C,54996,48,OUI
16651836,83093b2b-44d7-4a72-a481-42f22b8ab4c5,2023-07-01T09:40:00+02:00,2023-07-01,09:40:00,-1.700,48.105,35238,35,Rennes,Rennes Métropole,France,2023-07-01T09:50:00+02:00,2023-07-01,09:50:00,-1.736,48.202,35177,35,La Mézière,CC Val d'Ille-Aubigné,France,1,C,15016,12,NON
16650936,1a3fbd45-cd57-44bc-b0f8-734c84b3e8d3,2023-07-01T09:50:00+02:00,2023-07-01,09:50:00,-1.650,48.104,35238,35,Rennes,Rennes Métropole,France,2023-07-01T10:10:00+02:00,2023-07-01,10:10:00,-1.497,48.225,35152,35,Liffré,CC Liffré-Cormier Communauté,France,1,C,24373,23,NON
16651628,dd535d6a-3cd8-439d-8e54-655cc41369ef,2023-07-01T11:30:00+02:00,2023-07-01,11:30:00,-1.712,48.120,35238,35,Rennes,Rennes Métropole,France,2023-07-01T11:50:00+02:00,2023-07-01,11:50:00,-1.498,48.224,35152,35,Liffré,CC Liffré-Cormier Communauté,France,1,C,23407,22,NON
16651617,dd535d6a-3cd8-439d-8e54-655cc41369ef,2023-07-01T11:30:00+02:00,2023-07-01,11:30:00,-1.712,48.120,35238,35,Rennes,Rennes Métropole,France,2023-07-01T11:50:00+02:00,2023-07-01,11:50:00,-1.497,48.205,35152,35,Liffré,CC Liffré-Cormier Communauté,France,1,C,22424,18,NON
16651813,2c4fe293-a3d7-4965-99f4-4b80c93a7d40,2023-07-01T11:50:00+02:00,2023-07-01,11:50:00,-1.679,48.104,35238,35,Rennes,Rennes Métropole,France,2023-07-01T12:20:00+02:00,2023-07-01,12:20:00,-1.497,48.226,35152,35,Liffré,CC Liffré-Cormier Communauté,France,1,C,24268,28,NON
16651815,2c4fe293-a3d7-4965-99f4-4b80c93a7d40,2023-07-01T11:50:00+02:00,2023-07-01,11:50:00,-1.684,48.101,35238,35,Rennes,Rennes Métropole,France,2023-07-01T12:20:00+02:00,2023-07-01,12:20:00,-1.497,48.224,35152,35,Liffré,CC Liffré-Cormier Communauté,France,1,C,27419,29,NON
16651810,2c4fe293-a3d7-4965-99f4-4b80c93a7d40,2023-07-01T11:50:00+02:00,2023-07-01,11:50:00,-1.684,48.101,35238,35,Rennes,Rennes Métropole,France,2023-07-01T12:20:00+02:00,2023-07-01,12:20:00,-1.497,48.224,35152,35,Liffré,CC Liffré-Cormier Communauté,France,1,C,27419,28,NON
16651792,b3a5bbf3-fd45-4306-a9ad-554f786708d6,2023-07-01T11:50:00+02:00,2023-07-01,11:50:00,-1.671,48.139,35278,35,Saint-Grégoire,Rennes Métropole,France,2023-07-01T12:10:00+02:00,2023-07-01,12:10:00,-1.268,48.074,35338,35,Torcé,CA Vitré Communauté,France,1,C,35945,24,OUI
16652945,7de5bc8e-7ead-4afd-80f6-0b269d555ae9,2023-07-01T14:10:00+02:00,2023-07-01,14:10:00,-1.621,48.130,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-07-01T14:50:00+02:00,2023-07-01,14:50:00,-1.345,48.141,35166,35,Marpiré,CA Vitré Communauté,France,1,C,27074,36,OUI
16653268,3e711903-0d12-4166-8829-c90ec53e76b8,2023-07-01T14:40:00+02:00,2023-07-01,14:40:00,-1.763,48.138,35210,35,Pacé,Rennes Métropole,France,2023-07-01T15:40:00+02:00,2023-07-01,15:40:00,-1.208,48.112,35360,35,Vitré,CA Vitré Communauté,France,1,C,50910,56,OUI
16653129,dd935a11-f221-42fe-ba44-8d61781b1d82,2023-07-01T15:00:00+02:00,2023-07-01,15:00:00,-1.666,48.042,35206,35,Noyal-Châtillon-sur-Seiche,Rennes Métropole,France,2023-07-01T15:30:00+02:00,2023-07-01,15:30:00,-1.309,48.079,35087,35,Cornillé,CA Vitré Communauté,France,1,C,35618,29,OUI
16653917,23c19d8b-40ee-403a-9bfa-e431613e24cd,2023-07-01T17:20:00+02:00,2023-07-01,17:20:00,-1.629,48.133,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-07-01T17:40:00+02:00,2023-07-01,17:40:00,-1.309,48.079,35087,35,Cornillé,CA Vitré Communauté,France,1,C,28969,21,OUI
16654116,172e7b64-19e0-42f2-b00b-7672d4a2903e,2023-07-01T17:20:00+02:00,2023-07-01,17:20:00,-1.532,48.133,35001,35,Acigné,Rennes Métropole,France,2023-07-01T18:10:00+02:00,2023-07-01,18:10:00,-1.246,48.224,35260,35,Saint-Christophe-des-Bois,CA Vitré Communauté,France,1,C,42382,45,OUI
16654183,172e7b64-19e0-42f2-b00b-7672d4a2903e,2023-07-01T17:30:00+02:00,2023-07-01,17:30:00,-1.532,48.133,35001,35,Acigné,Rennes Métropole,France,2023-07-01T18:20:00+02:00,2023-07-01,18:20:00,-1.246,48.224,35260,35,Saint-Christophe-des-Bois,CA Vitré Communauté,France,1,C,42382,45,OUI
16655473,28c00473-e923-467a-a227-f8d79fc2310b,2023-07-01T19:00:00+02:00,2023-07-01,19:00:00,-1.698,48.105,35238,35,Rennes,Rennes Métropole,France,2023-07-01T19:40:00+02:00,2023-07-01,19:40:00,-1.205,48.122,35360,35,Vitré,CA Vitré Communauté,France,1,C,46704,36,OUI
16655502,28c00473-e923-467a-a227-f8d79fc2310b,2023-07-01T19:10:00+02:00,2023-07-01,19:10:00,-1.698,48.105,35238,35,Rennes,Rennes Métropole,France,2023-07-01T19:50:00+02:00,2023-07-01,19:50:00,-1.205,48.122,35360,35,Vitré,CA Vitré Communauté,France,1,C,46704,36,OUI
16663755,0952d90a-8e58-4389-b325-d332f71b0cae,2023-07-01T19:40:00+02:00,2023-07-01,19:40:00,-1.683,48.110,35238,35,Rennes,Rennes Métropole,France,2023-07-01T21:00:00+02:00,2023-07-01,21:00:00,-1.601,47.158,44020,44,Bouguenais,Nantes Métropole,France,1,A,115176,77,OUI
16672563,74d9fb26-405c-46e0-bd83-a478ef72a7a3,2023-07-01T20:10:00+02:00,2023-07-01,20:10:00,-1.673,48.099,35238,35,Rennes,Rennes Métropole,France,2023-07-01T20:40:00+02:00,2023-07-01,20:40:00,-2.213,48.187,35297,35,Saint-Méen-le-Grand,CC de Saint-Méen Montauban,France,1,C,49044,33,NON
16672590,74d9fb26-405c-46e0-bd83-a478ef72a7a3,2023-07-01T20:10:00+02:00,2023-07-01,20:10:00,-1.673,48.099,35238,35,Rennes,Rennes Métropole,France,2023-07-01T20:40:00+02:00,2023-07-01,20:40:00,-2.213,48.187,35297,35,Saint-Méen-le-Grand,CC de Saint-Méen Montauban,France,1,C,49044,33,NON
16672603,74d9fb26-405c-46e0-bd83-a478ef72a7a3,2023-07-01T20:10:00+02:00,2023-07-01,20:10:00,-1.673,48.099,35238,35,Rennes,Rennes Métropole,France,2023-07-01T20:50:00+02:00,2023-07-01,20:50:00,-2.213,48.187,35297,35,Saint-Méen-le-Grand,CC de Saint-Méen Montauban,France,1,C,49044,37,NON
16655630,6df92fdb-5bb7-4ad5-bc92-ed472793f005,2023-07-01T21:30:00+02:00,2023-07-01,21:30:00,-1.700,48.101,35238,35,Rennes,Rennes Métropole,France,2023-07-01T22:00:00+02:00,2023-07-01,22:00:00,-1.337,48.053,35161,35,Louvigné-de-Bais,CA Vitré Communauté,France,1,C,37889,29,OUI
16655866,1ccdc078-29a2-4478-8229-fce8cd8eedf7,2023-07-01T22:10:00+02:00,2023-07-01,22:10:00,-1.680,48.151,35278,35,Saint-Grégoire,Rennes Métropole,France,2023-07-01T23:00:00+02:00,2023-07-01,23:00:00,-1.148,48.051,35006,35,Argentré-du-Plessis,CA Vitré Communauté,France,1,C,46695,50,OUI
16655985,95b7022c-ba96-4ad7-8ffc-fc955cfcdcf9,2023-07-01T23:00:00+02:00,2023-07-01,23:00:00,-1.763,48.138,35210,35,Pacé,Rennes Métropole,France,2023-07-01T23:40:00+02:00,2023-07-01,23:40:00,-1.294,48.014,35014,35,Bais,CA Vitré Communauté,France,1,C,51496,35,OUI
16664332,3796dfe1-4945-4578-9fcd-096d5ac44342,2023-07-02T08:20:00+02:00,2023-07-02,08:20:00,-1.725,48.034,35047,35,Bruz,Rennes Métropole,France,2023-07-02T09:10:00+02:00,2023-07-02,09:10:00,-1.237,47.997,35097,35,Domalain,CA Vitré Communauté,France,1,C,54996,50,OUI
16666396,5b009041-3df8-4499-83e3-8b61e44c66d8,2023-07-02T15:00:00+02:00,2023-07-02,15:00:00,-1.680,48.118,35238,35,Rennes,Rennes Métropole,France,2023-07-02T15:50:00+02:00,2023-07-02,15:50:00,-1.233,48.072,35109,35,Étrelles,CA Vitré Communauté,France,1,C,41799,51,OUI
16666863,2e2394ff-a782-4545-8e0c-c14d4968b709,2023-07-02T16:40:00+02:00,2023-07-02,16:40:00,-1.493,47.955,35136,35,Janzé,CC Roche aux Fées Communauté,France,2023-07-02T17:10:00+02:00,2023-07-02,17:10:00,-1.374,48.092,35264,35,Saint-Didier,CA Vitré Communauté,France,1,C,20746,34,OUI
16702840,f32e62c1-66b2-465d-9baa-a07f569aefed,2023-07-02T16:40:00+02:00,2023-07-02,16:40:00,-1.493,47.955,35136,35,Janzé,CC Roche aux Fées Communauté,France,2023-07-02T17:00:00+02:00,2023-07-02,17:00:00,-1.374,48.092,35264,35,Saint-Didier,CA Vitré Communauté,France,1,C,20817,21,OUI
