journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
4541046,4e51a696-06ec-49a7-8a19-f6897703cdc7,2021-08-02T03:00:00+02:00,2021-08-02,03:00:00,-1.674,48.087,35238,35,Rennes (35),Rennes Metropole,France,2021-08-02T04:00:00+02:00,2021-08-02,04:00:00,-2.548,48.467,22093,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,84128,61,OUI
4541045,4e51a696-06ec-49a7-8a19-f6897703cdc7,2021-08-02T03:20:00+02:00,2021-08-02,03:20:00,-1.673,48.093,35238,35,Rennes (35),Rennes Metropole,France,2021-08-02T04:30:00+02:00,2021-08-02,04:30:00,-2.511,48.466,22093,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,81551,62,OUI
4541127,7251d86f-0398-4bc3-abca-23265c472304,2021-08-02T06:10:00+02:00,2021-08-02,06:10:00,-1.674,48.087,35238,35,Rennes (35),Rennes Metropole,France,2021-08-02T07:20:00+02:00,2021-08-02,07:20:00,-1.584,47.261,44114,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,OUI
4541191,cc8d2aa7-433e-4f1e-b2a4-e06a6fdf9274,2021-08-02T07:20:00+02:00,2021-08-02,07:20:00,-1.703,48.121,35238,35,Rennes (35),Rennes Metropole,France,2021-08-02T08:00:00+02:00,2021-08-02,08:00:00,-2.047,48.454,22050,22,Dinan (22),Communaute D'Agglomeration Dinan Agglomeration,France,1,B,52888,44,OUI
4541559,5740887e-bb80-425e-ae7a-e5a9cfbb1fd4,2021-08-02T07:30:00+02:00,2021-08-02,07:30:00,-1.488,47.957,35136,35,Janzé (35),,France,2021-08-02T07:50:00+02:00,2021-08-02,07:50:00,-1.643,48.087,35238,35,Rennes (35),Rennes Metropole,France,1,C,22693,19,OUI
4541605,2081854e-a376-4f8f-888e-8c5661513e64,2021-08-02T07:30:00+02:00,2021-08-02,07:30:00,-1.628,48.140,35051,35,Cesson-Sévigné (35),Rennes Metropole,France,2021-08-02T08:10:00+02:00,2021-08-02,08:10:00,-1.181,48.342,35115,35,Fougères (35),Fougeres Agglomeration,France,1,C,45705,33,OUI
4529199,ee93c7fd-09d7-4db6-94b2-bb4e7098f319,2021-08-02T07:40:00+02:00,2021-08-02,07:40:00,-1.619,48.112,35051,35,Cesson-Sévigné (35),Rennes Metropole,France,2021-08-02T08:30:00+02:00,2021-08-02,08:30:00,-0.851,48.073,53201,53,Saint-Berthevin (53),Communaute D'Agglomeration De Laval,France,1,C,60239,43,OUI
4541661,3f721446-5565-4c73-8c90-0c651b74919f,2021-08-02T07:40:00+02:00,2021-08-02,07:40:00,-1.682,48.125,35238,35,Rennes (35),Rennes Metropole,France,2021-08-02T08:40:00+02:00,2021-08-02,08:40:00,-2.069,48.615,35093,35,Dinard (35),,France,1,C,70930,54,OUI
4529201,ee93c7fd-09d7-4db6-94b2-bb4e7098f319,2021-08-02T07:50:00+02:00,2021-08-02,07:50:00,-1.609,48.108,35051,35,Cesson-Sévigné (35),Rennes Metropole,France,2021-08-02T08:30:00+02:00,2021-08-02,08:30:00,-0.851,48.073,53201,53,Saint-Berthevin (53),Communaute D'Agglomeration De Laval,France,1,C,58537,39,OUI
4529202,ee93c7fd-09d7-4db6-94b2-bb4e7098f319,2021-08-02T07:50:00+02:00,2021-08-02,07:50:00,-1.609,48.108,35051,35,Cesson-Sévigné (35),Rennes Metropole,France,2021-08-02T08:30:00+02:00,2021-08-02,08:30:00,-0.851,48.073,53201,53,Saint-Berthevin (53),Communaute D'Agglomeration De Laval,France,1,C,58537,40,OUI
4529163,9322eedf-b303-41fb-8d11-1ac1527a049a,2021-08-02T08:10:00+02:00,2021-08-02,08:10:00,-1.79,48.09,35240,35,Le Rheu (35),Rennes Metropole,France,2021-08-02T08:10:00+02:00,2021-08-02,08:10:00,-1.69,48.15,35278,35,Saint-Grégoire (35),Rennes Metropole,France,1,B,12021,0,NON
4541596,ab498778-801c-48a5-b21a-cbec3d10c3df,2021-08-02T08:10:00+02:00,2021-08-02,08:10:00,-1.643,48.087,35238,35,Rennes (35),Rennes Metropole,France,2021-08-02T09:10:00+02:00,2021-08-02,09:10:00,-1.986,48.626,35288,35,Saint-Malo (35),Saint-Malo Agglomeration,France,1,B,74503,56,OUI
