journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_postalcode,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_postalcode,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
4639373,98a2fbfd-ec40-417e-8ae4-99632a0ee109,2021-09-01T03:00:00+02:00,2021-09-01,03:00:00,-1.691,48.086,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-09-01T04:00:00+02:00,2021-09-01,04:00:00,-2.517,48.468,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,80611,61,OUI
4639380,98a2fbfd-ec40-417e-8ae4-99632a0ee109,2021-09-01T03:30:00+02:00,2021-09-01,03:30:00,-1.682,48.091,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-09-01T04:40:00+02:00,2021-09-01,04:40:00,-2.537,48.468,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,C,83223,62,OUI
4639381,98a2fbfd-ec40-417e-8ae4-99632a0ee109,2021-09-01T03:30:00+02:00,2021-09-01,03:30:00,-1.676,48.083,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-09-01T04:40:00+02:00,2021-09-01,04:40:00,-2.537,48.468,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,83506,61,OUI
4639473,7bea6c04-3c98-4532-95a9-dbd3e54321c4,2021-09-01T06:10:00+02:00,2021-09-01,06:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-09-01T07:20:00+02:00,2021-09-01,07:20:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,OUI
4639783,c555a075-050c-4986-93aa-fbd0d4379949,2021-09-01T06:50:00+02:00,2021-09-01,06:50:00,-1.691,47.975,35139,35890,35,Laillé (35),Rennes Metropole,France,2021-09-01T07:10:00+02:00,2021-09-01,07:10:00,-1.579,48.140,35334,35235,35,Thorigné-Fouillard (35),Rennes Metropole,France,1,B,24251,20,OUI
4639566,2d94a769-2df6-4659-a743-745bef5e181e,2021-09-01T07:10:00+02:00,2021-09-01,07:10:00,-1.705,48.116,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-09-01T08:20:00+02:00,2021-09-01,08:20:00,-2.750,48.496,22278,22000,22,Saint-Brieuc (22),Saint-Brieuc Armor Agglomeration,France,1,C,95383,68,OUI
4639752,10a0b9a1-5186-4e09-8de2-452975716b88,2021-09-01T07:20:00+02:00,2021-09-01,07:20:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-09-01T08:30:00+02:00,2021-09-01,08:30:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,OUI
4639660,10a0b9a1-5186-4e09-8de2-452975716b88,2021-09-01T07:20:00+02:00,2021-09-01,07:20:00,-1.69,47.97,35139,35890,35,Laillé (35),Rennes Metropole,France,2021-09-01T08:20:00+02:00,2021-09-01,08:20:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,84992,59,OUI
4639541,10a0b9a1-5186-4e09-8de2-452975716b88,2021-09-01T07:20:00+02:00,2021-09-01,07:20:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-09-01T08:30:00+02:00,2021-09-01,08:30:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,OUI
4639707,4a0ac44e-86b1-4ee3-9a2e-bf86bd428f26,2021-09-01T07:20:00+02:00,2021-09-01,07:20:00,-1.706,48.109,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-09-01T08:00:00+02:00,2021-09-01,08:00:00,-2.127,47.930,56075,56380,56,Guer (56),,France,1,B,41769,32,OUI
