Période de labellisation,Nom de la collectivité/intercommunalité,Typologie,Région,Département,Académie,Adresse,Nombre d'habitants,Quels sont les dispositifs nationaux/prioritaires existants sur le territoire ?,Partenariats avec le ministère de la Culture,Autre partenariat avec le ministère de la Culture,Autres dispositifs nationaux/prioritaires existants,Numéro département,geom,centroid,geo_point_2d
2023-2028,PETR Pays de Verdun,Pôle d'équilibre territorial et rural,Grand Est,Meuse,Nancy-Metz,ESPACE WORKICI 3 PLACE DE LA MAIRIE 55100 BRAS-SUR-MEUSE FRANCE,86000.0,"Quartiers politique de la ville, Petites villes de demain, Autre(s), Action cœur de ville",Convention territoriale pour l’éducation artistique et culturelle,,"TER, PTRTE...",55,"{""coordinates"": [[[[4.950824588, 49.23697912], [4.967950663, 49.249585469], [4.999413397, 49.259421162], [4.99757433, 49.26423568], [5.027238285, 49.274644321], [5.050749901, 49.273959222], [5.048902824, 49.285741171], [5.034861628, 49.30739673], [5.038046279, 49.316129314], [5.026117589, 49.332966268], [5.057200703, 49.361045201], [5.062049349, 49.372026057], [5.091179977, 49.371157907], [5.101575633, 49.3783752], [5.101800548, 49.391996434], [5.085766106, 49.398801003], [5.097361524, 49.414791482], [5.110937978, 49.416146876], [5.100525653, 49.44080956], [5.110363242, 49.458323097], [5.095080998, 49.459654765], [5.083093774, 49.470639802], [5.083708452, 49.484215168], [5.074140841, 49.486640466], [5.059053476, 49.500617308], [5.064603848, 49.508860624], [5.078653788, 49.509112316], [5.097740304, 49.534088738], [5.088211256, 49.54484716], [5.096381929, 49.557638455], [5.113289309, 49.560669718], [5.104795256, 49.575641697], [5.118662999, 49.593134635], [5.144228663, 49.590999442], [5.152796643, 49.576517945], [5.168116778, 49.562882426], [5.183982681, 49.569485332], [5.197667703, 49.566513398], [5.209294341, 49.573270644], [5.235908925, 49.569137775], [5.234899979, 49.56209174], [5.254547092, 49.555601329], [5.258750209, 49.543515334], [5.277360429, 49.544181554], [5.285099679, 49.553383638], [5.312500776, 49.559394455], [5.31841368, 49.574215039], [5.339353885, 49.590850336], [5.351978448, 49.58839121], [5.374655463, 49.591704298], [5.381540222, 49.60544361], [5.394294897, 49.616820169], [5.425079111, 49.598339054], [5.437648459, 49.569921796], [5.457025478, 49.566981219], [5.447538997, 49.554212203], [5.465338579, 49.538927151], [5.467038914, 49.525913392], [5.447460472, 49.517939028], [5.465926311, 49.508629855], [5.470508366, 49.497319316], [5.482743304, 49.494587527], [5.4643152, 49.469810453], [5.470130569, 49.462530657], [5.46645511, 49.449259302], [5.481111165, 49.44417051], [5.476961698, 49.43027762], [5.502722322, 49.418792781], [5.497111194, 49.407631799], [5.476033041, 49.403485057], [5.457381921, 49.40412799], [5.480990947, 49.382393156], [5.496000894, 49.392369518], [5.505327077, 49.406088715], [5.530210746, 49.406630152], [5.552786727, 49.418683026], [5.598717224, 49.423833105], [5.634051555, 49.437731441], [5.647099994, 49.429338585], [5.692255469, 49.4150277], [5.686887739, 49.393732492], [5.703625991, 49.388212306], [5.724305376, 49.361411966], [5.739159254, 49.354330543], [5.73648411, 49.338481141], [5.719682607, 49.330557026], [5.733602529, 49.310107586], [5.749412227, 49.309700881], [5.76317539, 49.316859448], [5.767630066, 49.291507149], [5.754031307, 49.280329932], [5.722807261, 49.264417797], [5.730239845, 49.257075296], [5.720960269, 49.247775395], [5.736251112, 49.236165454], [5.738784218, 49.227324836], [5.718740233, 49.216182714], [5.731968634, 49.194674586], [5.760941882, 49.201618901], [5.755329171, 49.17166168], [5.746343597, 49.156815767], [5.762922817, 49.142046812], [5.746759567, 49.124844453], [5.762193009, 49.108081335], [5.784457036, 49.112877572], [5.818198167, 49.111084696], [5.82305778, 49.090835638], [5.808945061, 49.078171981], [5.807144688, 49.060955813], [5.833860036, 49.062502192], [5.840490067, 49.049810463], [5.85359711, 49.040683042], [5.83052039, 49.032591739], [5.815724051, 49.008478955], [5.823061054, 49.003958847], [5.805895172, 48.982656276], [5.831562022, 48.971851029], [5.850531445, 48.959513123], [5.834957436, 48.944825771], [5.817033764, 48.94259221], [5.795177057, 48.94484071], [5.778787578, 48.925192952], [5.751078089, 48.921365007], [5.767063564, 48.896632048], [5.790438276, 48.886733684], [5.782348, 48.876165114], [5.769677946, 48.875491694], [5.768283126, 48.861215228], [5.781895206, 48.832175947], [5.768899003, 48.804333118], [5.767605617, 48.790284716], [5.736815408, 48.770509173], [5.732572698, 48.748561483], [5.713944067, 48.744538107], [5.719013568, 48.732951085], [5.750686432, 48.714092486], [5.764867105, 48.701477046], [5.757768842, 48.695615058], [5.744730582, 48.671250503], [5.744686794, 48.656983571], [5.765836277, 48.618896041], [5.79182952, 48.628549133], [5.803611123, 48.625203978], [5.790359609, 48.607428391], [5.752209632, 48.606535451], [5.743056238, 48.597177314], [5.71852323, 48.591439003], [5.713011592, 48.58069567], [5.713484538, 48.565082159], [5.729034787, 48.553622856], [5.746465187, 48.552121569], [5.776540938, 48.541043757], [5.766314291, 48.535201914], [5.760748655, 48.521578371], [5.76516673, 48.496540936], [5.755274917, 48.491572514], [5.739065804, 48.466092553], [5.719209609, 48.460144552], [5.695092245, 48.463441036], [5.670503441, 48.472397755], [5.642625428, 48.467738862], [5.6534713, 48.45860545], [5.630528276, 48.451252751], [5.615819017, 48.439744906], [5.58901817, 48.4423707], [5.580262701, 48.438796272], [5.550510047, 48.439825818], [5.544880641, 48.434706313], [5.515832324, 48.431053199], [5.505273677, 48.408972195], [5.491698119, 48.416773213], [5.470068246, 48.420895401], [5.445160178, 48.425083892], [5.409107734, 48.444652652], [5.403197159, 48.454081671], [5.406474465, 48.465009221], [5.398168976, 48.473926491], [5.381339603, 48.47111249], [5.34763122, 48.48288815], [5.345208242, 48.489922716], [5.327275513, 48.504798542], [5.306024568, 48.516162876], [5.271111777, 48.51355589], [5.26288966, 48.520020512], [5.227193852, 48.532114123], [5.212254492, 48.528791624], [5.196882075, 48.546679059], [5.173106399, 48.556318324], [5.165073286, 48.565344026], [5.146286991, 48.560277137], [5.118280409, 48.58449696], [5.119449028, 48.595712586], [5.08992973, 48.592921411], [5.070964565, 48.595733791], [5.059588631, 48.612466334], [5.051892602, 48.633189488], [5.032707805, 48.613332336], [5.013068741, 48.610211676], [4.994786996, 48.621853216], [5.006163545, 48.633478126], [4.994680761, 48.646166184], [4.994859788, 48.660831182], [5.008595602, 48.668968247], [5.009046417, 48.678544844], [4.988430531, 48.684422114], [4.990175864, 48.690647982], [5.011784278, 48.706687586], [5.00921853, 48.74138883], [4.981520923, 48.745503701], [4.972253356, 48.757592398], [4.951363931, 48.768339399], [4.936721034, 48.789683622], [4.889421381, 48.798295612], [4.897071533, 48.808923109], [4.888788973, 48.817231762], [4.914568178, 48.835147635], [4.936064011, 48.840873907], [4.921574081, 48.865457684], [4.911710306, 48.868093106], [4.924557738, 48.89125889], [4.912432859, 48.898576745], [4.933620158, 48.913002603], [4.935917388, 48.922145315], [4.950660332, 48.931049069], [4.959138424, 48.925934497], [5.003700476, 48.938482937], [5.030947172, 48.954322213], [5.03949464, 48.974334708], [5.029064462, 48.979647888], [5.007337267, 48.978968268], [5.001380198, 48.990242359], [5.017786673, 48.996058942], [5.034464657, 48.993597784], [5.038493746, 49.010581207], [5.036526283, 49.023836159], [5.009310441, 49.035333956], [4.968651821, 49.022854716], [5.003411377, 49.053547516], [5.005740122, 49.059873112], [4.996746066, 49.087666794], [4.997250084, 49.105159965], [4.989966012, 49.118061976], [4.971844377, 49.136727404], [4.964428096, 49.155461721], [4.950169162, 49.176755917], [4.939701713, 49.185106947], [4.964520588, 49.198629611], [4.977675512, 49.199703082], [4.993520354, 49.210128408], [4.978032424, 49.218908061], [4.970854113, 49.236028367], [4.950824588, 49.23697912]], [[5.426127942, 49.486097715], [5.45382559, 49.481487297], [5.464516071, 49.490304491], [5.442232706, 49.503806248], [5.426127942, 49.486097715]]]], ""type"": ""MultiPolygon""}","48.991119705, 5.38137643","48.99152520027997, 5.381417382817623"
2022-2027,Communauté de Communes du Bassin de Marennes (en partenariat avec la Communauté de Communes de l'Ile d'Oléron),Communauté de communes,Nouvelle-Aquitaine,Charente-Maritime,Poitiers,10 Rue du Maréchal Foch 17320 Marennes-Hiers-Brouage,37528.0,Aucun dispositif national/prioritaire,Convention territoriale pour l’éducation artistique et culturelle,Label Musée de France et réserve muséale de Dolus d'Oléron (Communauté de Communes de l'Ile d'Oléron),,17,"{""coordinates"": [[[[-1.474412388, 46.202959628], [-1.50527548, 46.193237114], [-1.534938091, 46.20236253], [-1.541707531, 46.216964737], [-1.561260612, 46.237803003], [-1.54111313, 46.243277379], [-1.513198217, 46.257790226], [-1.500467924, 46.258007948], [-1.482088626, 46.247362292], [-1.474229192, 46.233011021], [-1.508431948, 46.226696064], [-1.505834738, 46.215856609], [-1.485326354, 46.207907488], [-1.46694561, 46.216668716], [-1.457810219, 46.228525129], [-1.414650245, 46.230562357], [-1.420383201, 46.218578839], [-1.439584885, 46.214227157], [-1.425359832, 46.20495046], [-1.405102324, 46.202978863], [-1.354547409, 46.205990237], [-1.318370371, 46.186755147], [-1.294149335, 46.187964768], [-1.281469423, 46.164745679], [-1.266919818, 46.156105867], [-1.27859916, 46.144419773], [-1.304934768, 46.14307123], [-1.323796454, 46.145702689], [-1.353601293, 46.155687647], [-1.370597127, 46.167282759], [-1.392761349, 46.177422168], [-1.430844183, 46.189986972], [-1.463131916, 46.202765709], [-1.474412388, 46.202959628]]], [[[-1.104535589, 46.314956132], [-1.087791897, 46.317741489], [-1.052461124, 46.342570172], [-1.013404094, 46.355596584], [-0.995070994, 46.350509224], [-0.974806128, 46.351227913], [-0.964967183, 46.365338239], [-0.951089728, 46.360270867], [-0.934110486, 46.367314561], [-0.943137, 46.337091362], [-0.963144393, 46.322681758], [-0.932641111, 46.310623779], [-0.903716638, 46.31416342], [-0.893541275, 46.322795435], [-0.878241907, 46.324319114], [-0.849768445, 46.317808671], [-0.848873941, 46.331716364], [-0.840347968, 46.340459664], [-0.825562668, 46.336339493], [-0.808125077, 46.339284844], [-0.802781945, 46.325257226], [-0.775480258, 46.318502764], [-0.750377508, 46.304403558], [-0.755554452, 46.300917207], [-0.748539592, 46.283189796], [-0.735392381, 46.269683309], [-0.751850278, 46.253446744], [-0.751917569, 46.245347278], [-0.688599968, 46.21704365], [-0.684603382, 46.199717319], [-0.689313799, 46.181966931], [-0.667025837, 46.184689823], [-0.655075356, 46.169493372], [-0.627766197, 46.161123826], [-0.628265916, 46.142954703], [-0.599904286, 46.143528621], [-0.583113598, 46.139568081], [-0.552711098, 46.145058609], [-0.53322897, 46.139725554], [-0.529679837, 46.131119546], [-0.514072666, 46.125794441], [-0.511434664, 46.109003172], [-0.491025132, 46.108274653], [-0.46807732, 46.102186715], [-0.440199519, 46.104589469], [-0.423064421, 46.111266608], [-0.422304298, 46.093797319], [-0.401316877, 46.084178736], [-0.39015532, 46.096010186], [-0.371964069, 46.093472631], [-0.362891401, 46.075551801], [-0.3308205, 46.082571308], [-0.303651179, 46.077532052], [-0.291652128, 46.087682335], [-0.279679934, 46.078837138], [-0.272991087, 46.057305408], [-0.212620581, 46.044121438], [-0.199892975, 46.048605548], [-0.187360753, 46.026189206], [-0.171419113, 46.033122642], [-0.162640185, 46.022244323], [-0.164717327, 46.010706632], [-0.139171093, 45.999369334], [-0.137140549, 45.979049392], [-0.116233464, 45.977495537], [-0.103119181, 45.969661296], [-0.086335871, 45.948016031], [-0.098540519, 45.935120796], [-0.14668188, 45.924673323], [-0.133134948, 45.908342071], [-0.146687298, 45.90080918], [-0.144466313, 45.891838186], [-0.131283527, 45.891099316], [-0.131419413, 45.87795514], [-0.114346819, 45.872795433], [-0.139970039, 45.83627777], [-0.135920327, 45.817611079], [-0.155182611, 45.797643268], [-0.148502565, 45.789132333], [-0.190780584, 45.790071316], [-0.200547002, 45.779185377], [-0.222095148, 45.777018113], [-0.243639357, 45.796231658], [-0.244300374, 45.805396397], [-0.288820094, 45.806464414], [-0.30740298, 45.787149394], [-0.330321261, 45.787534092], [-0.369343807, 45.780504984], [-0.401770623, 45.786610595], [-0.403032153, 45.77102286], [-0.413874924, 45.771639714], [-0.449455914, 45.762635836], [-0.461128331, 45.753797267], [-0.460017482, 45.739351133], [-0.415623894, 45.741880669], [-0.399833965, 45.735517053], [-0.418678376, 45.727188285], [-0.422146386, 45.709537666], [-0.415239984, 45.697224228], [-0.422921573, 45.685590064], [-0.41044831, 45.683077132], [-0.382561648, 45.659767815], [-0.396697186, 45.652405527], [-0.40899907, 45.656266107], [-0.424934999, 45.631235423], [-0.432673182, 45.625045337], [-0.41657688, 45.617124324], [-0.389943698, 45.626013297], [-0.38069638, 45.621220894], [-0.377149869, 45.609277029], [-0.360780545, 45.59789025], [-0.34485311, 45.594688045], [-0.324441095, 45.5813887], [-0.313677882, 45.578857662], [-0.300725097, 45.565252165], [-0.310660517, 45.54388195], [-0.321622207, 45.534981807], [-0.304561004, 45.528072332], [-0.288911664, 45.528792298], [-0.255356004, 45.521176015], [-0.267815575, 45.508670717], [-0.253009394, 45.501162764], [-0.264565396, 45.470681775], [-0.280857014, 45.4741917], [-0.286034639, 45.456506456], [-0.267637526, 45.456064424], [-0.24867576, 45.438582803], [-0.254245875, 45.430368804], [-0.247917807, 45.418259722], [-0.258486448, 45.402169789], [-0.277991501, 45.398838474], [-0.282864219, 45.388592069], [-0.310017592, 45.386997054], [-0.312124299, 45.377079667], [-0.279548495, 45.364836419], [-0.281102957, 45.354971115], [-0.250881833, 45.357422824], [-0.247841385, 45.343505401], [-0.26944445, 45.342359046], [-0.288719075, 45.329068952], [-0.282643055, 45.309881076], [-0.265986492, 45.302271347], [-0.254329652, 45.31155564], [-0.230463565, 45.314594219], [-0.157732723, 45.305517418], [-0.142717398, 45.290149491], [-0.12453337, 45.294486281], [-0.109057572, 45.289653222], [-0.113058133, 45.281947133], [-0.112457946, 45.254431547], [-0.115399492, 45.248053371], [-0.077006742, 45.245646236], [-0.047826806, 45.248852919], [-0.033486788, 45.234380555], [-0.018040267, 45.228891464], [0.005198567, 45.225993791], [-0.001636359, 45.194939561], [0.004244541, 45.191671691], [0.000710922, 45.182707593], [-0.017520112, 45.169714654], [-0.018317504, 45.161868187], [0.003302899, 45.152157342], [-0.018412529, 45.147227757], [-0.036881547, 45.138951014], [-0.029193101, 45.12993679], [-0.041434901, 45.114363696], [-0.04047746, 45.102613756], [-0.062955697, 45.099109352], [-0.084481489, 45.116086794], [-0.097857423, 45.121051239], [-0.129690452, 45.103976335], [-0.130201694, 45.097382998], [-0.15231594, 45.088738745], [-0.2094878, 45.100332416], [-0.227089322, 45.109225768], [-0.247043031, 45.108756133], [-0.26477702, 45.126080337], [-0.275339349, 45.141370849], [-0.307845002, 45.149635978], [-0.338665052, 45.167096974], [-0.363585484, 45.170330901], [-0.388007553, 45.150417995], [-0.402938177, 45.190395294], [-0.420927, 45.208560088], [-0.405154163, 45.239700547], [-0.407319878, 45.247646765], [-0.424999364, 45.248431001], [-0.41542439, 45.26909834], [-0.425892696, 45.278702832], [-0.442534231, 45.285104425], [-0.486988275, 45.293481486], [-0.517746807, 45.289091041], [-0.571089043, 45.299872733], [-0.574083319, 45.314209673], [-0.570958559, 45.328989091], [-0.584925118, 45.34308964], [-0.604678378, 45.32422817], [-0.636128842, 45.318036193], [-0.644033547, 45.322016409], [-0.718835687, 45.327527536], [-0.734331999, 45.368842331], [-0.756239237, 45.406048687], [-0.801692188, 45.459528524], [-0.847550638, 45.498827984], [-0.875984581, 45.517486907], [-0.9323135, 45.547897064], [-0.962874962, 45.556853024], [-0.992289359, 45.57653961], [-0.988472406, 45.583370657], [-0.995622834, 45.59817744], [-1.012472248, 45.599996238], [-1.010053472, 45.612003153], [-1.020756832, 45.621561494], [-1.042375105, 45.617674677], [-1.070763403, 45.633209641], [-1.116556428, 45.64824129], [-1.155599544, 45.672995475], [-1.179129706, 45.680985525], [-1.204531086, 45.696229662], [-1.228459628, 45.694171916], [-1.2377266, 45.709120392], [-1.243740126, 45.770539337], [-1.2407274, 45.783171359], [-1.210582338, 45.794211592], [-1.192020716, 45.789329304], [-1.156876078, 45.802310533], [-1.142379878, 45.79712777], [-1.134186992, 45.802576338], [-1.137496172, 45.820366929], [-1.152624004, 45.83184306], [-1.161482032, 45.854183893], [-1.121448927, 45.857960802], [-1.106184981, 45.869106634], [-1.100715256, 45.879315239], [-1.080872708, 45.898703489], [-1.073124861, 45.915935754], [-1.077388743, 45.937318094], [-1.09589705, 45.942081041], [-1.096830164, 45.94900841], [-1.069513674, 45.949561809], [-1.081494349, 45.963685275], [-1.083332745, 45.977532133], [-1.099382824, 45.990859739], [-1.080821752, 45.996698103], [-1.061171654, 45.994114554], [-1.053277546, 46.013032529], [-1.060930098, 46.028646003], [-1.060942382, 46.045383516], [-1.076421007, 46.053194448], [-1.089084835, 46.053983398], [-1.100957902, 46.094219452], [-1.1243399, 46.112442768], [-1.127042362, 46.125652955], [-1.145616515, 46.127310377], [-1.163644241, 46.141980742], [-1.163303815, 46.155694266], [-1.199540393, 46.147377144], [-1.221150678, 46.147399713], [-1.220601959, 46.157749945], [-1.230806336, 46.165762961], [-1.218232017, 46.179820527], [-1.199185969, 46.194198826], [-1.206519559, 46.203612431], [-1.199167809, 46.212817193], [-1.173126454, 46.222533301], [-1.144229628, 46.242242734], [-1.140877586, 46.252768899], [-1.111041121, 46.262080296], [-1.127753711, 46.305685775], [-1.118799562, 46.315737652], [-1.104535589, 46.314956132]]], [[[-1.300708218, 45.899932596], [-1.317763466, 45.910870755], [-1.342909132, 45.919899744], [-1.385025096, 45.95194807], [-1.395497665, 45.977076703], [-1.387419469, 45.998141711], [-1.39988124, 46.016120579], [-1.410753353, 46.040874035], [-1.391234712, 46.042228558], [-1.370337667, 46.03935439], [-1.369168607, 46.029230887], [-1.345366543, 46.01545723], [-1.335721601, 46.013633687], [-1.320973289, 45.99810505], [-1.304485765, 45.990261462], [-1.288470805, 45.987635527], [-1.247610957, 45.990439938], [-1.234466124, 45.982304205], [-1.233387186, 45.968170267], [-1.241522263, 45.954728224], [-1.227045996, 45.941841712], [-1.232858824, 45.926127934], [-1.224522422, 45.913882454], [-1.201967579, 45.900621412], [-1.188370202, 45.886395993], [-1.207414882, 45.850327972], [-1.195441069, 45.82911684], [-1.218670595, 45.812342537], [-1.235366182, 45.80471186], [-1.242478122, 45.814013497], [-1.251236721, 45.851340151], [-1.268274649, 45.881099925], [-1.293145138, 45.899911802], [-1.300708218, 45.899932596]]]], ""type"": ""MultiPolygon""}","45.780819406, -0.675882853","45.78106585396306, -0.6762405302028192"
