code_commune,nom_commune,population,nb_locaux,nb_adresses_locaux
35001,Acigné,6645,3212,2197
35022,Bécherel,673,451,302
35024,Betton,11222,5955,3614
35032,Bourgbarré,3986,1927,1446
35039,Brécé,2112,887,731
35047,Bruz,18094,10495,4895
35051,Cesson-Sévigné,17371,10490,4957
35055,Chantepie,10379,5660,2363
35058,La Chapelle-Chaussée,1262,548,507
35059,La Chapelle-des-Fougeretz,4800,2174,1511
35065,La Chapelle-Thouarault,2157,1005,796
35066,Chartres-de-Bretagne,7578,4471,2321
35076,Chavagne,3909,2023,1388
35079,Chevaigné,2212,1000,786
35080,Cintré,2276,955,840
35081,Clayes,858,352,311
35088,Corps-Nuds,3256,1542,1225
35120,Gévezé,5180,2486,1821
35131,L'Hermitage,4321,2272,1448
35132,Hirel,1380,855,716
35135,Irodouër,2249,1009,888
35136,Janzé,8287,4237,2970
35139,Laillé,5089,2316,1869
35144,Langan,948,451,415
35150,Lécousse,3207,1666,1527
35160,Loutehel,265,184,171
35170,Mecé,605,295,287
35180,Miniac-sous-Bécherel,765,350,328
35189,Montgermont,3296,1839,1068
35190,Monthault,273,179,171
35196,Mordelles,7321,4028,2345
35200,Moutiers,935,394,379
35204,Nouvoitou,3016,1459,1229
35206,Noyal-Châtillon-sur-Seiche,6915,3613,2183
35208,Orgères,4494,2289,1690
35210,Pacé,11764,5665,3449
35216,Parthenay-de-Bretagne,1675,709,565
35230,Poilley,383,258,239
35235,Rannée,1102,569,535
35238,Rennes,216268,142047,25520
35240,Le Rheu,8571,4523,2400
35245,Romillé,3891,1824,1426
35250,Saint-Armel,1869,1067,713
35266,Saint-Erblon,2925,1561,1011
35275,Saint-Gilles,4716,2399,1640
35278,Saint-Grégoire,9521,5564,3113
35281,Saint-Jacques-de-la-Lande,12917,7383,2435
35310,Saint-Sauveur-des-Landes,1512,657,626
35315,Saint-Sulpice-la-Forêt,1302,621,560
35334,Thorigné-Fouillard,8425,3898,2527
35351,Le Verger,1445,598,542
35352,Vern-sur-Seiche,7893,4048,2782
35353,Vezin-le-Coquet,5650,2643,1620
35363,Pont-Péan,4225,2048,1305
