code_commune,nom_commune,population,nb_locaux,nb_adresses_locaux
35001,Acigné,6865,3364,2251
35022,Bécherel,698,458,305
35024,Betton,12637,6219,3706
35032,Bourgbarré,4579,1993,1504
35039,Brécé,2040,965,776
35047,Bruz,19090,11130,5046
35051,Cesson-Sévigné,17316,11119,4991
35055,Chantepie,10236,6023,2398
35058,La Chapelle-Chaussée,1302,556,514
35059,La Chapelle-des-Fougeretz,4628,2186,1525
35065,La Chapelle-Thouarault,2244,1027,816
35066,Chartres-de-Bretagne,8190,4687,2341
35076,Chavagne,4268,2195,1474
35079,Chevaigné,2355,1045,816
35080,Cintré,2476,1055,908
35081,Clayes,910,384,342
35088,Corps-Nuds,3526,1645,1247
35120,Gévezé,5685,2707,1945
35131,L'Hermitage,4647,2386,1476
35132,Hirel,1391,871,716
35135,Irodouër,2263,1049,923
35136,Janzé,8523,4406,3074
35139,Laillé,5162,2449,1930
35144,Langan,1064,491,444
35150,Lécousse,3279,1787,1620
35160,Loutehel,243,182,168
35170,Mecé,606,301,293
35180,Miniac-sous-Bécherel,795,352,330
35189,Montgermont,3564,2003,1138
35190,Monthault,248,183,172
35196,Mordelles,7485,4300,2409
35200,Moutiers,914,396,374
35204,Nouvoitou,3378,1621,1352
35206,Noyal-Châtillon-sur-Seiche,7318,4198,2320
35208,Orgères,5341,2550,1864
35210,Pacé,12004,5824,3473
35216,Parthenay-de-Bretagne,1794,727,582
35230,Poilley,370,257,239
35235,Rannée,1073,578,540
35238,Rennes,222485,147098,25669
35240,Le Rheu,9247,4927,2582
35245,Romillé,4085,1919,1490
35250,Saint-Armel,2219,1146,783
35266,Saint-Erblon,3428,1722,1116
35275,Saint-Gilles,5312,2608,1692
35278,Saint-Grégoire,9881,5722,3138
35281,Saint-Jacques-de-la-Lande,13955,7690,2452
35310,Saint-Sauveur-des-Landes,1543,671,642
35315,Saint-Sulpice-la-Forêt,1440,640,573
35334,Thorigné-Fouillard,8584,3995,2590
35351,Le Verger,1435,602,544
35352,Vern-sur-Seiche,8289,4350,2813
35353,Vezin-le-Coquet,6234,2808,1637
35363,Pont-Péan,4389,2061,1312
