code_commune,nom_commune,population,nb_locaux,nb_adresses_locaux
35001,Acigné,6888,3466,2293
35022,Bécherel,690,457,306
35024,Betton,12695,6470,3794
35032,Bourgbarré,4580,2113,1563
35039,Brécé,2147,1007,815
35047,Bruz,19651,11403,5118
35051,Cesson-Sévigné,17716,12143,5056
35055,Chantepie,10232,6178,2411
35058,La Chapelle-Chaussée,1300,558,515
35059,La Chapelle-des-Fougeretz,4604,2436,1597
35065,La Chapelle-Thouarault,2252,1065,826
35066,Chartres-de-Bretagne,8237,4898,2378
35076,Chavagne,4415,2327,1504
35079,Chevaigné,2365,1050,820
35080,Cintré,2533,1077,928
35081,Clayes,937,393,345
35088,Corps-Nuds,3543,1692,1261
35120,Gévezé,5890,2807,1990
35131,L'Hermitage,4692,2444,1470
35132,Hirel,1386,886,720
35135,Irodouër,2284,1069,945
35136,Janzé,8570,4502,3119
35139,Laillé,5131,2563,1996
35144,Langan,1075,496,449
35150,Lécousse,3322,1874,1686
35160,Loutehel,240,183,169
35170,Mecé,608,307,298
35180,Miniac-sous-Bécherel,796,353,331
35189,Montgermont,3692,2018,1149
35190,Monthault,246,184,173
35196,Mordelles,7658,4434,2435
35200,Moutiers,910,397,374
35204,Nouvoitou,3554,1682,1395
35206,Noyal-Châtillon-sur-Seiche,7631,4708,2427
35208,Orgères,5471,2663,1907
35210,Pacé,11918,5903,3485
35216,Parthenay-de-Bretagne,1793,727,582
35230,Poilley,367,266,240
35235,Rannée,1061,576,539
35238,Rennes,225081,150941,25887
35240,Le Rheu,9535,5019,2626
35245,Romillé,4119,2013,1557
35250,Saint-Armel,2271,1213,848
35266,Saint-Erblon,3466,1839,1185
35275,Saint-Gilles,5402,2686,1719
35278,Saint-Grégoire,9837,5815,3162
35281,Saint-Jacques-de-la-Lande,13656,8055,2483
35310,Saint-Sauveur-des-Landes,1551,674,644
35315,Saint-Sulpice-la-Forêt,1499,647,572
35334,Thorigné-Fouillard,8582,4246,2605
35351,Le Verger,1419,619,552
35352,Vern-sur-Seiche,8233,4402,2844
35353,Vezin-le-Coquet,6337,3014,1644
35363,Pont-Péan,4335,2156,1317
