code_commune,nom_commune,population,nb_locaux,nb_adresses_locaux
35001,Acigné,6865,3395,2276
35022,Bécherel,698,458,305
35024,Betton,12637,6374,3753
35032,Bourgbarré,4579,2032,1539
35039,Brécé,2040,993,807
35047,Bruz,19090,11260,5100
35051,Cesson-Sévigné,17316,11437,5027
35055,Chantepie,10236,6113,2405
35058,La Chapelle-Chaussée,1302,558,514
35059,La Chapelle-des-Fougeretz,4628,2286,1539
35065,La Chapelle-Thouarault,2244,1047,814
35066,Chartres-de-Bretagne,8190,4759,2352
35076,Chavagne,4268,2272,1497
35079,Chevaigné,2355,1049,817
35080,Cintré,2476,1069,922
35081,Clayes,910,390,347
35088,Corps-Nuds,3526,1664,1253
35120,Gévezé,5685,2765,1967
35131,L'Hermitage,4647,2419,1477
35132,Hirel,1391,882,719
35135,Irodouër,2263,1054,928
35136,Janzé,8523,4453,3100
35139,Laillé,5162,2504,1968
35144,Langan,1064,493,446
35150,Lécousse,3279,1852,1663
35160,Loutehel,243,182,168
35170,Mecé,606,305,296
35180,Miniac-sous-Bécherel,795,353,331
35189,Montgermont,3564,2015,1147
35190,Monthault,248,184,173
35196,Mordelles,7485,4432,2430
35200,Moutiers,914,397,374
35204,Nouvoitou,3378,1650,1379
35206,Noyal-Châtillon-sur-Seiche,7318,4498,2395
35208,Orgères,5341,2600,1888
35210,Pacé,12004,5843,3473
35216,Parthenay-de-Bretagne,1794,727,582
35230,Poilley,370,263,236
35235,Rannée,1073,577,539
35238,Rennes,222485,149098,25789
35240,Le Rheu,9247,4966,2600
35245,Romillé,4085,1954,1520
35250,Saint-Armel,2219,1180,815
35266,Saint-Erblon,3428,1746,1137
35275,Saint-Gilles,5312,2664,1703
35278,Saint-Grégoire,9881,5798,3150
35281,Saint-Jacques-de-la-Lande,13955,7852,2463
35310,Saint-Sauveur-des-Landes,1543,673,643
35315,Saint-Sulpice-la-Forêt,1440,649,574
35334,Thorigné-Fouillard,8584,4206,2604
35351,Le Verger,1435,607,538
35352,Vern-sur-Seiche,8289,4352,2829
35353,Vezin-le-Coquet,6234,2849,1636
35363,Pont-Péan,4389,2092,1314
