CODGEO_26,LIBGEO_26,pp_vacant_26,pp_vacant_plus_2ans_26,ff_pp_total_25,pp_vacant_25,pp_vacant_plus_2ans_25,ff_pp_total_24,pp_vacant_24,pp_vacant_plus_2ans_24,ff_pp_total_23,pp_vacant_23,pp_vacant_plus_2ans_23,ff_pp_total_22,pp_vacant_22,pp_vacant_plus_2ans_22,ff_pp_total_21,pp_vacant_21,pp_vacant_plus_2ans_21,ff_pp_total_20,pp_vacant_20,pp_vacant_plus_2ans_20,EPCI_26,LIB_EPCI_26,DEP,LIB_DEP,REG,LIB_REG
35245,Romillé,143,51,1777,107,54,1742,156,s,1715,133,44,1687,121,42,1651,106,39,1627,110,40,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35250,Saint-Armel,51,s,1039,28,11,1058,82,s,1026,53,s,991,58,s,957,57,13,925,62,12,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35266,Saint-Erblon,70,15,1533,41,16,1479,127,s,1397,70,15,1373,92,15,1339,93,20,1283,108,s,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35275,Saint-Gilles,105,23,1970,60,23,2116,123,s,2101,90,25,2050,157,27,1979,118,21,1948,148,16,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35278,Saint-Grégoire,234,43,4329,151,62,4439,308,48,4432,280,48,4352,193,31,4306,276,37,4295,245,36,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35281,Saint-Jacques-de-la-Lande,338,49,5956,230,83,5940,498,54,5844,551,65,5693,624,129,5496,746,117,5453,610,81,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35315,Saint-Sulpice-la-Forêt,17,s,593,s,s,592,15,s,592,19,s,592,13,s,591,15,s,590,28,s,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35334,Thorigné-Fouillard,126,13,3265,76,18,3400,158,19,3392,129,14,3289,123,15,3246,101,16,3221,108,12,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35351,Le Verger,24,s,520,17,s,502,24,s,489,12,s,484,17,s,485,19,s,485,27,s,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35352,Vern-sur-Seiche,163,46,3373,97,50,3423,192,34,3376,169,23,3363,132,29,3333,142,39,3307,237,25,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35353,Vezin-le-Coquet,124,20,2312,87,40,2300,255,27,2141,157,25,2112,216,25,2088,161,24,2041,145,22,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35363,Pont-Péan,93,20,1741,40,22,1778,150,s,1736,63,15,1705,100,32,1699,109,35,1678,118,23,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
36196,Saint-Gilles,26,s,s,21,s,s,21,s,s,21,s,s,20,s,s,19,s,s,19,s,200035137,Communauté de communes Marche Occitane - Val d'Anglin,36,Indre,24,Centre-Val de Loire
50483,Saint-Gilles,46,23,484,30,s,470,42,s,466,59,23,443,44,23,441,40,18,437,44,19,200066389,Communauté d'agglomération Saint-Lô Agglo,50,Manche,28,Normandie
51484,Saint-Gilles,13,s,s,s,s,s,14,s,s,s,s,s,s,s,s,s,s,s,s,s,200067213,Communauté urbaine du Grand Reims,51,Marne,44,Grand Est
53042,Brecé,58,32,473,47,29,471,57,s,468,55,29,467,47,29,465,50,26,467,48,24,245300389,Communauté de communes du Bocage Mayennais,53,Mayenne,52,Pays de la Loire
53214,Saint-Erblon,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,200048551,Communauté de communes du Pays de Craon,53,Mayenne,52,Pays de la Loire
56205,Saint-Armel,31,15,775,29,17,767,35,s,764,44,14,756,55,14,750,46,13,740,35,s,200067932,Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération,56,Morbihan,53,Bretagne
61317,Orgères,12,s,s,12,s,s,19,s,s,11,s,s,15,s,s,17,s,s,17,s,200069458,Communauté de communes des Vallées d'Auge et du Merlerault,61,Orne,28,Normandie
61321,Pacé,s,s,162,s,s,163,13,s,163,16,s,177,s,s,175,18,s,175,11,s,246100663,Communauté urbaine d'Alençon,61,Orne,28,Normandie
71425,Saint-Gilles,26,14,s,23,s,s,25,s,s,26,s,s,26,s,s,25,s,s,29,12,247100589,Communauté d'agglomération Le Grand Chalon,71,Saône-et-Loire,27,Bourgogne-Franche-Comté
81253,Saint-Grégoire,29,18,s,23,s,s,40,s,s,37,15,s,24,s,s,27,13,s,28,13,248100497,Communauté de communes Val 81,81,Tarn,76,Occitanie
