date_mesure,geocode_commune,libelle_commune,type_transport_en_commun,valeur
2025-01-01T00:00:00.000,35150,Lécousse,bus,13.0
2025-01-01T00:00:00.000,35235,Rannée,bus,1.0
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,bus,14.0
2025-01-01T00:00:00.000,35240,Le Rheu,métro,0.0
2025-01-01T00:00:00.000,35132,Hirel,bus,7.0
2025-01-01T00:00:00.000,35079,Chevaigné,autres,0.0
2025-01-01T00:00:00.000,35132,Hirel,autres,0.0
2025-01-01T00:00:00.000,35022,Bécherel,autres,0.0
2025-01-01T00:00:00.000,35076,Chavagne,métro,0.0
2025-01-01T00:00:00.000,35076,Chavagne,autres,0.0
2025-01-01T00:00:00.000,35139,Laillé,autres,0.0
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,bus,12.0
2025-01-01T00:00:00.000,35196,Mordelles,métro,0.0
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,bus,27.0
2025-01-01T00:00:00.000,35001,Acigné,métro,0.0
2025-01-01T00:00:00.000,35200,Moutiers,métro,0.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,autres,0.0
2025-01-01T00:00:00.000,35230,Poilley,bus,0.0
2025-01-01T00:00:00.000,35208,Orgères,métro,0.0
2025-01-01T00:00:00.000,35120,Gévezé,bus,11.0
2025-01-01T00:00:00.000,35210,Pacé,autres,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,bus,10.0
2025-01-01T00:00:00.000,35132,Hirel,métro,0.0
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,bus,8.0
2025-01-01T00:00:00.000,35250,Saint-Armel,autres,0.0
2025-01-01T00:00:00.000,35190,Monthault,bus,0.0
2025-01-01T00:00:00.000,35210,Pacé,métro,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,autres,0.0
2025-01-01T00:00:00.000,35135,Irodouër,bus,1.0
2025-01-01T00:00:00.000,35088,Corps-Nuds,bus,6.0
2025-01-01T00:00:00.000,35139,Laillé,métro,0.0
2025-01-01T00:00:00.000,35081,Clayes,autres,0.0
2025-01-01T00:00:00.000,35230,Poilley,autres,0.0
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,autres,0.0
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,autres,0.0
2025-01-01T00:00:00.000,35189,Montgermont,métro,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,métro,0.0
2025-01-01T00:00:00.000,35190,Monthault,métro,0.0
2025-01-01T00:00:00.000,35250,Saint-Armel,métro,0.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,métro,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,métro,0.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,métro,2.0
2025-01-01T00:00:00.000,35139,Laillé,bus,27.0
2025-01-01T00:00:00.000,35170,Mecé,métro,0.0
2025-01-01T00:00:00.000,35135,Irodouër,autres,0.0
2025-01-01T00:00:00.000,35204,Nouvoitou,bus,12.0
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,métro,0.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,métro,0.0
2025-01-01T00:00:00.000,35245,Romillé,métro,0.0
2025-01-01T00:00:00.000,35047,Bruz,autres,0.0
2025-01-01T00:00:00.000,35144,Langan,autres,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,métro,0.0
2025-01-01T00:00:00.000,35235,Rannée,autres,0.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,autres,0.0
2025-01-01T00:00:00.000,35039,Brécé,métro,0.0
2025-01-01T00:00:00.000,35245,Romillé,bus,7.0
2025-01-01T00:00:00.000,35144,Langan,métro,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,métro,0.0
2025-01-01T00:00:00.000,35076,Chavagne,bus,6.0
2025-01-01T00:00:00.000,35136,Janzé,métro,0.0
2025-01-01T00:00:00.000,35047,Bruz,bus,34.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,métro,0.0
2025-01-01T00:00:00.000,35230,Poilley,métro,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,autres,0.0
2025-01-01T00:00:00.000,35190,Monthault,autres,0.0
2025-01-01T00:00:00.000,35080,Cintré,bus,9.0
2025-01-01T00:00:00.000,35208,Orgères,autres,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,autres,0.0
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,métro,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,bus,12.0
2025-01-01T00:00:00.000,35032,Bourgbarré,métro,0.0
2025-01-01T00:00:00.000,35024,Betton,autres,0.0
2025-01-01T00:00:00.000,35160,Loutehel,métro,0.0
2025-01-01T00:00:00.000,35055,Chantepie,autres,0.0
2025-01-01T00:00:00.000,35351,Le Verger,autres,0.0
2025-01-01T00:00:00.000,35081,Clayes,bus,4.0
2025-01-01T00:00:00.000,35200,Moutiers,bus,1.0
2025-01-01T00:00:00.000,35120,Gévezé,métro,0.0
2025-01-01T00:00:00.000,35170,Mecé,autres,0.0
2025-01-01T00:00:00.000,35136,Janzé,bus,3.0
2025-01-01T00:00:00.000,35235,Rannée,métro,0.0
2025-01-01T00:00:00.000,35022,Bécherel,métro,0.0
2025-01-01T00:00:00.000,35135,Irodouër,métro,0.0
2025-01-01T00:00:00.000,35238,Rennes,bus,263.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,bus,36.0
2025-01-01T00:00:00.000,35351,Le Verger,métro,0.0
2025-01-01T00:00:00.000,35210,Pacé,bus,28.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,métro,2.0
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,bus,11.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,autres,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,métro,0.0
2025-01-01T00:00:00.000,35039,Brécé,autres,0.0
2025-01-01T00:00:00.000,35160,Loutehel,autres,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,bus,6.0
2025-01-01T00:00:00.000,35136,Janzé,autres,0.0
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,bus,16.0
2025-01-01T00:00:00.000,35196,Mordelles,bus,13.0
2025-01-01T00:00:00.000,35080,Cintré,autres,0.0
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,autres,0.0
2025-01-01T00:00:00.000,35240,Le Rheu,autres,0.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,bus,2.0
2025-01-01T00:00:00.000,35079,Chevaigné,bus,5.0
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,métro,0.0
2025-01-01T00:00:00.000,35144,Langan,bus,3.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,autres,0.0
2025-01-01T00:00:00.000,35032,Bourgbarré,autres,0.0
2025-01-01T00:00:00.000,35204,Nouvoitou,autres,0.0
2025-01-01T00:00:00.000,35150,Lécousse,métro,0.0
2025-01-01T00:00:00.000,35245,Romillé,autres,0.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,métro,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,bus,27.0
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,métro,0.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,bus,59.0
2025-01-01T00:00:00.000,35088,Corps-Nuds,autres,0.0
2025-01-01T00:00:00.000,35238,Rennes,métro,24.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,autres,0.0
2025-01-01T00:00:00.000,35120,Gévezé,autres,0.0
2025-01-01T00:00:00.000,35200,Moutiers,autres,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,autres,0.0
2025-01-01T00:00:00.000,35001,Acigné,bus,8.0
2025-01-01T00:00:00.000,35238,Rennes,autres,0.0
2025-01-01T00:00:00.000,35208,Orgères,bus,21.0
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,métro,0.0
2025-01-01T00:00:00.000,35160,Loutehel,bus,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,autres,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,autres,0.0
2025-01-01T00:00:00.000,35001,Acigné,autres,0.0
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,autres,0.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,bus,14.0
2025-01-01T00:00:00.000,35024,Betton,métro,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,bus,20.0
2025-01-01T00:00:00.000,35240,Le Rheu,bus,21.0
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,autres,0.0
2025-01-01T00:00:00.000,35189,Montgermont,autres,0.0
2025-01-01T00:00:00.000,35189,Montgermont,bus,12.0
2025-01-01T00:00:00.000,35204,Nouvoitou,métro,0.0
2025-01-01T00:00:00.000,35032,Bourgbarré,bus,16.0
2025-01-01T00:00:00.000,35039,Brécé,bus,7.0
2025-01-01T00:00:00.000,35055,Chantepie,bus,19.0
2025-01-01T00:00:00.000,35079,Chevaigné,métro,0.0
2025-01-01T00:00:00.000,35351,Le Verger,bus,5.0
2025-01-01T00:00:00.000,35250,Saint-Armel,bus,5.0
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,autres,0.0
2025-01-01T00:00:00.000,35080,Cintré,métro,0.0
2025-01-01T00:00:00.000,35022,Bécherel,bus,3.0
2025-01-01T00:00:00.000,35024,Betton,bus,27.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,bus,7.0
2025-01-01T00:00:00.000,35081,Clayes,métro,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,métro,0.0
2025-01-01T00:00:00.000,35047,Bruz,métro,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,bus,1.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,autres,0.0
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,métro,0.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,bus,16.0
2025-01-01T00:00:00.000,35055,Chantepie,métro,0.0
2025-01-01T00:00:00.000,35150,Lécousse,autres,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,autres,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,bus,1.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,métro,0.0
2025-01-01T00:00:00.000,35196,Mordelles,autres,0.0
2025-01-01T00:00:00.000,35170,Mecé,bus,1.0
2025-01-01T00:00:00.000,35088,Corps-Nuds,métro,0.0
2025-01-01T00:00:00.000,35132,Hirel,tramway,0.0
2025-01-01T00:00:00.000,35210,Pacé,train,0.0
