Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,"Libellé commune pour calcul CP, INSEE",Dépt SK,Nom Département,Commentaires,N° de l'édition 2019,Check édition,"Mois indicatif en chiffre, y compris double mois",Mois indicatif,Date début ancien,Date de fin ancien,Soutien 2017 MCC à la structure,Part festival sur soutien à la structure,Enquête DRAC 2017
Biennale d'art contemporain de Rennes,Bretagne,Arts plastiques et visuels,,35,Biennale années paires,09 (septembre),,CI003,RENNES,,6.0,,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,41.0,1979.0,9.0,Septembre,2018-09-29,2018-12-02,,,
ROCK N SOLEX,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,35,Annuelle,04 (avril),www.rocknsolex.fr,,RENNES,,,1968-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,"52ème édition du plus ancien festival étudiant de France, organisé par les élèves de l'INSA de Rennes, le Rock N Solex.",52.0,0.0,4.0,,2019-04-24,2019-04-28,,,
BARS EN TRANS,Bretagne,Musiques actuelles,,35,Annuelle,12 (décembre),www.barsentrans.com,CD029,RENNES,,34.0,1985-01-01,,,,oui,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,35.0,0.0,12.0,Décembre,2018-12-06,2018-12-09,,,
MADE FESTIVAL,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,35,Annuelle,05 (mai),www.made-festival.fr,,RENNES,,3.0,2016-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,4.0,0.0,5.0,,2019-05-24,2019-05-25,,,
I'm from Rennes,Bretagne,Musiques actuelles,,35,Annuelle,09 (septembre),http://www.imfromrennes.com,CD162,RENNES,,7.0,2012-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,8.0,0.0,9.0,Septembre,2018-09-14,2018-09-23,,,
LA FLUME ENCHANTEE,Bretagne,Musiques actuelles,,35,Annuelle,09 (septembre),www.festival-laflumeenchantee.fr,CD165,Geveze,,6.0,2013-01-01,,,,,,,,,35850,35120,"48.2133254705, -1.79930703575",GEVEZE,35.0,Ille-et-Vilaine,,7.0,0.0,9.0,Septembre,2018-09-07,2018-09-08,,,
JAZZ À L'OUEST,Bretagne,Musiques actuelles,"Jazz, blues et musiques improvisées",35,Annuelle,11 (novembre),www.jazzalouest.com,CD132,RENNES,,29.0,1990-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,30.0,0.0,11.0,Novembre,2018-11-06,2018-11-24,,,
BIG LOVE,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,35,Annuelle,06 (juin),http://crabcakecorporation.com,CD032,RENNES,,4.0,2015-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,5.0,0.0,6.0,,2019-06-07,2019-06-09,,,
BALLADE AVEC BRASSENS,Bretagne,Musiques actuelles,Chanson,35,Annuelle,09 (septembre),http://balladeavecbrassens.fr/,CD166,RENNES,St Brieuc,15.0,2004-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,années paires à Rennes et années impaires à Saint-Brieuc,16.0,0.0,9.0,Septembre,2018-09-05,2018-09-09,,,
FESTIVAL AQUI CUBA,Bretagne,Musiques actuelles,Musiques traditionnelles et du monde,35,Annuelle,10 (octobre),http://www.aquicuba.fr/,CD013,RENNES,,16.0,2003-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,17.0,0.0,10.0,Octobre,2018-10-20,2018-10-21,,,
AY-ROOP [Temps Fort arts du cirque],Bretagne,Cirque et Arts de la rue,Cirque,35,annuelle,03 (mars),www.ay-roop.com,CM004,RENNES,Diverses communes (Rennes Métropole / Ille-et-Vilaine / Bretagne),6.0,2013-01-01,oui,,,,oui,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,"""Le festival est l'espace-temps qui fédère les publics, les artistes, les bénévoles, les partenaires autour de la découverte et du soutien à la création des arts du cirque. Le festival se décline dans différents lieux et sites de la métropole rennaise, du département et de la région avec une programmation qui fait preuve de la diversité et de la créativité des arts du cirque et qui allie exigence artitsique et accès au plus grand nombre.""",7.0,0.0,3.5,,2019-03-14,2019-03-30,,,
MYTHOS,Bretagne,Musiques actuelles,,35,Annuelle,03 (mars),www.festival-mythos.com,CD145,ST JACQUES DE LA LANDE,Rennes (35) / Cesson Sevigne (35),22.0,1997-01-01,,,,oui,,,,,35136,35281,"48.0755625884, -1.72405381322",ST JACQUES DE LA LANDE,35.0,Ille-et-Vilaine,23ème édition du festival Mythos à Rennes,23.0,0.0,3.0,,2019-03-29,2019-04-07,,,
