site_id,site_nom,site_type,site_adresse,site_identif_date,site_actu_date,site_url,site_ademe_url,site_securite,site_occupation,site_statut,site_projet_url,site_reconv_annee,site_reconv_type,activite_libelle,activite_code,activite_fin_annee,comm_nom,comm_insee,bati_type,bati_nombre,bati_surface,bati_pollution,bati_vacance,bati_patrimoine,bati_etat,local_ancien_annee,local_recent_annee,proprio_type,proprio_personne,proprio_nom,sol_pollution_annee,sol_pollution_existe,sol_pollution_origine,sol_pollution_commentaire,sol_depollution_fiche,unite_fonciere_surface,unite_fonciere_refcad,urba_zone_type,urba_zone_lib,urba_zone_formdomi,urba_doc_type,desserte_distance,desserte_commentaire,source_nom,source_url,source_producteur,source_contact,geompoint,geomsurf
35238_10348,"Auto Location SA, garage station-service",friche commerciale,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3501851,NA,inconnu,inconnu,friche reconvertie,NA,NA,habitat,"Commerce de gros, de détail, de désserte de carburants en magasin spécialisé (station service  de toute capacité de stockage)",NA,NA,RENNES,35238,inconnu,4,NA,inconnu,inconnu,inconnu,inconnu,2005,2005,G2a,personne morale,LES COPS DU MAIL 56,NA,inconnu,inconnu,NA,NA,1434,{35238000AE0469},U,UA1a - ,NA,PLUI,NA,NA,Site Basias ou Basol vérifié par le Cerema en 2020,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,Cerema,NA,POINT (-1.692092 48.10942),NA
35238_19484,"EUROGEP Sté, laverie atelier de nettoyage",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3500767,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Blanchisserie-teinturerie (gros, ou détail lorsque les pressings de quartier sont retenus par le Comité de pilotage de l'IHR) ; blanchissement et traitement des pailles, fibres textiles, chiffons",NA,NA,RENNES,35238,inconnu,0,NA,inconnu,inconnu,inconnu,inconnu,NA,NA,P5a,personne morale,COMMUNE DE RENNES,NA,inconnu,inconnu,NA,NA,3973,{35238000CX0047},U,UC2 - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.681665 48.09058),NA
35238_19496,"BEDAULT Alphonse, garage",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3501074,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Garages, ateliers, mécanique et soudure",NA,NA,RENNES,35238,inconnu,2,NA,inconnu,inconnu,inconnu,inconnu,2022,2022,G2a M1a,personne morale,HEMON-CAMUS IMMOBILIER|LES COPROPRIETAIRES DE LA RESIDENCE EDELWEISS,NA,inconnu,inconnu,NA,NA,1661,"{35238000CR0250,35238000CR0252}",U,UB1a - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.652974 48.09615),NA
35238_19518,"GUITTET SA, dépôt de peinture et vernis",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3501791,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Fabrication et/ou stockage (sans application) de peintures, vernis, encres et mastics ou solvants",NA,NA,RENNES,35238,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,2007,2007,G1a,personne morale,SCI PREIM HOSPITALITY,NA,inconnu,inconnu,NA,NA,3653,{35238000ES0193},U,UI3 - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.715882 48.1171),NA
35238_19536,ECOLE TECHNIQUE SAINT ETIENNE,inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3503632,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Garages, ateliers, mécanique et soudure",NA,NA,RENNES,35238,inconnu,0,NA,inconnu,inconnu,inconnu,inconnu,NA,NA,F1a F7b|P5a,personne morale,COMMUNE DE RENNES|FONCIER SOLIDAIRE RENNES METROPOLE|OPH RENNES METROPOLE ARCHIPEL HABITAT,NA,inconnu,inconnu,NA,NA,10284,"{35238000AH0027,35238000AH0429,35238000AH0437,35238000AH0439,35238000AH0442,35238000AH0443,35238000AH0445,35238000AH0449,35238000AH0452,35238000AH0459,35238000AH0460}",U,UO1 - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.697811 48.10848),NA
35238_19549,LABORATOIRE D ANALYSES MEDICALES,inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3504815,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,Laboratoires d'analyses médicales,NA,NA,RENNES,35238,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1850,1850,G2a X1a,personne morale,42 RUE SAINT MELAINE(LES COPS)|LAURENT/MARIE,NA,inconnu,inconnu,NA,NA,142,{35238000BE0323},U,UA1h - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.675589 48.11474),NA
35238_19554,STATION SERVICE MOBIL,inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3504018,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Commerce de gros, de détail, de désserte de carburants en magasin spécialisé (station service  de toute capacité de stockage)",NA,NA,RENNES,35238,inconnu,3,NA,inconnu,inconnu,inconnu,inconnu,1936,1936,L2a,personne morale,PROVINCE DE FRANCE CONGREGATION DES FRERES PLOERMEL,NA,inconnu,inconnu,NA,NA,25969,"{35238000AZ0293,35238000AZ0518}",U,UG2a - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.658651 48.12222),NA
35238_36041,Projet Jacques-Cartier,autre,56 bd Jacques-Cartier,2025-11-14,NA,NA,NA,NA,NA,friche sans projet,NA,NA,mixte,NA,NA,NA,RENNES,35238,NA,2,NA,NA,NA,NA,NA,1900,1900,P4a,personne morale,RENNES METROPOLE,NA,inconnu,NA,NA,NA,13439,{35238000CX0021},U,UO1 - ,NA,PLUI,NA,NA,NA,NA,urbanvitaliz,NA,POINT (-1.683779 48.09635),NA
35238_37214,20 rue Saint-Michel,inconnu,NA,2025-11-14,NA,NA,NA,NA,NA,friche avec projet,NA,NA,NA,NA,NA,NA,Rennes,35238,NA,2,NA,NA,NA,NA,NA,1600,1730,F6a|G1a,personne morale,PATRI PENHOET|TERRITOIRES PUBLICS,NA,inconnu,NA,NA,NA,399,"{35238000AC0342,35238000AC0348}",U,psmv - ,NA,PSMV,NA,NA,NA,https://www.economie.gouv.fr/plan-de-relance/profils/collectivites/fonds-pour-le-recyclage-des-friches,Appel à projet Fonds Friches,NA,POINT (-1.681172 48.11415),NA
35238_19558,"NICOUL, fabrique d'engrais animalisé",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3500038,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,Fabrication de produits azotés et d'engrais,NA,NA,RENNES,35238,inconnu,2,NA,inconnu,inconnu,inconnu,inconnu,1900,1900,P5a,personne morale,COMMUNE DE RENNES,NA,inconnu,inconnu,NA,NA,23659,"{35238000AR0126,35238000AR0127,35238000AR0130,35238000AR0131,35238000AR0134,35238000AR0135,35238000AR0136,35238000AR0137,35238000AR0138,35238000AR0139,35238000AR0140,35238000AR0141,35238000AR0142,35238000AR0143,35238000AR0144,35238000AR0145,35238000AR0146,35238000AR0147,35238000AR0150,35238000AR0153,35238000AR0154,35238000AR0156,35238000AR0158,35238000AR0159,35238000AR0162,35238000AR0164,35238000AR0166,35238000AR0170,35238000AR0171,35238000AR0172,35238000AR0173}",N,Ne - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.673702 48.12565),NA
