Saison balnéaire,Région,Département,Code unique d'identification du site de baignade,Précédent code unique d'identification du site de baignade,Evolution 2024 vs. 2023,Nom du site de baignade,Code INSEE de la commune,Nom de la commune,Date déclaration UE,Type d'eau,Longitude (ETRS 89),Latitude (ETRS 89)
2024,Bretagne,035,FRH0335238D035180,,Pas de changement,APIGNE,35238,RENNES,01/01/1991,Lac,"-1,74194699004","48,09744869454"
2024,Bretagne,035,FRH0335352D035230,,Pas de changement,PLAN D'EAU DES PATURIAUX,35352,VERN-SUR-SEICHE,01/01/1997,Lac,"-1,61273059824","48,04098861403"
