Code département,Libellé département,Code commune,Libellé commune,Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Numéro de panneau 1,Nuance candidat 1,Nom candidat 1,Prénom candidat 1,Sexe candidat 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Elu 1,Numéro de panneau 2,Nuance candidat 2,Nom candidat 2,Prénom candidat 2,Sexe candidat 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Elu 2,Numéro de panneau 3,Nuance candidat 3,Nom candidat 3,Prénom candidat 3,Sexe candidat 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Elu 3,Numéro de panneau 4,Nuance candidat 4,Nom candidat 4,Prénom candidat 4,Sexe candidat 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,Elu 4,Numéro de panneau 5,Nuance candidat 5,Nom candidat 5,Prénom candidat 5,Sexe candidat 5,Voix 5,% Voix/inscrits 5,% Voix/exprimés 5,Elu 5,Numéro de panneau 6,Nuance candidat 6,Nom candidat 6,Prénom candidat 6,Sexe candidat 6,Voix 6,% Voix/inscrits 6,% Voix/exprimés 6,Elu 6,Numéro de panneau 7,Nuance candidat 7,Nom candidat 7,Prénom candidat 7,Sexe candidat 7,Voix 7,% Voix/inscrits 7,% Voix/exprimés 7,Elu 7,Numéro de panneau 8,Nuance candidat 8,Nom candidat 8,Prénom candidat 8,Sexe candidat 8,Voix 8,% Voix/inscrits 8,% Voix/exprimés 8,Elu 8,Numéro de panneau 9,Nuance candidat 9,Nom candidat 9,Prénom candidat 9,Sexe candidat 9,Voix 9,% Voix/inscrits 9,% Voix/exprimés 9,Elu 9,Numéro de panneau 10,Nuance candidat 10,Nom candidat 10,Prénom candidat 10,Sexe candidat 10,Voix 10,% Voix/inscrits 10,% Voix/exprimés 10,Elu 10,Numéro de panneau 11,Nuance candidat 11,Nom candidat 11,Prénom candidat 11,Sexe candidat 11,Voix 11,% Voix/inscrits 11,% Voix/exprimés 11,Elu 11,Numéro de panneau 12,Nuance candidat 12,Nom candidat 12,Prénom candidat 12,Sexe candidat 12,Voix 12,% Voix/inscrits 12,% Voix/exprimés 12,Elu 12,Numéro de panneau 13,Nuance candidat 13,Nom candidat 13,Prénom candidat 13,Sexe candidat 13,Voix 13,% Voix/inscrits 13,% Voix/exprimés 13,Elu 13,Numéro de panneau 14,Nuance candidat 14,Nom candidat 14,Prénom candidat 14,Sexe candidat 14,Voix 14,% Voix/inscrits 14,% Voix/exprimés 14,Elu 14,Numéro de panneau 15,Nuance candidat 15,Nom candidat 15,Prénom candidat 15,Sexe candidat 15,Voix 15,% Voix/inscrits 15,% Voix/exprimés 15,Elu 15,Numéro de panneau 16,Nuance candidat 16,Nom candidat 16,Prénom candidat 16,Sexe candidat 16,Voix 16,% Voix/inscrits 16,% Voix/exprimés 16,Elu 16,Numéro de panneau 17,Nuance candidat 17,Nom candidat 17,Prénom candidat 17,Sexe candidat 17,Voix 17,% Voix/inscrits 17,% Voix/exprimés 17,Elu 17,Numéro de panneau 18,Nuance candidat 18,Nom candidat 18,Prénom candidat 18,Sexe candidat 18,Voix 18,% Voix/inscrits 18,% Voix/exprimés 18,Elu 18,Numéro de panneau 19,Nuance candidat 19,Nom candidat 19,Prénom candidat 19,Sexe candidat 19,Voix 19,% Voix/inscrits 19,% Voix/exprimés 19,Elu 19
35,Ille-et-Vilaine,35238,Rennes,431,1126,801,"71,14%",325,"28,86%",795,"70,60%","99,25%",3,"0,27%","0,37%",3,"0,27%","0,37%",1,ECO,CHAMPALAUNE,Camille,MASCULIN,0,"0,00%","0,00%",,2,UG,BOULOUX,Mickaël,MASCULIN,447,"39,70%","56,23%",élu,3,LR,GARGAM,Mahé,MASCULIN,53,"4,71%","6,67%",,4,RN,LUCCO,Kellie,FEMININ,83,"7,37%","10,44%",,5,ENS,MAUZE,Hermine,FEMININ,209,"18,56%","26,29%",,6,REG,EGRON,Maël,MASCULIN,1,"0,09%","0,13%",,7,EXG,LUCAS,Fabrice,MASCULIN,2,"0,18%","0,25%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,432,1095,870,"79,45%",225,"20,55%",864,"78,90%","99,31%",4,"0,37%","0,46%",2,"0,18%","0,23%",1,ECO,CHAMPALAUNE,Camille,MASCULIN,0,"0,00%","0,00%",,2,UG,BOULOUX,Mickaël,MASCULIN,484,"44,20%","56,02%",élu,3,LR,GARGAM,Mahé,MASCULIN,51,"4,66%","5,90%",,4,RN,LUCCO,Kellie,FEMININ,84,"7,67%","9,72%",,5,ENS,MAUZE,Hermine,FEMININ,236,"21,55%","27,31%",,6,REG,EGRON,Maël,MASCULIN,6,"0,55%","0,69%",,7,EXG,LUCAS,Fabrice,MASCULIN,3,"0,27%","0,35%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,433,1053,807,"76,64%",246,"23,36%",799,"75,88%","99,01%",5,"0,47%","0,62%",3,"0,28%","0,37%",1,ECO,CHAMPALAUNE,Camille,MASCULIN,0,"0,00%","0,00%",,2,UG,BOULOUX,Mickaël,MASCULIN,436,"41,41%","54,57%",élu,3,LR,GARGAM,Mahé,MASCULIN,41,"3,89%","5,13%",,4,RN,LUCCO,Kellie,FEMININ,95,"9,02%","11,89%",,5,ENS,MAUZE,Hermine,FEMININ,218,"20,70%","27,28%",,6,REG,EGRON,Maël,MASCULIN,5,"0,47%","0,63%",,7,EXG,LUCAS,Fabrice,MASCULIN,4,"0,38%","0,50%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,434,1123,868,"77,29%",255,"22,71%",856,"76,22%","98,62%",10,"0,89%","1,15%",2,"0,18%","0,23%",1,ECO,CHAMPALAUNE,Camille,MASCULIN,0,"0,00%","0,00%",,2,UG,BOULOUX,Mickaël,MASCULIN,351,"31,26%","41,00%",élu,3,LR,GARGAM,Mahé,MASCULIN,55,"4,90%","6,43%",,4,RN,LUCCO,Kellie,FEMININ,142,"12,64%","16,59%",,5,ENS,MAUZE,Hermine,FEMININ,298,"26,54%","34,81%",,6,REG,EGRON,Maël,MASCULIN,7,"0,62%","0,82%",,7,EXG,LUCAS,Fabrice,MASCULIN,3,"0,27%","0,35%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,435,1204,928,"77,08%",276,"22,92%",915,"76,00%","98,60%",10,"0,83%","1,08%",3,"0,25%","0,32%",1,ECO,CHAMPALAUNE,Camille,MASCULIN,0,"0,00%","0,00%",,2,UG,BOULOUX,Mickaël,MASCULIN,508,"42,19%","55,52%",élu,3,LR,GARGAM,Mahé,MASCULIN,46,"3,82%","5,03%",,4,RN,LUCCO,Kellie,FEMININ,82,"6,81%","8,96%",,5,ENS,MAUZE,Hermine,FEMININ,269,"22,34%","29,40%",,6,REG,EGRON,Maël,MASCULIN,3,"0,25%","0,33%",,7,EXG,LUCAS,Fabrice,MASCULIN,7,"0,58%","0,77%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,441,1136,939,"82,66%",197,"17,34%",915,"80,55%","97,44%",19,"1,67%","2,02%",5,"0,44%","0,53%",1,UG,MESMEUR,Marie,FEMININ,556,"48,94%","60,77%",,2,DVG,VASQUEZ,Rosa,FEMININ,7,"0,62%","0,77%",,3,LR,LE GALL,Joëlle,FEMININ,38,"3,35%","4,15%",,4,DVG,MATHIEU,Frédéric,MASCULIN,1,"0,09%","0,11%",,5,ENS,BOUCHER,Nicolas,MASCULIN,228,"20,07%","24,92%",,6,EXG,HAMON,Valérie,FEMININ,10,"0,88%","1,09%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,66,"5,81%","7,21%",,8,REG,GIRARD,Sébastien,MASCULIN,9,"0,79%","0,98%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,442,969,724,"74,72%",245,"25,28%",716,"73,89%","98,90%",4,"0,41%","0,55%",4,"0,41%","0,55%",1,UG,MESMEUR,Marie,FEMININ,388,"40,04%","54,19%",,2,DVG,VASQUEZ,Rosa,FEMININ,5,"0,52%","0,70%",,3,LR,LE GALL,Joëlle,FEMININ,22,"2,27%","3,07%",,4,DVG,MATHIEU,Frédéric,MASCULIN,0,"0,00%","0,00%",,5,ENS,BOUCHER,Nicolas,MASCULIN,215,"22,19%","30,03%",,6,EXG,HAMON,Valérie,FEMININ,3,"0,31%","0,42%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,80,"8,26%","11,17%",,8,REG,GIRARD,Sébastien,MASCULIN,3,"0,31%","0,42%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,443,1127,829,"73,56%",298,"26,44%",823,"73,03%","99,28%",5,"0,44%","0,60%",1,"0,09%","0,12%",1,UG,MESMEUR,Marie,FEMININ,440,"39,04%","53,46%",,2,DVG,VASQUEZ,Rosa,FEMININ,3,"0,27%","0,36%",,3,LR,LE GALL,Joëlle,FEMININ,28,"2,48%","3,40%",,4,DVG,MATHIEU,Frédéric,MASCULIN,0,"0,00%","0,00%",,5,ENS,BOUCHER,Nicolas,MASCULIN,211,"18,72%","25,64%",,6,EXG,HAMON,Valérie,FEMININ,10,"0,89%","1,22%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,125,"11,09%","15,19%",,8,REG,GIRARD,Sébastien,MASCULIN,6,"0,53%","0,73%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,444,1155,931,"80,61%",224,"19,39%",916,"79,31%","98,39%",7,"0,61%","0,75%",8,"0,69%","0,86%",1,UG,MESMEUR,Marie,FEMININ,488,"42,25%","53,28%",,2,DVG,VASQUEZ,Rosa,FEMININ,2,"0,17%","0,22%",,3,LR,LE GALL,Joëlle,FEMININ,37,"3,20%","4,04%",,4,DVG,MATHIEU,Frédéric,MASCULIN,0,"0,00%","0,00%",,5,ENS,BOUCHER,Nicolas,MASCULIN,306,"26,49%","33,41%",,6,EXG,HAMON,Valérie,FEMININ,7,"0,61%","0,76%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,65,"5,63%","7,10%",,8,REG,GIRARD,Sébastien,MASCULIN,11,"0,95%","1,20%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35238,Rennes,451,959,718,"74,87%",241,"25,13%",707,"73,72%","98,47%",5,"0,52%","0,70%",6,"0,63%","0,84%",1,UG,MESMEUR,Marie,FEMININ,403,"42,02%","57,00%",,2,DVG,VASQUEZ,Rosa,FEMININ,0,"0,00%","0,00%",,3,LR,LE GALL,Joëlle,FEMININ,37,"3,86%","5,23%",,4,DVG,MATHIEU,Frédéric,MASCULIN,0,"0,00%","0,00%",,5,ENS,BOUCHER,Nicolas,MASCULIN,171,"17,83%","24,19%",,6,EXG,HAMON,Valérie,FEMININ,7,"0,73%","0,99%",,7,RN,REY DU BOISSIEU,Jeanne,FEMININ,78,"8,13%","11,03%",,8,REG,GIRARD,Sébastien,MASCULIN,11,"1,15%","1,56%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
