date_mesure,geocode_epci,libelle_epci,type_eau,usage,valeur
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,3391322.0
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,348480.0
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,133491.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,139743.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2014-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2014-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2014-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2014-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2015-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,59906.0
2015-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2015-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,3336244.0
2015-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,313470.0
2015-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2015-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,161596.0
2015-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2015-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2015-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,147825.0
2015-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2015-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2015-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2015-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2015-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2016-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,42381.0
2016-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2016-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,3103596.0
2016-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,296944.0
2016-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2016-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,168436.0
2016-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2016-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2016-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,147323.0
2016-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2016-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2016-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2016-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2016-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2017-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,40396.0
2017-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2017-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,5816487.0
2017-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,326562.0
2017-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2017-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,124546.0
2017-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2017-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2017-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,133724.0
2017-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2017-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2017-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2017-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2017-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2018-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,39905.0
2018-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2018-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,5105358.0
2018-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,344716.0
2018-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2018-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,185841.0
2018-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2018-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2018-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,147926.0
2018-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2018-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2018-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2018-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2018-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2019-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,132770.0
2019-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2019-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,5907433.0
2019-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,359921.0
2019-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2019-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,137478.0
2019-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2019-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2019-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,120801.0
2019-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2019-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2019-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2019-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2019-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2020-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,177284.0
2020-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2020-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,2912356.0
2020-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,337297.0
2020-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2020-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,136093.0
2020-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2020-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2020-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,128412.0
2020-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2020-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2020-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2020-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2020-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2021-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,175439.0
2021-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2021-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,3802354.0
2021-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,297656.0
2021-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2021-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,71428.0
2021-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2021-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2021-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,122143.0
2021-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2021-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2021-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2021-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2021-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2022-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,160799.0
2022-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2022-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,5316378.0
2022-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,320755.0
2022-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2022-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,112559.0
2022-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2022-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2022-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,83490.0
2022-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2022-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2022-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2022-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2022-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
