date_mesure,geocode_commune,libelle_commune,type_eau,usage,valeur
2008-01-01,35058,La Chapelle-Chaussée,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35058,La Chapelle-Chaussée,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux douces souterraines,agriculture,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux douces souterraines,eau potable,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux douces superficielles,agriculture,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux douces superficielles,eau potable,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35059,La Chapelle-des-Fougeretz,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux douces souterraines,agriculture,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux douces souterraines,eau potable,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux douces superficielles,agriculture,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux douces superficielles,eau potable,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35065,La Chapelle-Thouarault,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35066,Chartres-de-Bretagne,eaux douces souterraines,agriculture,0.0
2008-01-01,35066,Chartres-de-Bretagne,eaux douces souterraines,eau potable,434300.0
2008-01-01,35066,Chartres-de-Bretagne,eaux douces souterraines,industrie et autres usages économiques,335300.0
2008-01-01,35066,Chartres-de-Bretagne,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35066,Chartres-de-Bretagne,eaux douces superficielles,agriculture,0.0
2008-01-01,35066,Chartres-de-Bretagne,eaux douces superficielles,eau potable,0.0
2008-01-01,35066,Chartres-de-Bretagne,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35066,Chartres-de-Bretagne,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35066,Chartres-de-Bretagne,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35076,Chavagne,eaux douces souterraines,agriculture,0.0
2008-01-01,35076,Chavagne,eaux douces souterraines,eau potable,0.0
2008-01-01,35076,Chavagne,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35076,Chavagne,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35076,Chavagne,eaux douces superficielles,agriculture,42400.0
2008-01-01,35076,Chavagne,eaux douces superficielles,eau potable,0.0
2008-01-01,35076,Chavagne,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35076,Chavagne,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35076,Chavagne,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35079,Chevaigné,eaux douces souterraines,agriculture,0.0
