Barreau,avNom,avPrenom,cbRaisonSociale,cbSiretSiren,cbAdresse1,cbAdresse2,cbCp,cbVille,spLibelle1,spLibelle2,spLibelle3,acDateSerment,AvLang
RENNES,DEJOUE,Delphine,DEJOUE DELPHINE,441573177,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,DELAGNE,Adrien,DELAGNE ADRIEN,922492764,9 rue de Vern,,35200,RENNES,,,,,"Anglais,Français"
RENNES,DELAHAYE,Camille,MDL AVOCATS ASSOCIES,479522690,2 bis l'Abbaye Rue Saint Melaine,,35000,RENNES,,,,,Français
RENNES,DELAUNAY,Noé,DELAUNAY NOÉ,931825863,29 rue du Puits Mauger,,35000,RENNES,,,,,Français
RENNES,DELEBOIS,Delphine,DELEBOIS DELPHINE,434570800,15 rue Rallier du Baty,,35000,RENNES,,,,,Français
RENNES,DELEURME-TANNOURY,Emmanuelle,DELEURME-TANNOURY EMMANUELLE,501696553,Immeuble EQUINOXE,Bâtiment C- 2ème étage,35000,RENNES,,,,,Français
RENNES,DELHOMMEL,Matthieu,DELHOMMEL MATTHIEU,844942300,19A rue de chatillon,,35000,RENNES,,,,,Français
RENNES,DELIBES,Yves,BONDIGUEL & ASSOCIES,379163710,14 Bis rue Dupont des Loges,,35000,RENNES,,,,,Français
RENNES,DELILAJ,Klit,DELILAJ KLIT,804538825,Tour Alma City,9ème étage,35200,RENNES,,,,,"Anglais,Français,Italien,Albanais"
RENNES,DELOMEL,Arnaud,SEL ARNAUD DELOMEL,912236965,Tour Alma City,5 rue du Bosphore,35200,RENNES,Droit du crédit et de la consommation,,,,Français
RENNES,DELVA,Camille,DELVA CAMILLE,833945777,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DELVILLE,Perrine,CABINET BARTHOMEUF,807920251,4 B rue du Bignon,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DEMAY,Céline,QUESNEL DEMAY LE GALL-GUINEAU OUAIRY-JALLAIS BOUCHER BEUCHER-FLAMENT,938920394,1A allée Ermengarde d'Anjou,,35000,RENNES,,,,,Français
RENNES,DEMBELE,Fadigui,DEMBELE FADIGUI,880561790,29 rue de Lorient,"Immeuble ""Le Papyrus""",35000,RENNES,,,,,Français
RENNES,DENIS,Anne,ANNE DENIS,450240130,12 quai Duguay Trouin,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DENIS,Céline,DENIS & HERREMAN-GAUTRON,808400741,Immeuble Le Lobby,1 rue du Haut Grippé,35510,CESSON SEVIGNE,,,,,Français
RENNES,DEPASSE-LABED,Mériem,DEPASSE-LABED MÉRIEM,353132186,12 boulevard Dumaine de la Josserie,,35740,PACE,,,,,"Anglais,Français"
RENNES,DEROCHE,Hélène,DEROCHE HÉLÈNE,824447130,1A allée Ermengarde d'Anjou,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DERRES,Kadidja Samira,AKER,844612754,16 rue du Père Grignion,,35000,RENNES,,,,,Français
RENNES,DERRIEN,Agathe,DERRIEN AGATHE,931388342,1 place Pasteur,,35000,RENNES,,,,,Français
RENNES,DERU,Didier,LEXCAP,424442333,29 rue de Lorient,"Immeuble ""Le Papyrus""",35000,RENNES,,,,,Français
RENNES,DESAIZE,Florian,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,DESCHAMPS,Olivier,DESCHAMPS OLIVIER,482238656,12 mail Anne Catherine,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DESCOTTES,Ioulia,JK COUNSEL,984583310,1 rue Raoul Ponchon,,35000,RENNES,,,,,"Anglais,Français,Russe"
RENNES,DESLANDES-DIEUDONNÉ,Margot,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,DI PALMA,Antoine,DI PALMA ANTOINE,538659210,10 rue de Toulouse,,35000,RENNES,,,,,Français
RENNES,DIETENBECK,Elsa,ODYS AVOCATS,828925610,1 place Pasteur,,35000,RENNES,,,,,"Allemand,Français"
RENNES,DOGRU,Kévin,DOGRU KÉVIN,931729958,2 rue d'Orléans,,35000,RENNES,,,,,Français
RENNES,DOIGNON,Fanny,DOIGNON FANNY,880143748,24 rue Raoul Dautry,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DOLIVET,Célina,DOLIVET CÉLINA,824448187,15 rue du Puits Mauger,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DOMAIN,Elise,DOMAIN ELISE,938722394,22 rue Maréchal Joffre,,35000,RENNES,,,,,Français
RENNES,DONIAS,Charles,MARTIN AVOCATS,824570790,11 quai Chateaubriand,,35000,RENNES,,,,,Français
RENNES,DONNIO,Hélène,DONNIO HÉLÈNE,509492237,3 quai Lamennais,,35000,RENNES,,,,,Français
RENNES,DORE-FREOR,Marie,TRANSMISSIO,804693307,24 avenue Henri Fréville,,35200,RENNES,,,,,Français
RENNES,DOUARD,Florian,PENEAU & DOUARD AVOCATS ASSOCIÉS,908871064,11 ter rue Surcouf,,35000,RENNES,,,,,Français
RENNES,DOUARD,Valérie,VDH AVOCAT,984645390,1 place Maréchal Juin,,35000,RENNES,,,,,Français
RENNES,DOUGUET,Yvanne,DOUGUET YVANNE,947640538,29 rue de Lorient,"Immeuble ""Le Papyrus""",35000,RENNES,,,,,Français
RENNES,DRAPPER,Marion,DRAPPER MARION,909162851,7 boulevard Solférino,,35000,RENNES,,,,,Français
RENNES,DRONIOU,Laëtitia,DRONIOU LAËTITIA,509656351,7 bis rue de la Huguenoterie,,35000,RENNES,,,,,Français
RENNES,DRUGEON,Laurent,DRUGEON LAURENT,792728545,8 rue du Sapeur Michel Jouan,Centre d'Affaires Le Salomon,35000,RENNES,,,,,Français
RENNES,DUBOIS,Eva,ALIX AVOCATS,841471634,78 C rue saint-hélier,,35000,RENNES,"Droit de la famille, des personnes et de leur patrimoine",,,,"Anglais,Français"
RENNES,DUBOSQUET,Thomas,DUBOSQUET THOMAS,844783571,2 rue de Rohan,,35000,RENNES,,,,,Français
RENNES,DUBOURG,Gervaise,CABINET GERVAISE DUBOURG,502181092,5 rue René Dumont,,35700,RENNES,Droit public,,,,Français
RENNES,DUCART-MEVEL,Carole,DUCART-MEVEL CAROLE,417546967,5 mail François Mitterrand,CAP MAIL,35000,RENNES,,,,,Français
RENNES,DUFFIN,Caroline,LTG & ASSOCIÉS,908777386,20 rue Jules Valles,,35000,RENNES,,,,,"Anglais,Français,Italien"
RENNES,DULAC,Annabelle,DULAC ANNABELLE,984213611,8 rue du Bourg Nouveau,,35000,RENNES,,,,,Français
RENNES,DUPARCHY,Daphné,PHENIX,807990247,2 rue Pierre Joseph Colin,ZAC Atalante Champeaux,35000,RENNES,,,,,Français
RENNES,DUPAS,Nathalie,DUPAS NATHALIE,387457005,12 quai Duguay Trouin,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DUPONT,Lucie,DUPONT LUCIE,808943419,12 quai Duguay Trouin,,35000,RENNES,,,,,Français
RENNES,DUPORTAIL,Dorothée,KERDONIS AVOCATS,893082354,5 rue Pierre Joseph Colin,Bâtiment B,35000,RENNES,,,,,Français
RENNES,DURANDY,Luna,DURANDY LUNA,990772238,2 rue Pierre Joseph Colin,ZAC Atalante Champeaux,35000,RENNES,,,,,Français
RENNES,DURANTEAU,Alyssa,DURANTEAU ALYSSA,852715812,2 rue de la Paillette,,35000,RENNES,,,,,"Anglais,Français"
RENNES,EGON,Marine,EGON MARINE,818264475,2 avenue Charles et Raymonde Tillon,,35000,RENNES,,,,,Français
RENNES,EKICI,Abdulah,EKICI ABDULAH,538812587,1 rue de Paris - Immeuble Atalis,Immeuble Atalis 1,35510,CESSON SEVIGNE,,,,,"Anglais,Espagnol,Français,Turc"
RENNES,EKICI,Aliser,EKICI ALISER,523622033,91 rue Nationale,Pépinière ORCHIS,35650,LE RHEU,,,,,"Français,Turc"
RENNES,EON-JAGUIN,Florence,EON-JAGUIN,881983423,801 Avenue des Champs Blancs,,35510,CESSON SEVIGNE,,,,,Français
RENNES,EPINAT,Jérôme,CGE AVOCATS,321616302,4 rue Jules Maillard de la Gournerie,Bâtiment E,35000,RENNES,,,,,Français
RENNES,ERGAN,Emmanuel,ERGAN EMMANUEL,434303368,14 C rue du Pâtis Tatelin,,35700,RENNES,"Droit de la famille, des personnes et de leur patrimoine",Droit des assurances,,,"Anglais,Français"
RENNES,ETIENNE,Camille,ETIENNE CAMILLE,910121144,4 rue Jean Jaurès,,35000,RENNES,,,,,"Anglais,Français"
RENNES,ETOUBLEAU,Emilie,ETOUBLEAU EMILIE,982361974,10 rue de Toulouse,,35000,RENNES,,,,,Français
RENNES,EYDELY,Matthieu,EYDELY MATTHIEU,930633912,24 rue Raoul Dautry,,35000,RENNES,,,,,Français
RENNES,FACCHINA,Virginie,FACCHINA VIRGINIE,418565230,24 rue Raoul Dautry,,35000,RENNES,,,,,Français
RENNES,FAILLÉ,Mathilde,FAILLÉ MATHILDE,790035802,88 rue Saint-Hélier,,35000,RENNES,,,,,Français
RENNES,FAULCONNIER,Bérénice,FAULCONNIER BÉRÉNICE,844950527,22 rue Jean-Marie David,Espace Antrium,35742,PACE,,,,,Français
RENNES,FEDON,Olivier,DS AVOCATS,879599645,4 avenue Janvier et 9 rue Descartes,,35000,RENNES,,,,,Français
RENNES,FILLION,Thierry,"THIERRY FILLION, SCP D'AVOCATS",404077265,4 rue Jean Jaurès,,35000,RENNES,Droit pénal,,,,Français
RENNES,FLAMANT,Benoît,"BENOIT FLAMANT, AVOCAT-CONSEILS",948105275,10 square de Sendaï,,35700,RENNES,,,,,Français
RENNES,FLAUD,Morgane,FLAUD MORGANE,508589207,8 place du Colombier,,35000,RENNES,,,,,Français
RENNES,FLECK,Constance,FLECK CONSTANCE,389915729,4 allée Auguste Louis Jobbé Duval,,35000,RENNES,,,,,Français
RENNES,FLEISCHL,Jean,MARTIN AVOCATS,824570790,11 quai Chateaubriand,,35000,RENNES,,,,,Français
RENNES,FLEURY-MARIAGE,Bénédicte-Claude,INVICTAE,828616326,9 rue Louis Kerautret Botmel,Centre d'affaires Athéa,35000,RENNES,,,,,"Anglais,Espagnol,Français"
RENNES,FLICHY,Marine,FLICHY MARINE,908578073,3A rue du 10ème Régiment d'Artillerie,,35000,RENNES,,,,,Français
RENNES,FLOCH,Emilie,FLOCH EMILIE,529115891,1 place Maréchal Juin,,35000,RENNES,,,,,Français
RENNES,FONT,Morgane,FONT MORGANE,982583031,40 boulevard de la Tour d'Auvergne,,35000,RENNES,,,,,Français
RENNES,FONTAN,Rémi,FONTAN RÉMI,892636473,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,FORNIER,Cécile,ACTAVOCA,538784992,6 cours Raphaël Binet,,35000,RENNES,,,,,"Anglais,Français"
RENNES,FOUCHARD,Isabelle,DYADEIS AVOCATS,828571588,6 cours Raphaël Binet,,35000,RENNES,Droit fiscal et droit douanier,,,,Français
RENNES,FOUQUAUT,Arnaud,FOUQUAUT ARNAUD,752899161,29 rue de Lorient,Le Papyrus,35000,RENNES,,,,,"Anglais,Français"
RENNES,FOURNIER,Philippe,NITENS AVOCATS,982587123,9 boulevard Sébastopol,,35000,RENNES,,,,,"Anglais,Français"
RENNES,FRICOT,Audrey,FRICOT AUDREY,922836804,78 C rue saint-hélier,,35000,RENNES,,,,,Français
RENNES,FRIN,Daniel,FRIN-MARCHAND,441086212,11 rue Louis Kerautret-Botmel,Centre d'affaires Athea,35000,RENNES,,,,,Français
RENNES,FRITEAU,Marie,FRITEAU MARIE,789606571,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,FROGER,Olivier,AD LEGIS,493270128,2 rue Ferdinand,,35000,RENNES,Droit de la sécurité sociale et de la protection sociale,Droit du travail,,,"Anglais,Français"
RENNES,FROMAGER,Elisa,FROMAGER ELISA,908214364,105 avenue Henri Fréville,Immeuble Le Méridien,35200,RENNES,,,,,Français
RENNES,FROMONT,Isabelle,LEX GO,892551607,23 rue Lesage,Résidence de la Barre Saint Just,35000,RENNES,,,,,Français
RENNES,GABORIT,Mathilde,GABORIT MATHILDE,909157158,Tour Alma City,5 rue du Bosphore,35200,RENNES,,,,,"Anglais,Français"
RENNES,GAIDOT,Elise,GAIDOT ELISE,751163254,39 boulevard de la liberté,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GAIGNARD,Tiffany,CABINET GAIGNARD,850735663,4 rue du Pré Botté,,35000,RENNES,,,,,Français
RENNES,GAILLARD,Annie-Laure,WITHLAW,813551363,4 rue du Pré Botté,,35000,RENNES,,,,,Français
RENNES,GALIC,Benjamin,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GALLOUEDEC,Florine,GALLOUEDEC FLORINE,892519976,2 avenue Jean Janvier,,35000,RENNES,,,,,Français
RENNES,GAMBART,François,TRANSMISSIO PHARM,880029632,24 avenue Henri Fréville,,35200,RENNES,,,,,"Espagnol,Français"
RENNES,GAREL,Marion,GAREL MARION,892588641,29 rue du puits Mauger,,35000,RENNES,,,,,Français
RENNES,GARET,Brieuc,GARET BRIEUC,932444128,30 quai Duguay Trouin,,35000,RENNES,,,,,Français
RENNES,GARNIER,Charlotte,"GUILLOTIN, LE BASTARD ET ASSOCIES",847532645,2B rue de la Huguenoterie,,35000,RENNES,,,,,Français
RENNES,GARNIER,Estelle,PARTHEMA AVOCATS,440495992,105 avenue Henri Fréville,Immeuble Le Méridien,35200,RENNES,,,,,"Anglais,Français"
RENNES,GARO,Charles-Alexis,GARO CHARLES-ALEXIS,834350340,9 place Général Koënig,,35000,RENNES,,,,,Français
RENNES,GASMI,Shéhérazade,GASMI SHÉHÉRAZADE,922189402,2 rue jules simon,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GAULTIER,Mathilde,HSA,538287210,40 boulevard de la Tour d'Auvergne,,35000,RENNES,,,,,Français
RENNES,GAUTIER,Laurine,LEXCAP,424442333,29 rue de Lorient,"Immeuble ""Le Papyrus""",35000,RENNES,,,,,Français
RENNES,GAUTIER,Mélissa,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,GEFFRIAUD,Audrey,AVEL AVOCATS,834329716,24 rue Raoul Dautry,,35000,RENNES,,,,,Français
RENNES,GENEVEE,Sandra,SELARL NUANCES AVOCATS,920391844,167 route de Lorient,Le Parc Monier,35000,RENNES,,,,,Français
RENNES,GENTRIC,Yves,AVEL AVOCATS,834329716,24 rue Raoul Dautry,,35000,RENNES,,,,,Français
RENNES,GERARD,Louise,GERARD LOUISE,922652888,88 rue Saint-Hélier,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GERNIGON,Aurane,GERNIGON AURANE,922791959,7 rue des Courtillons,,35170,BRUZ,,,,,"Anglais,Français"
RENNES,GIRARD,Aude,AUDE GIRARD AVOCAT,900505470,Le Seize,"16, Esplanade du Champ de Mars",35000,RENNES,,,,,Français
RENNES,GIRARDON,Gaëlle,TELMA AVOCATS,938279197,19 A rue de Chatillon,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GIRONDEAU,Lolita,BONDIGUEL & ASSOCIES,379163710,14 Bis rue Dupont des Loges,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GLOAGUEN,Bruno,GLOAGUEN & ASSOCIES,490333598,2 rue au Duc,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GLOTIN,Isabelle,CMA,447844077,3 E rue de Paris,Immeuble Atalis 2,35510,CESSON SEVIGNE,,,,,Français
RENNES,GOASDOUE,Rozenn,GOASDOUE ROZENN,501694277,2 impasse les Patriciales,BAT B RDC,35740,PACE,"Droit des garanties, des sûretés et des mesures dexécution",,,,Français
RENNES,GODARD,Paul,GODARD PAUL,840480636,43/45 boulevard de la Tour d'Auvergne,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GODIER,Marine,SELARL MARINE GODIER,980747356,3 A rue du 10e Régiment d'Artillerie,,35000,RENNES,,,,,Français
RENNES,GODREUL,Morgane,GODREUL MORGANE,922551189,23 avenue Aristide Briand,,35000,RENNES,,,,,Français
RENNES,GONIDEC,Florent,A.F.A AVOCATS,830022638,20 rue Jules Vallès,,35000,RENNES,,,,,Français
RENNES,GONULTAS,Omer,GONULTAS OMER,529132300,37 boulevard Magenta,,35000,RENNES,,,,,Français
RENNES,GOSSEAUME,Christian,GOSSEAUME CHRISTIAN,510442585,11 ter rue Surcouf,,35000,RENNES,,,,,Français
RENNES,GOSSELIN,Bénédicte,GOSSELIN BÉNÉDICTE,509938718,4 quai de Richemont,,35000,RENNES,,,,,Français
RENNES,GOSSELIN,François-Xavier,CABINET GOSSELIN,808668792,30 quai Duguay Trouin,,35000,RENNES,,,,,Français
RENNES,GOUBET,Gilles,G.GOUBET CONSEIL,811420181,24 rue de Lorgeril,,35000,RENNES,Droit fiscal et droit douanier,,,,Français
RENNES,GOUPIL,Clémence,GOUPIL CLÉMENCE,940292915,17 quai Lamartine,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GOUPIL,Mickaël,TY BIHAN,824285563,24 rue Raoul Dautry,,35000,RENNES,,,,,Français
RENNES,GOURLAOUEN,Carole,GOURLAOUEN CAROLE,799259445,37 boulevard Magenta,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GOVEN,Titouan,GOVEN TITOUAN,905330163,30 quai Duguay Trouin,,35000,RENNES,,,,,Français
RENNES,GRAEBER DULAC,Joséphine,GRAEBER DULAC JOSÉPHINE,923683064,3 quai Lamennais,,35000,RENNES,,,,,Français
RENNES,GRANDCOIN,Maëlle,GRANDCOIN MAËLLE,909173809,9 rue de Vern,,35000,RENNES,,,,,Français
RENNES,GRAVIS,Marine,GRAVIS MARINE,511899783,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GREGOIRE,Gwenaelle,GREGOIRE GWENAELLE,922458641,2 avenue Jean Janvier,,35000,RENNES,,,,,"Anglais,Français"
RENNES,GROLEAU,Etienne,GROLEAU,791946619,8 rue du Sapeur Michel Jouan,,35000,RENNES,Droit immobilier,,,,"Anglais,Français"
RENNES,GROSJEAN BERLEMONT,Elisa,GROSJEAN BERLEMONT ELISA,991050105,13 rue de la Monnaie,,35000,RENNES,,,,,Français
RENNES,GROSSET-GRANGE,Sandra,KERDONIS AVOCATS,893082354,5 rue Pierre Joseph Colin,Bâtiment B,35000,RENNES,,,,,Français
RENNES,GROUHEL LE ROHELLEC,Raphaël,GROUHEL LE ROHELLEC RAPHAËL,,8 place du Colombier,,35000,RENNES,,,,,Anglais
RENNES,GRUAU,Emilie,GRUAU EMILIE,845048354,10 rue de Toulouse,,35000,RENNES,,,,,Français
RENNES,GUEGAN,Elise,LEXCAP,424442333,29 rue de Lorient,"Immeuble ""Le Papyrus""",35000,RENNES,,,,,Français
RENNES,GUILBAULT,Sarah,GUILBAULT SARAH,982193450,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,GUILBERT-OBJILERE,Camille,GUILBERT-OBJILERE CAMILLE,834384018,29 rue du Puits Mauger,,35000,RENNES,Droit immobilier,,,,Français
RENNES,GUILLAS,Olivier,AD LEGIS,493270128,2 rue Ferdinand,,35000,RENNES,,,,,Français
RENNES,GUILLEMOT,Nolwenn,GUILLEMOT NOLWENN,343073383,1A allée Ermengarde dAnjou,,35000,RENNES,,,,,Français
RENNES,GUILLEMOT-RENAUD,Maïwenn,GUILLEMOT-RENAUD MAÏWENN,908557440,1A allée Ermengarde dAnjou,,35000,RENNES,,,,,Français
RENNES,GUILLIER,Guillaume,TGS FRANCE AVOCATS,,27 boulevard Solférino,,35000,RENNES,,,,,Français
RENNES,GUILLOTEL-PACHEU,Virginie,GUILLOTEL-PACHEU VIRGINIE,451472021,17 square Vercingétorix,,35000,RENNES,,,,,Français
RENNES,GUILLOTIN,Benoît,"SELARL PLURIEL-AVOCAT, MAYZAUD GUILLOTIN & ASSOCIES",914545090,1 place Honoré Commeurec,,35000,RENNES,Droit pénal,,,,"Anglais,Français"
RENNES,GUILLOTIN,Philippe,"GUILLOTIN, LE BASTARD ET ASSOCIES",847532645,2B rue de la Huguenoterie,,35000,RENNES,,,,,Français
RENNES,GUINARD,Timothée,GUINARD TIMOTHÉE,991893744,2 avenue Charles et Raymonde Tillon,,35000,RENNES,,,,,Français
RENNES,GUYARD,Emilie,CABINET MEUNIER & ASSOCIÉS,478890205,106 A rue Eugène Pottier,Immeuble Le Dolmen,35000,RENNES,,,,,Français
RENNES,GUYOT,Simon,GUYOT SIMON,881141188,20 rue des Fossés,,35000,RENNES,,,,,Français
RENNES,HADEN,Héloïse,HADEN HÉLOÏSE,884073594,103 A avenue Henri Fréville,Le Méridien Tranche 2,35200,RENNES,,,,,Français
RENNES,HARDY,Marie,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,HARDY-SALLÉ,Manuella,HARDY-SALLÉ MANUELLA,488298209,1 rue Raoul Ponchon,Parc d'Affaires Oberthur,35000,RENNES,,,,,Français
RENNES,HARMAND,Mathieu,HARMAND MATHIEU,989091822,6 rue Micheline Ostermeyer,Immeuble Neosis C,35000,RENNES,,,,,Français
RENNES,HAUGUEL,Julia,HAUGUEL JULIA,982262040,23 avenue Aristide Briand,,35000,RENNES,,,,,Français
RENNES,HEITZMANN,Sarah,THOME HEITZMANN SOCIÉTÉ D'AVOCATS,899419857,1 rue Raoul Ponchon,,35000,RENNES,,,,,Français
RENNES,HELLIO,Antoine,HELLIO ANTOINE,809005739,8 rue du Papier Timbré,,35000,RENNES,,,,,Français
RENNES,HENNO,Gaëlle,HENNO GAËLLE,908665599,2 rue de la Paillette,,35000,RENNES,,,,,"Anglais,Français"
RENNES,HENRION,Christophe,HENRION CHRISTOPHE,538336108,2 A rue du Pâtis Tatelin,Immeuble ANTIPOLIS I,35700,RENNES,,,,,"Anglais,Français"
RENNES,HERSART DE LA VILLEMARQUE,François,HERSART DE LA VILLEMARQUE FRANÇOIS,389262627,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,"Anglais,Français"
RENNES,HERVE,Adeline,HERVE ADELINE,800259152,57 quai de La Prévalaye,,35000,RENNES,,,,,Français
RENNES,HERVE,Lucas,TESSIER HERVE AVOCATS,901717876,3 rue Saint-Sauveur,,35000,RENNES,,,,,Français
RENNES,HERY,Hélène,CABINET KERALIO,911198596,27 cours Raphaël Binet,,35000,RENNES,,,,,Français
RENNES,HIROUX,Adrien,HIROUX ADRIEN,982548943,3 E rue de Paris,Immeuble Atalis 2,35510,CESSON SEVIGNE,,,,,"Anglais,Français"
RENNES,HOUDYER,Agathe,PÉQUIGNOT AVOCAT,898567037,6 rue Micheline Ostermeyer,,35000,RENNES,,,,,Français
RENNES,HOURMAT,Charlotte,HOURMAT CHARLOTTE,892852831,2B rue de la Huguenoterie,,35000,RENNES,,,,,"Anglais,Français"
RENNES,HUBERT,Béatrice,HUBERT BÉATRICE,340253806,6 rue de la Fresnerie,,35510,CESSON SEVIGNE,,,,,Français
RENNES,HUBERT-LE MINTIER,Emilie,ISIS AVOCATS,505398453,8 Place du Colombier,Immeuble le Sully,35000,RENNES,,,,,"Anglais,Espagnol,Français"
RENNES,HUCHET,Marc-Olivier,HUCHET,777743956,13 rue de la Monnaie,,35000,RENNES,,,,,Français
RENNES,IDLAS,Claire,IDLAS CLAIRE,932585219,6 rue Micheline Ostermeyer,,35000,RENNES,,,,,Français
RENNES,JACQ-NICOLAS,Emma,JACQ-NICOLAS EMMA,922652805,1 place du Maréchal juin,,35000,RENNES,,,,,Français
RENNES,JACQUEMOUD,Elise,JACQUEMOUD ELISE,908665490,8 place du Colombier,,35000,RENNES,,,,,Français
RENNES,JAMIER-JAVAUDIN,Florence,JAMIER-JAVAUDIN FLORENCE,403889371,2 Bis rue de la Motte Picquet,,35000,RENNES,,,,,Français
RENNES,JARNIGON-GRETEAU,Christine,JARNIGON-GRETEAU CHRISTINE,478558067,3 quai Lamennais,,35000,RENNES,,,,,Français
RENNES,JEAN,Fanny,DANIEL AVOCATS & ASSOCIES,330952904,107 avenue Henri Fréville,,35200,RENNES,,,,,Français
RENNES,JEANMOUGIN,Félix,JEANMOUGIN FÉLIX,908548308,11 ter rue Surcouf,,35000,RENNES,,,,,Français
RENNES,JEGOUIC,Elodie,GOLDWIN SOCIAL,979075439,15 quai Lamartine,,35000,RENNES,,,,,Français
RENNES,JOLLY,Anaïs,JOLLY BOURROUILLOU,814875019,9 bis rue de Lorient,,35000,RENNES,,,,,Français
RENNES,JOLY,Tristan,SELARL JOLY LAISNE LEMAITRE,908021546,Immeuble Le Sully,8 place du Colombier,35000,RENNES,,,,,Français
RENNES,JOLY,Zia,AD LEGIS,493270128,2 rue Ferdinand,,35000,RENNES,,,,,Français
RENNES,JONNET,Bénédicte,JONNET BÉNÉDICTE,908669146,6 cours Raphaël Binet,,35000,RENNES,,,,,Français
RENNES,JOSSE-TIRIAU,Catherine,JOSSE-TIRIAU CATHERINE,348896010,2 rue Capitaine Maignan,,35000,RENNES,"Droit de la famille, des personnes et de leur patrimoine",,,,Français
RENNES,JOURDAIN,Catherine,JOURDAIN CATHERINE,809398886,8 place du Colombier,,35000,RENNES,,,,,"Anglais,Français"
RENNES,JOURDAIN-DEMARS,Thomas,JOURDAIN-DEMARS THOMAS,824383657,10 rue de Toulouse,,35000,RENNES,,,,,Français
RENNES,JUDEAUX,Catherine,CATHERINE JUDEAUX,441400728,19 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,JUETTE,Anthony,SYX AVOCATS,912560505,6 rue Jean Guéhenno,1 boulevard de Sévigné,35700,RENNES,,,,,Français
RENNES,JUGDE,Anne-Sophie,TRANSMISSIO,804693307,24 avenue Henri Fréville,,35200,RENNES,,,,,Français
RENNES,KERDONCUF,Bérénice,KERDONCUF BÉRÉNICE,824656920,2 rue de Rohan,BP 50317,35000,RENNES,,,,,Français
RENNES,KERLOEGAN,Pauline,KERLOEGAN PAULINE,799407077,8 place du Colombier,,35000,RENNES,,,,,Français
RENNES,KERMARREC,Yann-Christophe,KERMARREC YANN-CHRISTOPHE,804555225,8 rue du Bourg Nouveau,,35000,RENNES,,,,,"Anglais,Français"
RENNES,KERMEUR,Yohann,KERMEUR AVOCAT,879610988,40 boulevard de la Tour d'Auvergne,,35000,RENNES,,,,,Français
RENNES,KERVENNIC,Marie,KERVENNIC MARIE,501847958,45 boulevard de la Tour d'Auvergne,,35000,RENNES,,,,,Français
RENNES,KESLER,Adélaïde,INVICTAE,828616326,9 rue Louis Kerautret Botmel,Centre d'affaires Athéa,35000,RENNES,,,,,Français
RENNES,KIBGE,Aurélie,BAUDET KIBGE AVOCATS ASSOCIÉS,993112200,126 rue de Lorient,,35000,RENNES,,,,,Français
RENNES,KNOSP,Julie,TELMA AVOCATS,938279197,19 A rue de Chatillon,,35000,RENNES,,,,,Français
RENNES,KOUKEZIAN,Thomas,KOUKEZIAN THOMAS,824383830,11 rue Kerautret Botmel,,35000,RENNES,,,,,"Anglais,Français"
RENNES,KOWALSKI-GLOAGUEN,Suzanne,KOWALSKI-GLOAGUEN SUZANNE,453284671,2 rue au Duc,,35000,RENNES,,,,,"Anglais,Français"
RENNES,LABOURDETTE,Gilles,KERLEGIS,819349705,Immeuble EQUINOXE,1 rue Robert Duvivier,35000,RENNES,,,,,Français
RENNES,LADROIT,Xavier,LADROIT XAVIER,847741311,29 avenue Jean Janvier,,35000,RENNES,,,,,"Anglais,Français"
RENNES,LAGRAVE,Solenne,LAGRAVE SOLENNE,879156115,105 avenue Henri Fréville,Immeuble Le Méridien,35200,RENNES,,,,,Français
RENNES,LAHALLE,Vincent,LEXCAP,424442333,29 rue de Lorient,"Immeuble ""Le Papyrus""",35000,RENNES,Droit public,,,,"Anglais,Français"
