Barreau,avNom,avPrenom,cbRaisonSociale,cbSiretSiren,cbAdresse1,cbAdresse2,cbCp,cbVille,spLibelle1,spLibelle2,spLibelle3,acDateSerment,AvLang
RENNES,ARNOUX,Chloé,ARNOUX CHLOÉ,908726524,24 rue Raoul Dautry,CS 16552,35065,RENNES,,,,,Français
RENNES,ASSELIN,Marie-Line,ASSELIN MARIE-LINE,317768505,17 square Vercingétorix,,35000,RENNES,,,,,Français
RENNES,ASTIE,Héloïse,ASTIE HÉLOÏSE,939831996,24 rue Raoul Dautry,Bâtiment B - 2ème étage,35000,RENNES,,,,,Français
RENNES,AUBERT,Christophe,ILIRIO LEGAL,879733392,4 B rue du Bignon,,35000,RENNES,,,,,"Anglais,Français"
RENNES,AUBIN,Simon,SIMON AUBIN,851311282,25 bis boulevard de la Liberté,,35000,RENNES,Droit immobilier,,,,"Anglais,Français"
RENNES,AUDIBERT,François,A.F.A AVOCATS,830022638,20 rue Jules Vallès,,35000,RENNES,,,,,"Anglais,Français"
RENNES,AVELINE BOQUET,Stéphane,AVELINE BOQUET STÉPHANE,509449807,Centre d'Affaires Oberthur,74 rue de Paris,35000,RENNES,,,,,Français
RENNES,AVIGNON,Gwénola,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,AVINEE,Jean,AVINEE JEAN,892629817,1A allée Ermengarde d'Anjou,,35000,RENNES,,,,,"Anglais,Français"
RENNES,AVRIL-AUBIN,Edwige,EMERGENCE,932812266,20 rue du Bourg Nouveau,,35000,RENNES,Droit des associations et des fondations,Droit des sociétés,,,"Anglais,Espagnol,Français"
RENNES,AVRIL-LOGETTE,Maud,AVRIL-LOGETTE MAUD,982296592,9 rue de Vern,,35200,RENNES,Droit immobilier,,,,"Anglais,Français"
RENNES,AZAÏS-DAVY,Maud,THOMAS & ASSOCIES,979818036,12 quai Duguay Trouin,,35000,RENNES,,,,,Français
RENNES,AZIM,Sheherazade,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,BABIN,Emma,GOSSEMENT AVOCATS,750539827,32 rue Tronjolly,,35000,RENNES,,,,,Français
RENNES,BABIN,Hermine,BABIN HERMINE,933677684,39 boulevard de la liberté,,35000,RENNES,,,,,Français
RENNES,BAGOT,Isabelle,BAGOT ISABELLE,403500911,15 rue du Puits Mauger,,35000,RENNES,,,,,"Allemand,Français"
RENNES,BAILLY,Christophe,AVOLITIS,314911264,8 place du Colombier,,35000,RENNES,,,,,Français
RENNES,BAKHOS,Lara,PAGES - BAKHOS,880077755,12-14 rue Claude Bernard,,35000,RENNES,,,,,Français
RENNES,BALE,Hélène,BALE HÉLÈNE,909435190,17 quai Lamartine,,35000,RENNES,,,,,Français
RENNES,BALLU-GOUGEON,Audrey,"BALLU-GOUGEON, VOISINE",851677906,88 rue Saint-Hélier,,35000,RENNES,,,,,Français
RENNES,BARBIER,Franck,FBA AVOCATS,799575485,20 rue du Bourg Nouveau,ZAC Atalante Champeaux,35000,RENNES,Droit de l'environnement,Droit rural,,,Français
RENNES,BARGAIN,Maxime,BARGAIN MAXIME,834389868,43/45 boulevard de la tour d'Auvergne,,35000,RENNES,,,,,"Anglais,Espagnol,Français"
RENNES,BARON,Bleuenn,BARON BLEUENN,990016412,10 rue de Toulouse,,35000,RENNES,,,,,Français
RENNES,BARRE,Floriane,BARRE FLORIANE,098301575,11 rue de Robien,,35000,RENNES,,,,,Français
RENNES,BARRÉ,Pascaline,BARRÉ PASCALINE,982507824,49 avenue aristide briand,,35000,RENNES,,,,,Français
RENNES,BARTHE,Fabien,CABINET LEMONNIER - BARTHE,801586280,Immeuble Le Capitole,54 bd de la tour d'Auvergne,35000,RENNES,Droit rural,,,,Français
RENNES,BATON,Irène,BATON IRÈNE,909435489,53 rue Jules Vallès,Immeuble le West Side,35043,RENNES,,,,,"Anglais,Français"
RENNES,BATRANCOURT,Aura,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BAUDET,Sabrina,BAUDET KIBGE AVOCATS ASSOCIÉS,993112200,126 rue de Lorient,,35000,RENNES,,,,,Français
RENNES,BECHERIE LE COZ,Azilis,BECHERIE LE COZ AZILIS,895233633,2 avenue Charles et Raymonde Tillon,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BEGOC,Patricia,PATRICIA BEGOC,844861310,105 avenue Henri Fréville,,35200,RENNES,Droit du travail,,,,Français
RENNES,BEGUIN,Emmanuelle,BEGUIN EMMANUELLE,982275091,9 rue de Vern,,35200,RENNES,,,,,Français
RENNES,BEIGELMAN,Juliette,BEIGELMAN JULIETTE,904843729,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,BELLENGER,Emilie,BELLENGER EMILIE,790360689,12 quai Duguay Trouin,,35000,RENNES,,,,,Français
RENNES,BERAUD-NORDEY,Timothy,BERAUD-NORDEY TIMOTHY,852246610,3 E rue de Paris,Immeuble Atalis 2,35510,CESSON SEVIGNE,,,,,Français
RENNES,BERNADAC,Sophie,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BERNARD,Manon,BERNARD MANON,990456808,32 rue de Redon,,35044,RENNES,,,,,Français
RENNES,BERNARD,Marie-Gaëlle,BERNARD MARIE-GAËLLE,880133590,12-14 rue Claude Bernard,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BERNARD,Natacha,BERNARD NATACHA,789827318,7 rue Jean Macé,,35700,RENNES,,,,,Français
RENNES,BERNARDET,Laura,BERNARDET LAURA,824717854,20 rue du Bourg Nouveau,ZAC Atalante Champeaux,35000,RENNES,,,,,Français
RENNES,BERNHARD,Stéphane,BERNHARD STÉPHANE,538617960,4 quai de Richemont,,35000,RENNES,,,,,Français
RENNES,BERTHAUT,Léo-Paul,BERTHAUT LÉO-PAUL,947736740,11 Ter Rue Surcouf,,35000,RENNES,,,,,Français
RENNES,BERTHELOT,Jean-Marie,BERTHELOT RANCHERE AVOCATS,920983970,2 avenue Charles Tillon,,35000,RENNES,,,,,Français
RENNES,BERTHET-LE FLOCH,Flora,BERTHET-LE FLOCH FLORA,530039676,6 quai de Richemont,,35000,RENNES,,,,,Français
RENNES,BERTHOU,Renaud,RENAUD BERTHOU CABINET DROITS ET LOIS,817964893,11 rue Louis Kerautret Botmel,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BEUCHER-FLAMENT,Elsa,QUESNEL DEMAY LE GALL-GUINEAU OUAIRY-JALLAIS BOUCHER BEUCHER-FLAMENT,938920394,1A allée Ermengarde d'Anjou,,35000,RENNES,,,,,Français
RENNES,BEZIZ,Laurent,LBBA,908220726,20 rue des Fossés,,35000,RENNES,,,,,Français
RENNES,BIGRE,Cécile,BIGRE CÉCILE,518887617,15 rue du Puits Mauger,,35000,RENNES,Droit du dommage corporel,,,,Français
RENNES,BIHAN,Gwendal,ARVOR AVOCATS,805294725,2 B rue de la Huguenoterie,3ème étage,35000,RENNES,,,,,Français
RENNES,BILLARD,Maroussia,CABS,851599233,29 avenue Jean Janvier,,35000,RENNES,,,,,Français
RENNES,BLANCHET,Céline,SELARL NUANCES AVOCATS,920391844,167 route de Lorient,Le Parc Monier,35000,RENNES,,,,,Français
RENNES,BLANCHET MAGON,Quentin,BLANCHET MAGON QUENTIN,492033923,1 place Maréchal Juin,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BLANCHIN,Florinda,BLANCHIN FLORINDA,519270979,2B rue de la Huguenoterie,Immeuble Alchimie,35000,RENNES,,,,,"Anglais,Français"
RENNES,BLANQUET,Marthe,BLANQUET MARTHE,844954008,5B rue René Dumont,,35000,RENNES,,,,,Français
RENNES,BLANQUET,Ronan,BLANQUET RONAN,509920385,6 rue Micheline Ostermeyer,,35000,RENNES,,,,,Français
RENNES,BLOSFELD-CRESSARD,Janina,BLOSFELD AVOCAT,814013355,4 Cours Raphaël Binet,,35000,RENNES,,,,,"Allemand,Anglais,Français"
RENNES,BLUTEAU,Karima,BLUTEAU AVOCAT,948593942,78 A rue Saint Hélier,1er étage,35000,RENNES,,,,,"Anglais,Français"
RENNES,BOCEL,Marine,BOCEL MARINE,922300041,11 rue de Robien,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BODIN,Philippe,ACSIAL AVOCATS,852223734,15 rue du Puits Mauger,,35000,RENNES,Droit de la sécurité sociale et de la protection sociale,Droit du travail,,,"Anglais,Français"
RENNES,BOIVIN-GOSSELIN,Anne,BOIVIN-GOSSELIN ANNE,444931265,1 place de Bretagne,,35000,RENNES,,,,,Français
RENNES,BONDIGUEL-SCHINDLER,Maud,BONDIGUEL & ASSOCIES,379163710,14 Bis rue Dupont des Loges,,35000,RENNES,Droit fiscal et droit douanier,,,,"Allemand,Anglais,Français"
RENNES,BONI,Esmé,BONI ESMÉ,827579962,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,BONNAUDEAU-FURIC,Yann,BONNAUDEAU-FURIC YANN,442085197,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,BONTE,Mikaël,BONTE MIKAËL,792698243,17 quai Lamartine,,35000,RENNES,Procédure d'appel,,,,Français
RENNES,BORDONADO,Mélanie,CGE AVOCATS,321616302,4 rue Jules Maillard de la Gournerie,Bâtiment E,35000,RENNES,,,,,Français
RENNES,BOSSARD,Georgina,BOSSARD GEORGINA,881917983,40 boulevard de la Tour d'Auvergne,Centre d'Affaires de la Cité,35000,RENNES,,,,,Français
RENNES,BOUCHER,Alexandre,QUESNEL DEMAY LE GALL-GUINEAU OUAIRY-JALLAIS BOUCHER BEUCHER-FLAMENT,938920394,1A allée Ermengarde d'Anjou,,35000,RENNES,,,,,Français
RENNES,BOUCHER,Anne-Sophie,BOUCHER ANNE-SOPHIE,789933066,1 place du Maréchal Juin,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BOUCHERIT,Mathilde,BOUCHERIT MATHILDE,938296498,"Immeuble ""Le Sully""",8 place du Colombier,35000,RENNES,,,,,Français
RENNES,BOUCHEZ,Valérie,NEOLIB AVOCATS,918640939,1 rue Poullain Duparc,,35000,RENNES,,,,,Français
RENNES,BOUJU,Romane,BOUJU ROMANE,931803548,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,BOULAIS,Emeric,SKOR AVOCATS,982296956,78 A rue Saint-Hélier,,35000,RENNES,,,,,Français
RENNES,BOULOUX-POCHARD,Christelle,DIFENN AVOCATS,824315667,2 rue Victor Boner,,35000,RENNES,Droit du travail,,,,"Allemand,Français"
RENNES,BOUNACEUR JOSSET,Amel,AVD AVOCAT,884250853,47 avenue des Pays Bas,,35200,RENNES,,,,,Français
RENNES,BOURDAIS,Stéphane,PODIUM,829769306,1 contour de la Motte,,35000,RENNES,,,,,Français
RENNES,BOUREL,Laurence,BOUREL LAURENCE,503273716,1 contour de la Motte,,35000,RENNES,"Droit commercial, des affaires et de la concurrence",,,,Français
RENNES,BOURGEOIS,Salomé,BOURGEOIS SALOMÉ,892636424,10 rue Franz Heller,Centre d'affaires Patton - Bâtiment E,35700,RENNES,,,,,Français
RENNES,BOURGES,Charline,BOURGES CHARLINE,,24 rue Raoul Dautry,,35000,RENNES,,,,,Français
RENNES,BOURGES,Luc,LUC BOURGES,790130900,9 place de Bretagne,,35000,RENNES,Procédure d'appel,,,,"Anglais,Espagnol,Français"
RENNES,BOURRELIER,Nolvenn,BOURRELIER NOLVENN,809181407,57 quai de la Prévalaye,,35000,RENNES,Droit des enfants,,,,"Anglais,Français"
RENNES,BOURROUILLOU,Solène,JOLLY BOURROUILLOU,814875019,9 bis rue de Lorient,,35000,RENNES,,,,,Français
RENNES,BOUZOU,Laurianne,SABEL,819697160,29 rue du Puits Mauger,,35000,RENNES,,,,,Français
RENNES,BRAULT,Elodie,BRAULT ELODIE,528480023,126 rue de Lorient,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BRENDER,Paul-Jérémy,SEED AVOCAT,878483965,7 boulevard Solférino,,35000,RENNES,,,,,Français
RENNES,BREUIL,Philippe,BREUIL PHILIPPE,824506901,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,Français
RENNES,BRIAND,Danièle,KEROSE,821486602,2 rue Pierre Joseph Colin,ZAC Atalante Champeaux,35000,RENNES,"Droit commercial, des affaires et de la concurrence",Droit international et de l'Union européenne,,,Français
RENNES,BRIAUD,Simon,MDL AVOCATS ASSOCIES,479522690,2 bis l'Abbaye Rue Saint Melaine,,35000,RENNES,,,,,Français
RENNES,BRILLAUD-LE CORRE,Aude,BRILLAUD-LE CORRE AUDE,924480718,8 place du Colombier,,35000,RENNES,,,,,Français
RENNES,BRUCHEC,Lisa,BRUCHEC LISA,909170573,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,BURBAN,Sébastien,BURBAN SÉBASTIEN,797426517,1 rue Raoul Ponchon,,35000,RENNES,,,,,Français
RENNES,BUROT,Frédéric,BUROT FRÉDÉRIC,417685674,16 esplanade du Champs de Mars,,35000,RENNES,,,,,"Anglais,Français"
RENNES,BUSON,Léa,HSA,538287210,40 boulevard de la Tour d'Auvergne,,35000,RENNES,,,,,Français
RENNES,CAHU,Marina,CAHU MARINA,834524068,3 B avenue Charles le Goffic,,35740,PACE,,,,,"Français,Langue des signes française"
