région administrative,adresse,code INSEE,commune,dep,population de la commune,N°UU,unité urbaine,population unité urbaine,latitude,longitude,AE,catégorie Art et Essai,label Art et Essai,genre,N° auto,nom,écrans,fauteuils
BRETAGNE,1 RUE SAINT HELIER,35238,Rennes,35,226654,35701,Rennes,375022,48.107745,-1.67277,1,A,RDJPPR,FIXE,3335055,CINE T.N.B,2,495
BRETAGNE,11 RUE DE CHATILLON,35238,RENNES,35,226654,35701,Rennes,375022,48.102357,-1.6744,1,A,RDJPPR,FIXE,3335121,CINEMA ARVOR,5,767
