nomInstallation,codeINSEECommune,codeIRIS,commune,codeDepartement,Département,codeRegion,Région,codeINSEECommuneImplantation,codeIRISCommuneImplantation,codeS3RENR,dateRaccordement,dateDeraccordement,dateMiseEnService,dateDebutVersion,codNat,codeTensionRaccordement,Tension raccordement,modeRaccordement,codeFiliere,Filière,codeCombustible,Combustible,codesCombustiblesSecondaires,Combustible secondaire,codeTechnologie,Technologie,puisMaxInstallee (kW),puisMaxRacCharge (kW),puisMaxCharge (kW),puisMaxRac (kW),nbGroupes,Régime,energieStockable,capaciteReservoir,hauteurChute,productible,debitMaximal,Energie Annuelle Injectée (MWh),Energie Annuelle Produite (MWh),Energie Annuelle Soutirée (MWh),Energie Annuelle Stockée (MWh)
JANAIT01 - GROUPE 01 DE LA CENTRALE THERMIQUE DE JANAIS (LA),35066,350660103,Chartres-de-Bretagne,35,,53,,35066,350660103,,1999-01-01,,,2003-10-01,JANAI,4,90 kV,INDIRECT,THERM,Thermique non renouvelable,GAZ,Gaz,,,COG.C,Cogénération à combustion,5800.0,0.0,0.0,0.0,1.0,En service,,,,,,485.0,7709.4,0.0,0.0
JANAIT02 - GROUPE 02 DE LA CENTRALE THERMIQUE DE JANAIS (LA),35066,350660103,Chartres-de-Bretagne,35,,53,,35066,350660103,,1999-01-01,,,2003-10-01,JANAI,4,90 kV,INDIRECT,THERM,Thermique non renouvelable,GAZ,Gaz,,,COG.C,Cogénération à combustion,5800.0,0.0,0.0,0.0,1.0,En service,,,,,,485.0,7709.4,0.0,0.0
