date_mesure,geocode_epci,libelle_epci,valeur
2021-01-01T00:00:00.000,243500139,Rennes Métropole,15
2022-01-01T00:00:00.000,243500139,Rennes Métropole,16
2023-01-01T00:00:00.000,243500139,Rennes Métropole,18
2024-01-01T00:00:00.000,243500139,Rennes Métropole,16
