UAI,Libellé,Adresse,Enseignements,Langues,Code departement,Département,Code region,Région,Code academie,Académie,Commune,Type d'établissement,Position,Secteur de l'établissement
0352686E,Lycée Anita Conti,Esplanade Anita Conti,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.03334269031083, -1.733614089815954",Public
0350028R,Lycée Bréquigny,7 avenue Georges Graff,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08457249925098, -1.688419551002567",Public
0350028R,Lycée Bréquigny,7 avenue Georges Graff,LV2,Turc,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08457249925098, -1.688419551002567",Public
0350734H,Collège les Chalais,25 avenue du Canada,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.0850336808838, -1.6798204949066526",Public
0350734H,Collège les Chalais,25 avenue du Canada,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.0850336808838, -1.6798204949066526",Public
0350734H,Collège les Chalais,25 avenue du Canada,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.0850336808838, -1.6798204949066526",Public
0350734H,Collège les Chalais,25 avenue du Canada,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.0850336808838, -1.6798204949066526",Public
0350027P,Collège les Gayeulles,140 boulevard de Vitre,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.12537928586194, -1.6499493581762867",Public
0352691K,Collège Andrée Récipon,6 rue de Pont Péan,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Orgères,Collège,"48.002837465005314, -1.6687005114684557",Public
0350874K,Collège Saint-Yves,3 rue Jeanne d'Arc,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Mordelles,Collège,"48.073796023393825, -1.8519406433123715",Privé
0351851X,Collège la Binquenais,40 boulevard Oscar Leroux,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.091110812924576, -1.6634066069978006",Public
0350801F,Lycée Jean-Paul II,2 rue Antoine de St Exupéry,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Grégoire,Lycée,"48.15986449029303, -1.6749995885276903",Privé
0350029S,Lycée Joliot Curie,144 boulevard de Vitré,LV2,Arabe,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125687227428486, -1.6481306020702366",Public
0350029S,Lycée Joliot Curie,144 boulevard de Vitré,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.125687227428486, -1.6481306020702366",Public
0352972R,Collège Saint-Louis - La Hublais,Avenue de la Hublais,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Collège,"48.1178507231933, -1.6165857137560533",Privé
0352972R,Collège Saint-Louis - La Hublais,Avenue de la Hublais,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Collège,"48.1178507231933, -1.6165857137560533",Privé
0351796M,Collège Émile Zola,2 avenue Janvier,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.106629422819154, -1.6731696810760333",Public
0351796M,Collège Émile Zola,2 avenue Janvier,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.106629422819154, -1.6731696810760333",Public
0350797B,Lycée polyvalent Jeanne d'Arc,61 rue la Fontaine,LV1,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.11924524245059, -1.6540806074427075",Privé
0350710G,Lycée Chateaubriand,136 boulevard de Vitré,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.1233633632789, -1.6494796949846533",Public
0350839X,Collège Saint-Hélier,7 rue Frère Salomon,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.10323527620077, -1.6604394705236643",Privé
0352071L,Collège Joséphine Bakhita,29 boulevard Emile Combes,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.09384402862993, -1.6672943520074563",Privé
0350760L,Collège Cleunay,26 rue Andrée Récipon,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.098814254968495, -1.709250420726049",Public
0350760L,Collège Cleunay,26 rue Andrée Récipon,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.098814254968495, -1.709250420726049",Public
0351638R,Collège Anne de Bretagne,15 rue Martenot,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.11327142418572, -1.6719805345060357",Public
0351638R,Collège Anne de Bretagne,15 rue Martenot,LV2,Russe,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.11327142418572, -1.6719805345060357",Public
0350776D,Lycée polyvalent Saint-Vincent Providence,57 rue de Paris,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.11372195398317, -1.663820040947764",Privé
0350776D,Lycée polyvalent Saint-Vincent Providence,57 rue de Paris,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.11372195398317, -1.663820040947764",Privé
0350793X,Lycée polyvalent Frédéric Ozanam,99 rue de la Chalotais,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Lycée,"48.12999050182102, -1.598099543380704",Privé
0352341E,Lycée Saint-Joseph,3 avenue Alphonse Legault,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.02503125665702, -1.7455206077313452",Privé
0352341E,Lycée Saint-Joseph,3 avenue Alphonse Legault,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.02503125665702, -1.7455206077313452",Privé
0352341E,Lycée Saint-Joseph,3 avenue Alphonse Legault,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.02503125665702, -1.7455206077313452",Privé
0352341E,Lycée Saint-Joseph,3 avenue Alphonse Legault,LV2,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.02503125665702, -1.7455206077313452",Privé
0351926D,Centre médical et pédagogique,41 avenue des Buttes de Coësmes,LV1,Anglais,,Ille-et-Vilaine,,Bretagne,,Rennes,Rennes,Collège,"48.12377332117261, -1.6379061902003618",
0351926D,Centre médical et pédagogique,41 avenue des Buttes de Coësmes,LV2,Espagnol,,Ille-et-Vilaine,,Bretagne,,Rennes,Rennes,Collège,"48.12377332117261, -1.6379061902003618",
0352319F,Collège Saint-Gabriel,59 avenue le Brix,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Pacé,Collège,"48.15345837379055, -1.7723000917146485",Privé
0350913C,Collège Clotilde Vautier,8 B rue de la Motte Brulon,LV2,Chinois,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.126256483139166, -1.6679296130380918",Public
0350692M,Unité pédagogique Robert Desnos CHU de Rennes,"2 rue Henri le Guilloux, CHU Rennes",LV1,Anglais,,Ille-et-Vilaine,,Bretagne,,Rennes,Rennes,Collège,"48.12102302769111, -1.6945019883472654",
0350835T,Collège La Tour d'Auvergne La Salle,6 rue de la Santé,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.10870279883151, -1.6857804410226962",Privé
0350852L,Collège Saint-Joseph,22 avenue de la Mare Guesclin,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Erblon,Collège,"48.02520405429156, -1.745639588615377",Privé
0352069J,Collège Saint-Vincent Providence,57 rue de Paris,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.11363570912166, -1.6651100452186143",Privé
0352069J,Collège Saint-Vincent Providence,57 rue de Paris,LV2,Russe,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.11363570912166, -1.6651100452186143",Privé
0350033W,Collège les Ormeaux,30 rue des Ormeaux,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.098650278359116, -1.6697994008226291",Public
0352686E,Lycée Anita Conti,Esplanade Anita Conti,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Bruz,Lycée,"48.03334269031083, -1.733614089815954",Public
0350028R,Lycée Bréquigny,7 avenue Georges Graff,LCA,Latin,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08457249925098, -1.688419551002567",Public
0350028R,Lycée Bréquigny,7 avenue Georges Graff,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.08457249925098, -1.688419551002567",Public
0352070K,Collège Assomption,18 boulevard Painleve,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.122379250771374, -1.6589194034352441",Privé
0350836U,Collège Saint-Martin - Quartier Sainte-Geneviève,14 D rue Guinguene,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.099055736554845, -1.6854604057056215",Privé
0352260S,Collège François Truffaut,Rue de la Rabine,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Betton,Collège,"48.17632035698209, -1.6508804172478202",Public
0352260S,Collège François Truffaut,Rue de la Rabine,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Betton,Collège,"48.17632035698209, -1.6508804172478202",Public
0300037C,Collège Jean Vilar,Avenue de Sabatot,LV1,Anglais,30,Gard,76,Occitanie,11,Montpellier,Saint-Gilles,Collège,"43.685516150351695, 4.434667601331774",Public
0350781J,Collège Notre-Dame du Vieux cours,19 boulevard de la Liberté,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.106415392837775, -1.6787187617227946",Privé
0350057X,Collège Jacques Prévert,Rue René Cutte,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Romillé,Collège,"48.219106849799665, -1.894700191160429",Public
0350780H,Collège Immaculée,2 rue Antoine de Saint Exupéry,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Grégoire,Collège,"48.159927985198166, -1.675580497757275",Privé
0350780H,Collège Immaculée,2 rue Antoine de Saint Exupéry,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Grégoire,Collège,"48.159927985198166, -1.675580497757275",Privé
0352589Z,Collège Jean Moulin,"Place Léopold Sédar Senghor, Saint Jacques de la Lande",LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Jacques-de-la-Lande,Collège,"48.076712992313155, -1.7144093290210372",Public
0352589Z,Collège Jean Moulin,"Place Léopold Sédar Senghor, Saint Jacques de la Lande",LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Jacques-de-la-Lande,Collège,"48.076712992313155, -1.7144093290210372",Public
0352959B,Collège Marie Curie,5 rue de la Buterne,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Laille,Collège,"47.98208062263773, -1.7140524721419692",Public
