insee,nom,nb_voisins,insee_voisins,noms_voisins,cap_voisins
35208,Orgères,5,35266|35032|35054|35139|35363,Saint-Erblon|Bourgbarré|Chanteloup|Laillé|Pont-Péan,25|83|139|241|321
35210,Pacé,9,35177|35059|35189|35238|35353|35240|35131|35275|35120,La Mézière|La Chapelle-des-Fougeretz|Montgermont|Rennes|Vezin-le-Coquet|Le Rheu|L'Hermitage|Saint-Gilles|Gévezé,17|45|88|123|152|182|220|270|347
35216,Parthenay-de-Bretagne,5,35120|35275|35081|35227|35245,Gévezé|Saint-Gilles|Clayes|Pleumeleuc|Romillé,39|205|241|264|316
35230,Poilley,5,35271|35357|35071|35191|35111,Saint-Georges-de-Reintembault|Villamée|Le Châtellier|Montours|Le Ferré,17|113|170|241|310
35235,Rannée,14,35008|35325|53098|53041|53197|53192|35077|35114|35239|35102|35199|35005|35359|35125,Availles-sur-Seiche|La Selle-Guerchaise|Fontaine-Couverte|Brains-sur-les-Marches|Saint-Aignan-sur-Roë|La Rouaudière|Chelun|Forges-la-Forêt|Retiers|Drouges|Moussé|Arbrissel|Visseiche|La Guerche-de-Bretagne,26|42|77|116|131|156|194|229|274|275|296|300|321|346
35238,Rennes,10,35024|35051|35055|35206|35281|35240|35353|35210|35189|35278,Betton|Cesson-Sévigné|Chantepie|Noyal-Châtillon-sur-Seiche|Saint-Jacques-de-la-Lande|Le Rheu|Vezin-le-Coquet|Pacé|Montgermont|Saint-Grégoire,19|81|120|168|217|258|278|303|331|357
35240,Le Rheu,7,35210|35353|35238|35281|35076|35196|35131,Pacé|Vezin-le-Coquet|Rennes|Saint-Jacques-de-la-Lande|Chavagne|Mordelles|L'Hermitage,2|46|78|118|185|255|316
35245,Romillé,8,35058|35144|35120|35216|35227|35023|35135|35180,La Chapelle-Chaussée|Langan|Gévezé|Parthenay-de-Bretagne|Pleumeleuc|Bédée|Irodouër|Miniac-sous-Bécherel,13|59|100|136|194|233|297|331
35250,Saint-Armel,4,35204|35088|35032|35352,Nouvoitou|Corps-Nuds|Bourgbarré|Vern-sur-Seiche,47|167|229|337
35266,Saint-Erblon,5,35352|35032|35208|35363|35206,Vern-sur-Seiche|Bourgbarré|Orgères|Pont-Péan|Noyal-Châtillon-sur-Seiche,36|156|205|258|338
35275,Saint-Gilles,8,35216|35120|35210|35131|35065|35040|35227|35081,Parthenay-de-Bretagne|Gévezé|Pacé|L'Hermitage|La Chapelle-Thouarault|Breteil|Pleumeleuc|Clayes,25|31|90|141|186|250|320|360
35278,Saint-Grégoire,5,35024|35238|35189|35059|35173,Betton|Rennes|Montgermont|La Chapelle-des-Fougeretz|Melesse,49|177|258|296|357
35281,Saint-Jacques-de-la-Lande,6,35238|35206|35066|35047|35076|35240,Rennes|Noyal-Châtillon-sur-Seiche|Chartres-de-Bretagne|Bruz|Chavagne|Le Rheu,37|121|161|199|245|298
35310,Saint-Sauveur-des-Landes,6,35273|35243|35063|35293|35280|35267,Saint-Germain-en-Coglès|Romagné|La Chapelle-Saint-Aubert|Saint-Marc-sur-Couesnon|Saint-Hilaire-des-Landes|Saint-Étienne-en-Coglès,33|94|180|221|256|347
35315,Saint-Sulpice-la-Forêt,4,35067|35152|35024|35197,Chasné-sur-Illet|Liffré|Betton|Mouazé,7|101|236|285
35334,Thorigné-Fouillard,4,35152|35001|35051|35024,Liffré|Acigné|Cesson-Sévigné|Betton,44|103|193|301
35351,Le Verger,5,35331|35196|35037|35319|35187,Talensac|Mordelles|Bréal-sous-Montfort|Saint-Thurial|Monterfil,15|72|114|185|261
35352,Vern-sur-Seiche,7,35055|35099|35204|35250|35032|35266|35206,Chantepie|Domloup|Nouvoitou|Saint-Armel|Bourgbarré|Saint-Erblon|Noyal-Châtillon-sur-Seiche,2|69|122|157|190|216|269
35353,Vezin-le-Coquet,3,35238|35240|35210,Rennes|Le Rheu|Pacé,98|226|332
35363,Pont-Péan,6,35206|35266|35208|35139|35047|35066,Noyal-Châtillon-sur-Seiche|Saint-Erblon|Orgères|Laillé|Bruz|Chartres-de-Bretagne,29|78|141|195|293|349
