Colonne;Type;Description_FR;Description_EN;Exemple
com2020;integer;Commune;Commune;01001
semaine_glissante;string;Semaine glissante;Rolling 7 day period;2020-09-13-2020-09-19
clage_65;integer;0 si taux d'incidence toute classe d'âge, 65 si taux d'incidence pour les personnes âgées de plus de 65 ans;0 if incidence rate for any age group, 65 if incidence rate for people over 65 years of age;0
ti_classe;string;Classe du territoire par rapport au nombre de nouveaux cas positifs pour 100 000 habitants sur 7 jours glissants;Territory classification with respect to the number of new cases per 100,000 inhabitants over a rolling 7 day period;[10;20[
td_classe;string;Classe du territoire par rapport au nombre de tests réalisés, qu'il soient positifs ou négatifs, pour 100.000 habitants sur 7 jours glissants;Territory classification with respect to the number of tests realised, whether positive or negative, per 100,000 inhabitants over a rolling 7 day period;[10;20[
tp_classe;string;Classe du territoire par rapport au nombre de tests positifs rapportés au nombre de tests réalisés sur 7 jours glissants;Territory classification with respect to the number of positive tests in relation to the number of tests carried out over a rolling 7 day period;[10;20[
