iris2019,semaine_glissante,clage_65,ti_classe,td_classe,tp_classe
350010101,2020-10-20-2020-10-26,0,[150;250[,[1500;2000[,[10;15[
350010102,2020-10-20-2020-10-26,0,[150;250[,[1000;1500[,[10;15[
350220000,2020-10-20-2020-10-26,0,[150;250[,[2000;2500[,[5;10[
350240101,2020-10-20-2020-10-26,0,[250;500[,[2000;2500[,[15;20[
350240102,2020-10-20-2020-10-26,0,[150;250[,[2000;2500[,[5;10[
350240103,2020-10-20-2020-10-26,0,[150;250[,[2000;2500[,[5;10[
350240104,2020-10-20-2020-10-26,0,[250;500[,[1500;2000[,[15;20[
350320000,2020-10-20-2020-10-26,0,[150;250[,[1500;2000[,[10;15[
350390000,2020-10-20-2020-10-26,0,[50;150[,[1000;1500[,[5;10[
350470101,2020-10-20-2020-10-26,0,[150;250[,[1000;1500[,[10;15[
350470102,2020-10-20-2020-10-26,0,[50;150[,[1500;2000[,[5;10[
350470103,2020-10-20-2020-10-26,0,[250;500[,[2000;2500[,[15;20[
350470104,2020-10-20-2020-10-26,0,[150;250[,[1500;2000[,[10;15[
350470105,2020-10-20-2020-10-26,0,[150;250[,[1000;1500[,[10;15[
350470106,2020-10-20-2020-10-26,0,[150;250[,[1500;2000[,[10;15[
350510101,2020-10-20-2020-10-26,0,[250;500[,[2000;2500[,[10;15[
350510102,2020-10-20-2020-10-26,0,[250;500[,[2000;2500[,[10;15[
350510103,2020-10-20-2020-10-26,0,[250;500[,[2000;2500[,[10;15[
350510104,2020-10-20-2020-10-26,0,[10;20[,[800;1000[,[1;5[
350510105,2020-10-20-2020-10-26,0,[150;250[,[2500;Max],[5;10[
350510201,2020-10-20-2020-10-26,0,[10;20[,[2000;2500[,[0;1[
350510202,2020-10-20-2020-10-26,0,[250;500[,[2000;2500[,[15;20[
350510203,2020-10-20-2020-10-26,0,[500;1000[,[1500;2000[,[30;Max]
350510204,2020-10-20-2020-10-26,0,[50;150[,[1500;2000[,[5;10[
350550101,2020-10-20-2020-10-26,0,[50;150[,[1500;2000[,[5;10[
350550102,2020-10-20-2020-10-26,0,[250;500[,[1500;2000[,[15;20[
350550103,2020-10-20-2020-10-26,0,[250;500[,[1000;1500[,[20;25[
350580000,2020-10-20-2020-10-26,0,[250;500[,[1500;2000[,[20;25[
