Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,Type de lycée,IPS voie GT,IPS voie PRO,IPS Ensemble GT-PRO,Ecart-type de l'IPS voie GT,Ecart-type de l'IPS voie PRO
2016-2017,RENNES,35,ILLE-ET-VILAINE,0352867B,SGT EDUCATION NATIONALE DU LYCEE AGRICOLE THEODORE MONOD,35240,LE RHEU,public,LEGT,123.1,,123.1,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350026N,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE,35238,RENNES,public,LEGT,126.4,,126.4,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350029S,LYCEE GENERAL ET TECHNOLOGIQUE JOLIOT CURIE,35238,RENNES,public,LEGT,122.1,,122.1,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350031U,LYCEE PROFESSIONNEL JEAN JAURES LYCEE DES METIERS,35238,RENNES,public,LP,,94.9,94.9,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350777E,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MARTIN,35238,RENNES,privé sous contrat,LEGT,137.4,,137.4,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350783L,COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN / SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,LEGT,119.8,,119.8,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0351878B,LYCEE PROFESSIONNEL COETLOGON,35238,RENNES,public,LP,,82.7,82.7,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350030T,LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DU BATIMENT ET DE L ENERGETIQUE,35238,RENNES,public,LPO,122.4,89.2,105.0,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350059Z,LYCEE PROFESSIONNEL BREQUIGNY,35238,RENNES,public,LP,,85.5,85.5,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350777E,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MARTIN,35238,RENNES,privé sous contrat,LEGT,137.2,,137.2,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350801F,LYCEE GENERAL PRIVE JEAN PAUL II,35278,SAINT GREGOIRE,privé sous contrat,LEGT,133.8,,133.8,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0352009U,LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH,35238,RENNES,public,LEGT,120.7,,120.7,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0352304P,LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE,35051,CESSON SEVIGNE,public,LEGT,134.4,,134.4,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0352867B,SGT EDUCATION NATIONALE DU LYCEE AGRICOLE THEODORE MONOD,35240,LE RHEU,public,LEGT,124.9,,124.9,,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350026N,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE,35238,RENNES,public,LEGT,127.5,,127.5,37.6,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350028R,LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY,35238,RENNES,public,LEGT,113.3,,113.3,38.4,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350031U,LYCEE PROFESSIONNEL JEAN JAURES LYCEE DES METIERS,35238,RENNES,public,LP,,92.9,92.9,,31.3
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350777E,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MARTIN,35238,RENNES,privé sous contrat,LEGT,138.0,,138.0,28.7,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350793X,LYCEE POLYVALENT PRIVE FREDERIC OZANAM,35051,CESSON SEVIGNE,privé sous contrat,LPO,125.6,110.4,118.5,32.6,29.7
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350783L,COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN / SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,LEGT,114.8,,114.8,35.9,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0352686E,LYCEE GENERAL ET TECHNOLOGIQUE ANITA CONTI,35047,BRUZ,public,LEGT,122.4,,122.4,33.7,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350032V,LYCEE PROFESSIONNEL LOUIS GUILLOUX LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE LA MODE,35238,RENNES,public,LP,,91.7,91.7,,33.0
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350783L,COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN - SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,LEGT,116.7,,116.7,35.5,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350795Z,LYCEE POLYVALENT PRIVE DE LA SALLE LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,35238,RENNES,privé sous contrat,LPO,116.4,106.8,109.9,36.6,33.2
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350801F,LYCEE GENERAL PRIVE JEAN PAUL II,35278,SAINT GREGOIRE,privé sous contrat,LEGT,133.7,,133.7,31.9,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0352009U,LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH,35238,RENNES,public,LEGT,119.3,,119.3,40.2,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0352341E,LYCEE GENERAL PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,LEGT,135.5,,135.5,30.0,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0352686E,LYCEE GENERAL ET TECHNOLOGIQUE ANITA CONTI,35047,BRUZ,public,LEGT,124.0,,124.0,32.7,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350032V,LYCEE PROFESSIONNEL LOUIS GUILLOUX LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE LA MODE,35238,RENNES,public,LP,,87.4,87.4,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350776D,LYCEE POLYVALENT PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,LPO,137.1,88.0,133.4,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350793X,LYCEE POLYVALENT PRIVE FREDERIC OZANAM,35051,CESSON SEVIGNE,privé sous contrat,LPO,125.7,108.4,117.5,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350795Z,LYCEE POLYVALENT PRIVE DE LA SALLE LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,35238,RENNES,privé sous contrat,LPO,122.9,105.1,111.2,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0351054F,LYCEE PROFESSIONNEL CHARLES TILLON,35238,RENNES,public,LP,,89.8,89.8,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350028R,LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY,35238,RENNES,public,LEGT,115.5,,115.5,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350783L,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,LEGT,112.7,,112.7,,
