Dispositif,Type de structure,Année d'agrément,Type,Désignation,Sigle,Activité,Localisation,Début d'agrément,Fin d'agrément,Numéro SIREN,Base SIRENE : Catégorie de l'établissement siège,Base SIRENE : Code APE de l'établissement siège,Base SIRENE : Activité principale exercée (APE) par l'établissement siège,Code postal,Ville,Téléphone,Lien vers la fiche scanR,Commune,Unité urbaine,Département,Académie,Région,Pays,Code commune (France),Code de l'unité urbaine (France),Code du département (France),Code de l'académie (France),Code de la région (France),Code ISO du Pays,Géolocalisation,type
CII,Organismes privés agréés,"2020,2021,2022,2023,2024",Organisme,MONOQLE,MNQ,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2020,2024,809392897,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2021,2022,2023",Organisme,DAVIDSON OUEST,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2021,2023,493128128,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2021,2022,2023,2024,2025",Organisme,POLUX,POLUX,Design Autres (à préciser dans la case « commentaire » de Gecir),Bretagne>Rennes>Ille-et-Vilaine>Rennes,2021,2025,830654828,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2022,2023,2024",Organisme,DILEPIX,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2022,2024,838273357,Non renseignée,6201Z,Programmation informatique,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2023,2024,2025,2026,2027",Organisme,BA TECHNICS,,Electronique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Pacé,2023,2027,529850000,PME,7112B,"Ingénierie, études techniques",35740,PACE,,,Pacé,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35210,UU35701,D035,A14,R53,FR,"48.152548244, -1.77716643787",OPA
CII,Organismes privés agréés,"2023,2024,2025,2026,2027",Organisme,ACSYSTEME,,Automatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2023,2027,441000775,PME,7490B,"Activités spécialisées, scientifiques et techniques diverses",35700,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2024,2025,2026",Organisme,VEONUM,SAS,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2024,2026,839319605,,,,35700,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2026,2027,2028",Organisme,STIRWELD,STIRWELD,Mécanique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2026,2028,832024350,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2013,2014,2015,2016",Organisme,LET SERVICES,,Electronique,Bretagne>Rennes>Ille-et-Vilaine>Vern-sur-Seiche,2013,2016,328667159,ETI,6202A,Conseil en systèmes et logiciels informatiques,35770,VERN SUR SEICHE,,,Vern-sur-Seiche,Vern-sur-Seiche,Ille-et-Vilaine,Rennes,Bretagne,France,35352,UU35219,D035,A14,R53,FR,"48.0525245014, -1.60521106164",OPA
CII,Organismes privés agréés,"2015,2016,2017",Organisme,ADVENTIEL,SENOE,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Pacé,2015,2017,493274161,PME,6201Z,Programmation informatique,35740,PACE,,,Pacé,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35210,UU35701,D035,A14,R53,FR,"48.152548244, -1.77716643787",OPA
