date_mesure,geocode_commune,libelle_commune,numerateur,denominateur,valeur
2023-01-01T00:00:00.000,35352,Vern-sur-Seiche,0.0,1.0,0.0
2023-01-01T00:00:00.000,35136,Janzé,0.0,1.0,0.0
2024-01-01T00:00:00.000,35139,Laillé,0.0,1.0,0.0
2023-01-01T00:00:00.000,35131,L'Hermitage,0.0,1.0,0.0
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,0.0,1.0,0.0
2025-01-01T00:00:00.000,35204,Nouvoitou,0.0,1.0,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,0.0,1.0,0.0
2024-01-01T00:00:00.000,35065,La Chapelle-Thouarault,0.0,1.0,0.0
2023-01-01T00:00:00.000,35189,Montgermont,0.0,1.0,0.0
2024-01-01T00:00:00.000,35352,Vern-sur-Seiche,0.0,1.0,0.0
2025-01-01T00:00:00.000,35200,Moutiers,0.0,1.0,0.0
2023-01-01T00:00:00.000,35039,Brécé,0.0,1.0,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,0.0,1.0,0.0
2024-01-01T00:00:00.000,35278,Saint-Grégoire,0.0,1.0,0.0
2023-01-01T00:00:00.000,35079,Chevaigné,0.0,1.0,0.0
2025-01-01T00:00:00.000,35135,Irodouër,0.0,1.0,0.0
2023-01-01T00:00:00.000,35275,Saint-Gilles,0.0,1.0,0.0
2024-01-01T00:00:00.000,35022,Bécherel,0.0,1.0,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,0.0,1.0,0.0
2024-01-01T00:00:00.000,35266,Saint-Erblon,0.0,1.0,0.0
2023-01-01T00:00:00.000,35065,La Chapelle-Thouarault,0.0,1.0,0.0
2023-01-01T00:00:00.000,35081,Clayes,0.0,1.0,0.0
2025-01-01T00:00:00.000,35208,Orgères,0.0,1.0,0.0
2024-01-01T00:00:00.000,35189,Montgermont,0.0,1.0,0.0
2023-01-01T00:00:00.000,35250,Saint-Armel,0.0,1.0,0.0
2024-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,0.0,1.0,0.0
2024-01-01T00:00:00.000,35235,Rannée,0.0,1.0,0.0
2025-01-01T00:00:00.000,35024,Betton,0.0,1.0,0.0
2024-01-01T00:00:00.000,35250,Saint-Armel,0.0,1.0,0.0
2025-01-01T00:00:00.000,35001,Acigné,0.0,1.0,0.0
2023-01-01T00:00:00.000,35235,Rannée,0.0,1.0,0.0
2023-01-01T00:00:00.000,35144,Langan,0.0,1.0,0.0
