code_insee,nom,code_commune,est_une_commune,proportion_diplomes_master,revenu_net_median_par_uc,population_politique,population_totale,region_sociale,pixel,ordonnee_dans_le_carre,abcisse_dans_le_carre
352381206,Saint-Yves,35238,0,0.226797385,27770,1712,2163,A1,83,0.86531218420946,0.30981550301536
352381207,Les Champs Manceaux,35238,0,0.04788069,10740,911,1840,C1,12,0.019548104714341,0.15058749475846
352400101,Est et Sud,35240,0,0.198924731,26250,1648,2489,A1,83,0.82421057093613,0.31586561168136
352400102,Nord,35240,0,0.165247018,23700,1749,2371,A1,72,0.7288394810326,0.17719873518846
352400103,Ouest,35240,0,0.185686653,24910,3284,4674,A1,83,0.78501977980376,0.29011807430684
352450000,Romillé (commune non irisée),35245,1,0.112750263,24110,2957,4119,B1,63,0.64119526692671,0.2935675539925
352500000,Saint-Armel (commune non irisée),35250,1,0.084283903,24030,1672,2271,B2,65,0.5654272331848,0.46460400486476
352660000,Saint-Erblon (commune non irisée),35266,1,0.109560935,24630,2498,3466,B2,64,0.65443683085535,0.35615078487937
352750000,Saint-Gilles (commune non irisée),35275,1,0.134404283,24860,3855,5402,A1,73,0.71053667769778,0.32769821382811
352780101,Nord-Est,35278,0,0.263661971,30990,3747,5191,A2,96,0.91010292286936,0.58472369387216
352780102,Sud,35278,0,0.267870579,33940,1433,1718,A3,97,0.92731645850819,0.71203125925494
352780103,Nord-Ouest,35278,0,0.281395348,35130,2268,2928,A3,97,0.93630707127932,0.72931862007238
352810101,Le Pigeon Blanc,35281,0,0.177802017,22990,3811,5039,A1,72,0.72977336300809,0.13161761689968
352810201,Centre Ville,35281,0,0.105912476,19120,4330,6397,B1,41,0.36047371868128,0.064904547101497
352810202,Aéroport-Écarts,35281,0,0.066881028,22170,1518,2220,B2,44,0.40675151164555,0.39024694456286
353100000,Saint-Sauveur-des-Landes (commune non irisée),35310,1,0.041553748,22940,1132,1551,B3,48,0.36164220508599,0.8271619454113
353150000,Saint-Sulpice-la-Forêt (commune non irisée),35315,1,0.234390009,28170,1083,1499,A1,83,0.87414534195874,0.30856965443273
353340101,Ouest,35334,0,0.217797643,29020,2540,3448,A2,84,0.87308234811945,0.39717204978878
353340102,Nord-Est,35334,0,0.216711956,30670,1517,1972,A2,85,0.88719811871661,0.51180724251804
353340103,Sud-Est,35334,0,0.237288135,28130,2328,3161,A1,83,0.87580933198061,0.29669693006802
353510000,Le Verger (commune non irisée),35351,1,0.077386934,23440,1008,1419,B2,55,0.51721823859647,0.47338864083477
353520101,Nord,35352,0,0.109533468,23620,2042,2551,B1,63,0.613637983544,0.26674329379386
353520102,Ouest,35352,0,0.172681589,30160,2331,3135,A3,87,0.85677282544958,0.6834282004723
353520103,Sud et Est,35352,0,0.100685292,26180,1932,2546,A2,76,0.69043328954915,0.65812496166468
353530000,Vezin-le-Coquet (commune non irisée),35353,1,0.156016597,24660,4658,6337,A1,73,0.73948729066456,0.23952133438145
353630000,Pont-Péan (commune non irisée),35363,1,0.097654995,25090,3195,4335,B2,65,0.64493411825209,0.50565871268308
