insee,nom,wikipedia,surf_m2,lat_centro,lon_centro,statut,x_chf_lieu,y_chf_lieu,z_moyen,population,code_cant,code_arr,code_dept,nom_dept,code_reg,nom_region
35250,Saint-Armel,fr:Saint-Armel (Ille-et-Vilaine),7865221.000000000000000,-1.580602930445000,48.013332644829198,Commune simple,3579,67778,42,1.8,07,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35278,Saint-Grégoire,fr:Saint-Grégoire (Ille-et-Vilaine),17499549.000000000000000,-1.685363625172780,48.158478935815900,Commune simple,3517,67937,45,8.3,52,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35352,Vern-sur-Seiche,fr:Vern-sur-Seiche,19925991.000000000000000,-1.605171339187700,48.052843026599199,Commune simple,3573,67815,47,8.1,46,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35120,Gévezé,fr:Gévezé,27748324.000000000000000,-1.798979895155440,48.213364354513203,Commune simple,3446,68017,74,3.9,31,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35315,Saint-Sulpice-la-Forêt,fr:Saint-Sulpice-la-Forêt,6751141.000000000000000,-1.575936163325370,48.212391630463699,Commune simple,3600,68007,68,1.4,19,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35079,Chevaigné,fr:Chevaigné,10404191.000000000000000,-1.636318989090140,48.224458793570001,Commune simple,3563,68002,56,1.8,34,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35144,Langan,fr:Langan,7770761.000000000000000,-1.845019365952390,48.235891736070599,Commune simple,3399,68048,102,0.9,04,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35275,Saint-Gilles,fr:Saint-Gilles (Ille-et-Vilaine),20973252.000000000000000,-1.853742266373870,48.152346253635997,Commune simple,3413,67946,54,3.8,24,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35022,Bécherel,fr:Bécherel,566797.000000000000000,-1.942917369255050,48.296330477822799,Chef-lieu canton,3334,68109,148,0.7,04,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35180,Miniac-sous-Bécherel,fr:Miniac-sous-Bécherel,13624878.000000000000000,-1.926817558361230,48.281018496014802,Commune simple,3343,68097,142,0.7,04,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35245,Romillé,fr:Romillé,28924675.000000000000000,-1.878691780872500,48.222461843877902,Commune simple,3368,68018,105,3.6,04,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35058,La Chapelle-Chaussée,fr:La Chapelle-Chaussée,14795064.000000000000000,-1.863969453044970,48.266687031081901,Commune simple,3400,68078,124,1.1,04,3,35,ILLE-ET-VILAINE,53,BRETAGNE
