Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS,Ecart-type de l'IPS
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350852L,COLLEGE PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,129.8,32.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350965J,COLLEGE LE LANDRY,35238,RENNES,public,112.1,44.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351906G,COLLEGE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,134.0,36.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352069J,COLLEGE PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,132.8,36.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352071L,COLLEGE PRIVE SAINTE THERESE,35238,RENNES,privé sous contrat,81.5,26.5
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350734H,COLLEGE LES CHALAIS,35238,RENNES,public,75.6,32.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350781J,COLLEGE PRIVE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,129.8,34.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350835T,COLLEGE PRIVE LA TOUR D AUVERGNE LA SALLE,35238,RENNES,privé sous contrat,122.0,36.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350836U,COLLEGE PRIVE SAINT MARTIN QUARTIER SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,110.3,36.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351638R,COLLEGE ANNE DE BRETAGNE,35238,RENNES,public,128.1,40.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352070K,COLLEGE PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,142.3,30.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352260S,COLLEGE FRANCOIS TRUFFAUT,35024,BETTON,public,124.5,37.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352274G,COLLEGE FRANCOISE DOLTO,35210,PACE,public,119.5,38.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350057X,COLLEGE JACQUES PREVERT,35245,ROMILLE,public,110.0,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350835T,COLLEGE PRIVE LA TOUR D AUVERGNE,35238,RENNES,privé sous contrat,119.4,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350836U,COLLEGE PRIVE SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,110.9,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350965J,COLLEGE LE LANDRY,35238,RENNES,public,117.9,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351053E,COLLEGE JEAN MONNET,35136,JANZE,public,103.5,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351851X,COLLEGE LA BINQUENAIS,35238,RENNES,public,78.3,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352069J,COLLEGE PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,133.4,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352071L,COLLEGE PRIVE SAINTE THERESE,35238,RENNES,privé sous contrat,82.9,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352319F,COLLEGE PRIVE SAINT GABRIEL,35210,PACE,privé sous contrat,134.6,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352691K,COLLEGE ANDREE RECIPON,35208,ORGERES,public,119.3,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350963G,COLLEGE DES HAUTES OURMES,35238,RENNES,public,82.6,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351053E,COLLEGE JEAN MONNET,35136,JANZE,public,107.0,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351638R,COLLEGE ANNE DE BRETAGNE,35238,RENNES,public,129.4,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351852Y,COLLEGE DE FONTENAY,35066,CHARTRES DE BRETAGNE,public,112.6,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351906G,COLLEGE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,131.1,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352260S,COLLEGE FRANCOIS TRUFFAUT,35024,BETTON,public,128.5,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352541X,COLLEGE THEODORE MONOD,35352,VERN SUR SEICHE,public,120.5,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352589Z,COLLEGE JEAN MOULIN,35281,SAINT JACQUES DE LA LANDE,public,99.5,
