Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS,Ecart-type de l'IPS
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350760L,COLLEGE CLEUNAY,35238,RENNES,public,95.8,42.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350780H,COLLEGE PRIVE IMMACULEE,35278,SAINT GREGOIRE,privé sous contrat,137.7,31.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350839X,COLLEGE PRIVE SAINT HELIER,35238,RENNES,privé sous contrat,132.5,30.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350913C,COLLEGE CLOTILDE VAUTIER,35238,RENNES,public,81.1,39.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350963G,COLLEGE DES HAUTES OURMES,35238,RENNES,public,87.0,37.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352319F,COLLEGE PRIVE SAINT GABRIEL,35210,PACE,privé sous contrat,133.5,30.9
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352541X,COLLEGE THEODORE MONOD,35352,VERN SUR SEICHE,public,119.7,33.9
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352691K,COLLEGE ANDREE RECIPON,35208,ORGERES,public,118.4,35.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352972R,COLLEGE PRIVE SAINT MICHEL,35051,CESSON SEVIGNE,privé sous contrat,98.1,33.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350027P,COLLEGE LES GAYEULLES,35238,RENNES,public,101.0,43.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350866B,COLLEGE PRIVE SAINT JOSEPH,35136,JANZE,privé sous contrat,116.9,31.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351796M,COLLEGE EMILE ZOLA,35238,RENNES,public,114.3,42.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352070K,COLLEGE PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,142.1,31.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352691K,COLLEGE ANDREE RECIPON,35208,ORGERES,public,120.9,35.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350027P,COLLEGE LES GAYEULLES,35238,RENNES,public,102.4,46.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350852L,COLLEGE PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,128.4,33.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350963G,COLLEGE DES HAUTES OURMES,35238,RENNES,public,86.3,37.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351053E,COLLEGE JEAN MONNET,35136,JANZE,public,107.6,35.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352260S,COLLEGE FRANCOIS TRUFFAUT,35024,BETTON,public,124.4,36.7
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350002M,COLLEGE PIERRE BROSSOLETTE,35047,BRUZ,public,115.9,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350033W,COLLEGE LES ORMEAUX,35238,RENNES,public,132.4,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350759K,COLLEGE ECHANGE,35238,RENNES,public,115.7,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350874K,COLLEGE PRIVE SAINT YVES,35196,MORDELLES,privé sous contrat,117.8,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351847T,COLLEGE GEORGES BRASSENS,35240,LE RHEU,public,120.2,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352071L,COLLEGE PRIVE SAINTE THERESE,35238,RENNES,privé sous contrat,80.3,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350033W,COLLEGE LES ORMEAUX,35238,RENNES,public,137.2,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350866B,COLLEGE PRIVE SAINT JOSEPH,35136,JANZE,privé sous contrat,114.0,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350874K,COLLEGE PRIVE SAINT YVES,35196,MORDELLES,privé sous contrat,115.0,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350895H,COLLEGE ROSA PARKS,35238,RENNES,public,78.8,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351796M,COLLEGE EMILE ZOLA,35238,RENNES,public,122.0,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352030S,COLLEGE MORVAN LEBESQUE,35196,MORDELLES,public,112.8,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352541X,COLLEGE THEODORE MONOD,35352,VERN SUR SEICHE,public,123.5,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350057X,COLLEGE JACQUES PREVERT,35245,ROMILLE,public,114.5,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352070K,COLLEGE PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,141.7,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350027P,COLLEGE LES GAYEULLES,35238,RENNES,public,110.1,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350033W,COLLEGE LES ORMEAUX,35238,RENNES,public,136.1,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350734H,COLLEGE LES CHALAIS,35238,RENNES,public,77.2,
