date_mesure,geocode_commune,libelle_commune,type_transport_en_commun,numerateur,denominateur,valeur
2025-01-01T00:00:00.000,35200,Moutiers,autres,0.0,905.0,0.0
2025-01-01T00:00:00.000,35230,Poilley,autres,0.0,380.0,0.0
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,autres,0.0,2266.0,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,autres,0.0,1565.0,0.0
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,autres,0.0,8678.0,0.0
2025-01-01T00:00:00.000,35189,Montgermont,métro,0.0,3777.0,0.0
2025-01-01T00:00:00.000,35001,Acigné,bus,8.0,6911.0,1.1575748806250905
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,métro,0.0,1557.0,0.0
2025-01-01T00:00:00.000,35190,Monthault,métro,0.0,250.0,0.0
2025-01-01T00:00:00.000,35250,Saint-Armel,métro,0.0,2344.0,0.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,métro,0.0,3615.0,0.0
2025-01-01T00:00:00.000,35238,Rennes,autres,0.0,227830.0,0.0
2025-01-01T00:00:00.000,35208,Orgères,bus,21.0,5602.0,3.7486611924312743
2025-01-01T00:00:00.000,35278,Saint-Grégoire,métro,0.0,9992.0,0.0
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,métro,0.0,4603.0,0.0
2025-01-01T00:00:00.000,35160,Loutehel,bus,0.0,235.0,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,autres,0.0,1557.0,0.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,métro,2.0,18076.0,0.11064394777605666
2025-01-01T00:00:00.000,35131,L'Hermitage,autres,0.0,4683.0,0.0
2025-01-01T00:00:00.000,35139,Laillé,bus,27.0,5154.0,5.238649592549476
2025-01-01T00:00:00.000,35001,Acigné,autres,0.0,6911.0,0.0
2025-01-01T00:00:00.000,35170,Mecé,métro,0.0,613.0,0.0
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,autres,0.0,6441.0,0.0
2025-01-01T00:00:00.000,35135,Irodouër,autres,0.0,2308.0,0.0
2025-01-01T00:00:00.000,35204,Nouvoitou,bus,12.0,3732.0,3.215434083601286
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,métro,0.0,8631.0,0.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,bus,14.0,3615.0,3.872752420470263
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,métro,0.0,1299.0,0.0
2025-01-01T00:00:00.000,35024,Betton,métro,0.0,12775.0,0.0
2025-01-01T00:00:00.000,35245,Romillé,métro,0.0,4154.0,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,bus,20.0,8272.0,2.4177949709864603
2025-01-01T00:00:00.000,35240,Le Rheu,bus,21.0,9823.0,2.1378397638196067
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,autres,0.0,7995.0,0.0
2025-01-01T00:00:00.000,35047,Bruz,autres,0.0,19667.0,0.0
2025-01-01T00:00:00.000,35144,Langan,autres,0.0,1090.0,0.0
2025-01-01T00:00:00.000,35189,Montgermont,autres,0.0,3777.0,0.0
2025-01-01T00:00:00.000,35189,Montgermont,bus,12.0,3777.0,3.177124702144559
2025-01-01T00:00:00.000,35204,Nouvoitou,métro,0.0,3732.0,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,métro,0.0,788.0,0.0
2025-01-01T00:00:00.000,35032,Bourgbarré,bus,16.0,4692.0,3.4100596760443307
2025-01-01T00:00:00.000,35039,Brécé,bus,7.0,2185.0,3.203661327231121
2025-01-01T00:00:00.000,35055,Chantepie,bus,19.0,10378.0,1.8307959144343806
2025-01-01T00:00:00.000,35079,Chevaigné,métro,0.0,2396.0,0.0
2025-01-01T00:00:00.000,35235,Rannée,autres,0.0,1081.0,0.0
2025-01-01T00:00:00.000,35351,Le Verger,bus,5.0,1404.0,3.561253561253561
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,autres,0.0,1299.0,0.0
2025-01-01T00:00:00.000,35039,Brécé,métro,0.0,2185.0,0.0
2025-01-01T00:00:00.000,35245,Romillé,bus,7.0,4154.0,1.685122773230621
2025-01-01T00:00:00.000,35144,Langan,métro,0.0,1090.0,0.0
2025-01-01T00:00:00.000,35250,Saint-Armel,bus,5.0,2344.0,2.1331058020477816
