codeDepartement,nomDepartement,codeCirconscription,nomCirconscription,codeCommune,nomCommune,numeroBureauVote,codeBureauVote
35,Ille-et-Vilaine,3503,3ème circonscription,35065,La Chapelle-Thouarault,0002,35065_0002
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0001,35066_0001
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0002,35066_0002
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0003,35066_0003
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0004,35066_0004
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0005,35066_0005
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0006,35066_0006
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0007,35066_0007
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0008,35066_0008
35,Ille-et-Vilaine,3501,1ère circonscription,35066,Chartres-de-Bretagne,0009,35066_0009
35,Ille-et-Vilaine,3508,8ème circonscription,35076,Chavagne,0001,35076_0001
35,Ille-et-Vilaine,3508,8ème circonscription,35076,Chavagne,0002,35076_0002
35,Ille-et-Vilaine,3508,8ème circonscription,35076,Chavagne,0003,35076_0003
35,Ille-et-Vilaine,3508,8ème circonscription,35076,Chavagne,0004,35076_0004
35,Ille-et-Vilaine,3506,6ème circonscription,35079,Chevaigné,0001,35079_0001
35,Ille-et-Vilaine,3506,6ème circonscription,35079,Chevaigné,0002,35079_0002
35,Ille-et-Vilaine,3508,8ème circonscription,35080,Cintré,0001,35080_0001
35,Ille-et-Vilaine,3508,8ème circonscription,35080,Cintré,0002,35080_0002
35,Ille-et-Vilaine,3503,3ème circonscription,35081,Clayes,0001,35081_0001
35,Ille-et-Vilaine,3505,5ème circonscription,35088,Corps-Nuds,0001,35088_0001
35,Ille-et-Vilaine,3505,5ème circonscription,35088,Corps-Nuds,0002,35088_0002
35,Ille-et-Vilaine,3505,5ème circonscription,35088,Corps-Nuds,0003,35088_0003
35,Ille-et-Vilaine,3503,3ème circonscription,35120,Gévezé,0001,35120_0001
35,Ille-et-Vilaine,3503,3ème circonscription,35120,Gévezé,0002,35120_0002
35,Ille-et-Vilaine,3503,3ème circonscription,35120,Gévezé,0003,35120_0003
35,Ille-et-Vilaine,3503,3ème circonscription,35120,Gévezé,0004,35120_0004
35,Ille-et-Vilaine,3503,3ème circonscription,35120,Gévezé,0005,35120_0005
35,Ille-et-Vilaine,3508,8ème circonscription,35131,L'Hermitage,0001,35131_0001
35,Ille-et-Vilaine,3508,8ème circonscription,35131,L'Hermitage,0002,35131_0002
35,Ille-et-Vilaine,3508,8ème circonscription,35131,L'Hermitage,0003,35131_0003
35,Ille-et-Vilaine,3507,7ème circonscription,35132,Hirel,0001,35132_0001
35,Ille-et-Vilaine,3507,7ème circonscription,35132,Hirel,0002,35132_0002
35,Ille-et-Vilaine,3503,3ème circonscription,35135,Irodouër,0001,35135_0001
35,Ille-et-Vilaine,3503,3ème circonscription,35135,Irodouër,0002,35135_0002
35,Ille-et-Vilaine,3505,5ème circonscription,35136,Janzé,0001,35136_0001
35,Ille-et-Vilaine,3505,5ème circonscription,35136,Janzé,0002,35136_0002
35,Ille-et-Vilaine,3505,5ème circonscription,35136,Janzé,0003,35136_0003
35,Ille-et-Vilaine,3505,5ème circonscription,35136,Janzé,0004,35136_0004
35,Ille-et-Vilaine,3505,5ème circonscription,35136,Janzé,0005,35136_0005
35,Ille-et-Vilaine,3505,5ème circonscription,35136,Janzé,0006,35136_0006
35,Ille-et-Vilaine,3505,5ème circonscription,35136,Janzé,0007,35136_0007
35,Ille-et-Vilaine,3505,5ème circonscription,35136,Janzé,0008,35136_0008
35,Ille-et-Vilaine,3504,4ème circonscription,35139,Laillé,0001,35139_0001
35,Ille-et-Vilaine,3504,4ème circonscription,35139,Laillé,0002,35139_0002
35,Ille-et-Vilaine,3504,4ème circonscription,35139,Laillé,0003,35139_0003
35,Ille-et-Vilaine,3504,4ème circonscription,35139,Laillé,0004,35139_0004
35,Ille-et-Vilaine,3504,4ème circonscription,35139,Laillé,0005,35139_0005
35,Ille-et-Vilaine,3503,3ème circonscription,35144,Langan,0001,35144_0001
35,Ille-et-Vilaine,3506,6ème circonscription,35150,Lécousse,0001,35150_0001
35,Ille-et-Vilaine,3506,6ème circonscription,35150,Lécousse,0002,35150_0002
35,Ille-et-Vilaine,3506,6ème circonscription,35150,Lécousse,0003,35150_0003
35,Ille-et-Vilaine,3506,6ème circonscription,35150,Lécousse,0004,35150_0004
35,Ille-et-Vilaine,3504,4ème circonscription,35160,Loutehel,0001,35160_0001
35,Ille-et-Vilaine,3505,5ème circonscription,35170,Mecé,0001,35170_0001
35,Ille-et-Vilaine,3503,3ème circonscription,35180,Miniac-sous-Bécherel,0001,35180_0001
35,Ille-et-Vilaine,3502,2ème circonscription,35189,Montgermont,0001,35189_0001
35,Ille-et-Vilaine,3502,2ème circonscription,35189,Montgermont,0002,35189_0002
35,Ille-et-Vilaine,3502,2ème circonscription,35189,Montgermont,0003,35189_0003
35,Ille-et-Vilaine,3506,6ème circonscription,35190,Monthault,0001,35190_0001
35,Ille-et-Vilaine,3508,8ème circonscription,35196,Mordelles,0001,35196_0001
35,Ille-et-Vilaine,3508,8ème circonscription,35196,Mordelles,0002,35196_0002
35,Ille-et-Vilaine,3508,8ème circonscription,35196,Mordelles,0003,35196_0003
35,Ille-et-Vilaine,3508,8ème circonscription,35196,Mordelles,0004,35196_0004
35,Ille-et-Vilaine,3508,8ème circonscription,35196,Mordelles,0005,35196_0005
35,Ille-et-Vilaine,3508,8ème circonscription,35196,Mordelles,0006,35196_0006
35,Ille-et-Vilaine,3505,5ème circonscription,35200,Moutiers,0001,35200_0001
35,Ille-et-Vilaine,3505,5ème circonscription,35204,Nouvoitou,0001,35204_0001
35,Ille-et-Vilaine,3505,5ème circonscription,35204,Nouvoitou,0002,35204_0002
