code UAI,n° SIRET,type d'établissement,nom,sigle,statut,tutelle,université de rattachement libellé et UAI,université de rattachement ID et URL Onisep,établissements liés libellés,établissements liés URL et ID Onisep,boîte postale,adresse,CP,commune,commune (COG),cedex,téléphone,arrondissement,département,académie,région,région (COG),longitude (X),latitude (Y),journées portes ouvertes,URL et ID Onisep,date création,date de modification
0352317D,19352317200016,institut d'études politiques,Institut d'études politiques (Sciences Po Rennes),IEP,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de Rennes (0353074B),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.34,Campus de Caen de l'Institut d'études politiques de Rennes à Caen (14),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18998,,104 Boulevard Duchesse Anne,35700,Rennes,35238,Cedex,02 99 84 39 39,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.66826,48.1207,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12523,06/06/2020,24/09/2025
0353130M,35119111900426,autre établissement d'enseignement,Studio M - AFTEC,,privé,,,,AFTEC à Rennes (35) | CFA du Groupe AFTEC à Rennes (35) | CFA IHECF - AFTEC à Rennes (35) | Institut des hautes études comptables et financières à Bruz (35) | IPAC Bachelor Factory à Rennes (35) | MBway Rennes à Rennes (35) | My Digital School Rennes à Rennes (35) | WIN Sport School Rennes à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15921 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23526 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25220 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2784 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23346 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23352 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23525 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23511,,16 avenue Henri Fréville,35200,Rennes,35238,,02 99 57 12 12,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6751331,48.0900293,le 10/06/2026 de 17h00 à 20h00 | le 20/06/2026 de 09h00 à 12h00 | le 08/07/2026 de 14h00 à 18h00,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25214,27/05/2025,08/12/2025
0351047Y,77774619900010,autre établissement d'enseignement,Institut des hautes études en droit rural et d'économie agricole,IHEDREA,privé,,,,École 3A à Rennes (35) | École de la responsabilité environnementale à Rennes (35) | École supérieure de l'immobilier à Rennes (35) | Saint-Ex Sup' à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17334 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22801 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22802 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24775,CS 84233,"Rue Fernand Robert, La Lande du Breil",35000,Rennes,35238,,02 99 59 93 52,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.708042,48.132255,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18412,06/06/2020,13/05/2026
0352267Z,50367276800168,centre de formation professionnelle,École Terrade Rennes - Solferino,,privé hors contrat,,,,,,,24 boulevard de Solférino,35000,Rennes,35238,,02 99 31 00 26,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.66916,48.1043,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13899,06/06/2020,06/02/2026
0352496Y,30540504500579,centre de formation d'apprentis,ISTELI - Institut supérieur du transport et de la logistique internationale,,privé,Ministère chargé des transports,,,CFA en transport et logistique - AFTRAL Cesson-Sévigné à Cesson-Sévigné (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23677,,1 avenue de Belle Fontaine,35510,Cesson-Sévigné,35051,,02 99 32 10 22,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6273893078184,48.12819805,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11059,06/06/2020,23/02/2026
0352715L,48538820100041,centre de formation d'apprentis,CFA de l'enseignement catholique de Bretagne,CFA ECB,privé,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,,,,9 rue Franz Heller,35700,Rennes,35238,Cedex 07,02 22 06 06 13,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6649,48.1252,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15918,06/06/2020,16/01/2025
0352253J,34752589100011,école d'art,MJM Graphic Design,,privé,,,,,,,29 rue de la Palestine,35000,Rennes,35238,,02 99 38 26 46,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.66603,48.1152,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2439,06/06/2020,25/07/2025
0352979Y,33889603800019,autre établissement d'enseignement,Sup Véto,,privé hors contrat,Ministère chargé de l'Éducation nationale,,,,,,"74 rue de Paris, Porte I",35000,Rennes,35238,,02 90 09 37,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6609671837519,48.1130536,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23999,08/09/2023,08/12/2025
0352982B,88162399500019,autre établissement d'enseignement,AGR l'école de l'image,,privé,,,,,,,35 avenue Aristide Briand,35000,Rennes,35238,,09 50 25 30 47,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6680669,48.1103196,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24412,23/04/2024,08/12/2025
0352475A,39305272500016,maison familiale rurale,Maison familiale urbaine,MFU,privé,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,CFTA de l'Abbaye de Montfort-sur-Meu à Montfort-sur-Meu (35) | Maison familiale rurale à Questembert (56) | Maison familiale rurale à Guilliers (56) | Maison familiale rurale à Landivisiau (29) | Maison familiale rurale à Saint-Méen-le-Grand (35) | Maison familiale rurale à Plérin (22) | Maison familiale rurale à Elliant (29) | Maison familiale rurale à Pleyben (29) | Maison familiale rurale à Plounévez-Lochrist (29) | Maison familiale rurale à Saint-Renan (29) | Maison familiale rurale à Baulon (35) | Maison familiale rurale à Fougères (35) | Maison familiale rurale à Goven (35) | Maison familiale rurale à Guipry-Messac (35) | Maison familiale rurale à Janzé (35) | Maison familiale rurale à Saint-Symphorien (35) | Maison familiale rurale - CFA à Saint-Aubin-d'Aubigné (35) | Maison familiale rurale - CFA à Loudéac (22) | Maison familiale rurale - CFA à Montauban-de-Bretagne (35) | Maison familiale rurale Formations Compétences Bretagne Centre à Lamballe-Armor (22) | Maison familiale rurale horticole à Saint-Grégoire (35) | Maison familiale rurale - IREO à Lesneven (29) | Maison familiale rurale Plabennec - Ploudaniel à Plabennec (29) | Maison familiale rurale Plabennec - Ploudaniel à Ploudaniel (29) | Maison familiale rurale - Rumengol à Le Faou (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3187 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11818 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13926 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2228 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8073 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5991 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11814 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16129 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6560 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9848 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14399 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11812 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5392 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6314 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18296 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9432 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11319 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2350 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11817 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24680 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15532 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16467 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2699 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16043 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6004,,12 Les Rabinardières,35760,Saint-Grégoire,35278,,02 23 25 01 66,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.688177,48.1768646,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16978,06/06/2020,07/01/2026
,,campus connecté,Campus connecté SupBox en détention Rennes,,public,,,,,,,"Rue du Petit Pré, Centre pénitentiaire",35132,Vezin-le-Coquet,35353,,02 56 01 56 00,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7397693,48.1066262,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22422,10/01/2022,08/03/2024
0352906U,81755147600044,centre de formation d'apprentis,Alticome,,privé,,,,,,,255 rue de Châteaugiron,35000,Rennes,35238,,02 23 44 74 69,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6327866,48.0936824,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22887,06/09/2022,17/12/2025
0353078F,43207084500065,autre établissement d'enseignement,Ecofac Business School,,privé,,,,,,,13 rue Robert de Moucon,35510,Cesson-Sévigné,35051,,02 23 30 00 11,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6114505,48.1284073,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3185,06/06/2020,19/02/2026
0353149H,,autre établissement d'enseignement,ENI École informatique - campus de Rennes,,privé,,,,ENI École informatique à Saint-Herblain (44) | ENI École informatique - campus de Niort à Niort (79) | ENI École Informatique - campus de Quimper à Quimper (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9398 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25194 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25236,,8 rue Léo Lagrange,35131,Chartres-de-Bretagne,35066,,02 23 30 18 50,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.692148,48.0389,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25237,13/06/2025,08/04/2026
0352337A,37910309600044,école d'ingénieurs,ECAM Louis de Broglie - campus de Rennes,,privé,,,,ECAM Louis de Broglie - campus de Cherbourg-en-Cotentin à Cherbourg-en-Cotentin (50),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25420,CS 29128,"Campus de Ker Lann, Contour Antoine de Saint Exupéry",35170,Bruz,35047,,02 99 05 84 00,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7411132550618,48.04779195,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8546,06/06/2020,19/02/2026
0352710F,42284649300035,école de gestion et de commerce,Esccot Groupe - EFIP,,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,Esccot Groupe - SOGESTE à Cesson-Sévigné (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11060,,11 rue des Charmilles,35510,Cesson-Sévigné,35051,,02 99 83 44 83,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6228297,48.1018719,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15054,06/06/2020,17/02/2026
0351884H,13002280900029,centre de formation d'apprentis,Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Rennes,,privé,Chambre de commerce et d'industrie,,,CFA de l'industrie de Bretagne de la CCI - antenne de Fougères à Fougères (35) | École d'audioprothèse de la Faculté des métiers de la CCI d'Ille et Vilaine à Fougères (35) | Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Fougères à Fougères (35) | Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Lorient à Lorient (56) | Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Saint-Malo à Saint-Malo (35) | Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Vannes à Vannes (56),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8267 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9351 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15594 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15534 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2384 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7125,BP 17201,"Rue des Frères Montgolfier, Campus de Ker Lann",35170,Bruz,35047,Cedex,02 99 05 45 45,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7448295,48.0434449,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8801,06/06/2020,07/05/2026
0352048L,26350007600017,école de santé,Institut de formation en ergothérapie de Rennes,IFE - IFPEK,privé,Ministère des Solidarités et de la Santé,,,Institut de formation en masso-kinésithérapie à Rennes (35) | Institut de formation en pédicurie podologie à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14397 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15954,,17 avenue Charles et Raymonde Tillon,35000,Rennes,35238,,02 99 33 25 14,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6952804,48.1255767,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2940,06/06/2020,16/03/2026
0352450Y,88087198300149,centre de formation d'apprentis,École supérieure de la banque Rennes,ESBanque,privé,,,,,,,227 rue de Chateaugiron,35000,Rennes,35238,,02 99 22 37 80,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.63537,48.0947,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1853,06/06/2020,11/05/2026
