code UAI,n° SIRET,type d'établissement,nom,sigle,statut,tutelle,université de rattachement libellé et UAI,université de rattachement ID et URL Onisep,établissements liés libellés,établissements liés URL et ID Onisep,boîte postale,adresse,CP,commune,commune (COG),cedex,téléphone,arrondissement,département,académie,région,région (COG),longitude (X),latitude (Y),journées portes ouvertes,URL et ID Onisep,date création,date de modification
0352977W,84069177800020,centre de formation d'apprentis,École digitale 301,,privé,,,,,,,801 avenue des champs blancs,35510,Cesson-Sévigné,35051,,02 44 10 13 50,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6038829,48.1197799,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24322,18/03/2024,24/02/2025
0352955X,44432511200035,autre établissement d'enseignement,Biopraxia école d'ostéopathie animale,,privé,,,,,,,18 rue de la Frébardière,35000,Rennes,35238,,02 23 40 45 64,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6267465,48.0992707,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13658,06/06/2020,05/11/2025
0352952U,42968925000067,centre de formation d'apprentis,Lodima Ouest,,privé,,,,Lodima Ouest à Quimper (29) | Lodima Ouest à Lanester (56),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23063 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23062,,45 rue Louis Blériot,35170,Bruz,35047,,02 99 35 59 93,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7512514,48.0445189,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23083,02/12/2022,14/10/2025
0351976H,77769814300024,maison familiale rurale,Maison familiale rurale horticole,MFR,privé sous contrat,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,CFTA de l'Abbaye de Montfort-sur-Meu à Montfort-sur-Meu (35) | Maison familiale rurale à Questembert (56) | Maison familiale rurale à Guilliers (56) | Maison familiale rurale à Landivisiau (29) | Maison familiale rurale à Saint-Méen-le-Grand (35) | Maison familiale rurale à Plérin (22) | Maison familiale rurale à Elliant (29) | Maison familiale rurale à Pleyben (29) | Maison familiale rurale à Plounévez-Lochrist (29) | Maison familiale rurale à Saint-Renan (29) | Maison familiale rurale à Baulon (35) | Maison familiale rurale à Fougères (35) | Maison familiale rurale à Goven (35) | Maison familiale rurale à Guipry-Messac (35) | Maison familiale rurale à Janzé (35) | Maison familiale rurale à Saint-Symphorien (35) | Maison familiale rurale - CFA à Saint-Aubin-d'Aubigné (35) | Maison familiale rurale - CFA à Loudéac (22) | Maison familiale rurale - CFA à Montauban-de-Bretagne (35) | Maison familiale rurale Formations Compétences Bretagne Centre à Lamballe-Armor (22) | Maison familiale rurale - IREO à Lesneven (29) | Maison familiale rurale Plabennec - Ploudaniel à Plabennec (29) | Maison familiale rurale Plabennec - Ploudaniel à Ploudaniel (29) | Maison familiale rurale - Rumengol à Le Faou (29) | Maison familiale urbaine à Saint-Grégoire (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3187 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11818 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13926 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2228 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8073 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5991 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11814 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16129 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6560 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9848 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14399 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11812 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5392 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6314 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18296 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9432 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11319 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2350 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11817 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24680 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16467 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2699 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16043 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6004 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16978,BP 46325,Les Rabinardières,35760,Saint-Grégoire,35278,Cedex,02 99 68 81 11,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6888,48.1782,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15532,06/06/2020,27/02/2026
0353080H,81436722300066,autre établissement d'enseignement,École supérieure de commerce des affaires et du management,ESCAM,privé,,,,École supérieure de commerce des affaires et du management à Brest (29) | École supérieure de commerce des affaires et du management à Lorient (56),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13188 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19401,,167 route de Lorient,35000,Rennes,35238,,02 99 59 70 13,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7487438,48.1048139,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24653,26/08/2024,19/05/2026
0353159U,,école d'ingénieurs,École centrale d'électronique - Groupe ECE - campus de Rennes,,privé,,,,École centrale d'électronique - Groupe ECE - campus de Bordeaux à Bordeaux (33) | École centrale d'électronique - Groupe ECE - campus de Lyon à Lyon (69) | École centrale d'électronique - Groupe ECE - campus de Marseille à Marseille (13) | École centrale d'électronique - Groupe ECE - campus de Paris à Paris (75),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23132 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19049 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25589 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16003,,31 rue Monseigneur Duchesne,35000,Rennes,35238,,02 30 79 05 70,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.664772,48.1057625,le 08/06/2026,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25588,19/01/2026,03/03/2026
0352999V,,autre établissement d'enseignement,École privée des sciences informatiques - campus Rennes,EPSI,privé,,,,,,CS 84233,Rue Fernand Robert,35000,Rennes,35238,,02 85 52 33 10,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7086434,48.1323861,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22563,24/02/2022,06/05/2026
0353106L,41273026900229,centre de formation professionnelle,Arinfo I-Maginer,,privé,,,,,,,4 allée de la Bourgonnette,35000,Rennes,35238,,02 99 26 95 26,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6354885,48.0952706,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24431,29/04/2024,23/12/2025
0352354U,35119111900160,autre établissement d'enseignement,Institut des hautes études comptables et financières,IHECF,privé,,,,AFTEC à Rennes (35) | CFA du Groupe AFTEC à Rennes (35) | CFA IHECF - AFTEC à Rennes (35) | IPAC Bachelor Factory à Rennes (35) | MBway Rennes à Rennes (35) | My Digital School Rennes à Rennes (35) | Studio M - AFTEC à Rennes (35) | WIN Sport School Rennes à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15921 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23526 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25220 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23346 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23352 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23525 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25214 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23511,,"1 rue Pierre de Maupertuis, Campus de Ker Lann",35170,Bruz,35047,,02 99 57 11 26,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7423651,48.0489158,"le 03/06/2026 de 18h00 à 18h40, en virtuel | le 20/06/2026 de 09h00 à 13h00",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2784,06/06/2020,02/06/2025
0352494W,19350700100033,centre de formation d'apprentis,Centre de formation et de promotion professionnelle agricole,CFPPA,public,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,Centre de promotion sociale agricole à Combourg (35) | Lycée agricole Théodore Monod à Le Rheu (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22411 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12525,,Rue des Chardonnerets,35650,Le Rheu,35240,,02 99 60 87 77,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.8043956,48.094699,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22472,27/01/2022,07/01/2025
0352089F,77567227233372,école de santé,Croix-Rouge Compétence - site de Rennes,,privé,Ministère des Solidarités et de la Santé,,,,,,10 rue André et Yvonne Meynier,35000,Rennes,35238,,02 98 05 22 40,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.69164,48.1095,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5751,06/06/2020,17/12/2025
0352848F,75253547600150,école de gestion et de commerce,ESG Rennes,,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,5 boulevard René Laënnec,35000,Rennes,35238,,02 99 05 94 31,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.66568,48.1099,"du 15/04/2026 au 27/05/2026 de 17h00 à 19h00 (les mercredis 15 et 29 avril, puis 13 et 27 mai)",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16179,06/06/2020,08/01/2026
0353065S,13002280900185,autre établissement d'enseignement,École Ferrandi Paris - campus de Rennes,,privé,Chambre de commerce et d'industrie,,,"CFA Ferrandi Paris - site de Paris à Paris (75) | CFA Ferrandi Paris - site de Saint-Gratien à Saint-Gratien (95) | École Ferrandi Paris - campus de Bordeaux à Bordeaux (33) | FERRANDI Paris, l'école française de gastronomie et de management hôtelier à Paris (75)",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19366 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11608 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22978 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10492,,2 rue de Brest,35000,Rennes,35238,,02 99 33 63 50,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6877652,48.1124206,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22795,01/07/2022,19/05/2026
,77775006800051,école de formation sportive,Fédération régionale des MJC de Bretagne,FRMJC,privé sous contrat,Ministère chargé des sports,,,,,,5 rue de Lorraine,35000,Rennes,35238,,06 50 12 07 96,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.705982,48.12332,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16742,06/06/2020,04/03/2025
0353052C,44320061300026,centre de formation d'apprentis,CFA Formatives,IGC,privé,,,,Formatives - site de beaucouzé à Beaucouzé (49) | Formatives - site de Saint-Herblain à Saint-Herblain (44),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23505 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23502,,"74 rue de Paris, Centre d'affaires Oberthur",35000,Rennes,35238,,02 23 21 07 07,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6609671837519,48.1130536,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23501,10/03/2023,12/12/2025
0352845C,,école d'art,Le Pont Supérieur - Pôle d'enseignement supérieur spectacle vivant Bretagne-Pays de la Loire - Site de Rennes,PESSV,public,Ministère de la Culture et de la communication,,,,,,2 place Jean Normand,35200,Rennes,35238,,02 30 96 20 10,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6548241693553,48.08783495,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19414,06/06/2020,04/11/2025
0352373P,81099315400014,école d'ingénieurs,Institut polytechnique UniLaSalle - campus de Rennes,,privé,,,,Institut polytechnique UniLaSalle - campus d'Amiens à Amiens (80) | Institut polytechnique UniLaSalle - campus de Beauvais à Beauvais (60) | Institut polytechnique UniLaSalle - campus de Rouen à Mont-Saint-Aignan (76),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15929 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17183 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11998,,"12 avenue Robert Schuman, Campus de Ker Lann",35170,Bruz,35047,,02 99 05 88 00,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7453269951511,48.044534111879,le 03/06/2026 de 14h00 à 17h30 voir https://www.unilasalle.fr/portes-ouvertes-rdv-orientation,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11570,06/06/2020,07/01/2026
0352824E,39779265600100,autre établissement d'enseignement,Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Rennes,ISEN Yncréa Ouest,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Brest à Brest (29) | Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Caen à Caen (14) | Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Nantes à Carquefou (44) | Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Paris - Antony à Antony (92),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10130 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21973 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7463 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23341,,22 boulevard Saint-Conwoïon,35000,Rennes,35238,,02 30 13 02 50,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6887433,48.1042528,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19593,06/06/2020,07/11/2025
0352930V,75253547600150,autre établissement d'enseignement,Digital Campus,,privé,,,,,,,3 place du Général Giraud,35000,Rennes,35238,,02 30 96 35 46,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6785184,48.1056531,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13197,06/06/2020,16/02/2026
0351601A,77774615700059,école de santé,Institut de formation en masso-kinésithérapie,IFMK - IFPEK,privé,Ministère des Solidarités et de la Santé,,,Institut de formation en ergothérapie de Rennes à Rennes (35) | Institut de formation en pédicurie podologie à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2940 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15954,,17 avenue Charles et Raymonde Tillon,35000,Rennes,35238,,02 99 33 25 14,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6952804,48.1255767,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14397,06/06/2020,16/03/2026
0442065F,42985984600041,autre établissement d'enseignement,École Pivaut,,privé,,,,,,,50 rue Jules Andrade,35000,Rennes,35238,,02 23 46 09 88,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6486614,48.1094321,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17540,06/06/2020,17/11/2025
0352440M,,centre de formation de fonctionnaires,École normale supérieure de Rennes,ENS Rennes,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de Rennes (0353074B),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.34,,,,"Avenue Robert Schuman, Campus de Ker Lann",35170,Bruz,35047,,02 99 05 93 00,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.75055,48.0433,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5624,06/06/2020,15/04/2026
0353093X,91487009200022,école de gestion et de commerce,INSEEC,,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,INSEEC à Paris (75) | INSEEC à Le Bourget-du-Lac (73) | INSEEC à Bordeaux (33) | INSEEC à Lyon (69) | INSEEC à Bordeaux (33) | INSEEC à Beaune (21) | INSEEC à Paris (75) | INSEEC à Courbevoie (92) | INSEEC à Marseille (13) | INSEEC à Toulouse (31) | INSEEC à Paris (75) | INSEEC à Paris (75) | Sup de Pub - Omnes Education à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18359 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15130 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5209 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17240 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11786 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22424 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7368 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25353 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25411 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25412 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25355 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25360 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23995,,31 rue Monseigneur Duchesne,35000,Rennes,35238,,02 30 79 05 63,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.664772,48.1057625,"du 07/01/2026 au 17/06/2026, en virtuel (Masters of Science uniquement, deux mercredis par mois de 18h à 19h) voir https://www.inseec.com/evenement/ | le 06/06/2026 de 18h00 à 19h00, en virtuel (bachelor uniquement) voir https://www.inseec.com/evenement/",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23994,07/09/2023,13/05/2026
0352909X,44322022300012,école d'ingénieurs,École pour l'informatique et les techniques avancées - site de Rennes,EPITA,privé,,,,École pour l'informatique et les techniques avancées - site de Lyon à Lyon (69) | École pour l'informatique et les techniques avancées - site de Strasbourg à Strasbourg (67) | École pour l'informatique et les techniques avancées - site de Toulouse à Toulouse (31) | École pour l'informatique et les techniques avancées - site de Villejuif à Villejuif (94) | École pour l'informatique et les techniques avancées - site du Kremlin-Bicêtre à Le Kremlin-Bicêtre (94),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17864 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14965 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19681 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2239 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5017,,12 rue Jean-Louis Bertrand,35000,Rennes,35238,,02 57 22 08 11,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6885,48.1037,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9690,06/06/2020,24/02/2026
0352579N,77568013500826,centre de formation d'apprentis,Campus Promotrans Rennes,,privé,Ministère chargé des transports,,,,,,"Rue Urbain Leverrier, Campus de Ker-Lann",35170,Bruz,35047,,02 99 52 55 34,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.74419,48.0501,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13189,06/06/2020,06/03/2026
0352477C,35229235300054,école d'art,L'institut supérieur des arts appliqués - LISAA Rennes,,privé,,,,,,,13 rue Poullain Duparc,35000,Rennes,35238,,02 99 79 23 79,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.68105,48.1085,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16464,06/06/2020,23/01/2025
0352275H,80799301900056,autre établissement d'enseignement,ESUP Rennes,,privé,Ministère chargé de l'Éducation nationale,,,,,,"1 C rue Louis Braille, ZAC de la Courrouze",35136,Saint-Jacques-de-la-Lande,35281,,02 99 31 42 43,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.70542,48.0924,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10421,06/06/2020,23/02/2026
0351602B,77774615700059,école de santé,Institut de formation en pédicurie podologie,IFPP - IFPEK,privé,Ministère des Solidarités et de la Santé,,,Institut de formation en ergothérapie de Rennes à Rennes (35) | Institut de formation en masso-kinésithérapie à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2940 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14397,,17 avenue Charles et Raymonde Tillon,35000,Rennes,35238,,02 99 33 25 14,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6952804,48.1255767,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15954,06/06/2020,16/03/2026
0352785M,50219577900025,autre établissement d'enseignement,Institut supérieur d'optique,ISO,privé hors contrat,,,,,,,7 boulevard Solférino,35000,Rennes,35238,,02 23 40 10 20,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.67065,48.1044,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18774,06/06/2020,09/12/2025
0352818Y,51273717200027,école de santé,Institut d'ostéopathie de Rennes-Bretagne,IO Rennes-Bretagne,privé,Ministère des Solidarités et de la Santé,,,,,,"50 rue Blaise Pascal, Campus Rennes Atalante Ker Lann",35170,Bruz,35047,,02 99 57 19 62,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7405697,48.0505067,"le 13/06/2026 (en présentiel à partir de 9h30 ou 14h00 ou en webinaire à 11h30, sur inscription) voir https://www.osteo-rennes.fr/portes-ouvertes.php",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19437,06/06/2020,13/01/2026
0352985E,88329193200027,centre de formation d'apprentis,CFA 35 des préparateurs en pharmacie,CFA 35 PP,privé,,,,,,,"11 rue André et Yvonne Meynier, Immeuble Le Ponthus, Hall A",35000,Rennes,35238,,02 30 96 16 87,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7092306,48.1285154,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21895,05/02/2021,31/01/2024
0352842Z,34025814400286,autre établissement d'enseignement,Institut breton d'éducation permanente,IBEP,privé,Ministère chargé des sports,,,École Pigier Lorient à Lorient (56) | Institut breton d'éducation permanente à Vannes (56) | Institut breton d'éducation permanente à Morlaix (29) | Institut breton d'éducation permanente à Quimper (29) | Institut breton d'éducation permanente à Lorient (56) | Institut breton d'éducation permanente à Brest (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22678 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24582 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24579 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24581 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24578 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25097,,41 rue Charles Géniaux,35000,Rennes,35238,,02 99 86 11 86,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7136755,48.1117364,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15729,06/06/2020,29/10/2025
0353003Z,35119111900293,autre établissement d'enseignement,My Digital School Rennes,,privé,,,,AFTEC à Rennes (35) | CFA du Groupe AFTEC à Rennes (35) | CFA IHECF - AFTEC à Rennes (35) | Institut des hautes études comptables et financières à Bruz (35) | IPAC Bachelor Factory à Rennes (35) | MBway Rennes à Rennes (35) | Studio M - AFTEC à Rennes (35) | WIN Sport School Rennes à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15921 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23526 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25220 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2784 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23346 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23352 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25214 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23511,,2 rue Gabriel Germain,35000,Rennes,35238,,02 57 24 04 15,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6923970271319,48.13221265,le 24/06/2026 de 17h00 à 20h00 | le 01/07/2026 de 17h00 à 20h00 | le 08/07/2026 | le 15/07/2026 | le 22/07/2026 | le 29/07/2026,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23525,16/03/2023,18/11/2025
0352779F,41894933500024,autre établissement d'enseignement,MENSA,,privé hors contrat,,,,,,,227 rue de Chateaugiron,35000,Rennes,35238,,02 99 22 77 22,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.63445,48.0948,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16718,06/06/2020,15/12/2023
0352854M,20002787800012,école des beaux-arts,École européenne supérieure d'art de Bretagne - site de Rennes,EESAB,public,Ministère de la Culture et de la communication,,,,,,34 rue Hoche,35000,Rennes,35238,,02 23 62 22 60,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.67725,48.1143,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16153,06/06/2020,18/02/2025
0352767T,30213447300198,autre établissement d'enseignement,Institut national des formations notariales,INFN,privé,Ministère de la Justice,,,,,,2 mail Anne Catherine,35000,Rennes,35238,,02 99 65 50 60,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.68583,48.1042,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5529,06/06/2020,11/12/2025
0352349N,42443712700014,université,Institut catholique de Rennes,ICR,privé,,,,,,,"48 rue Blaise Pascal, Campus de Ker Lann",35170,Bruz,35047,,02 99 05 84 75,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.742,48.046,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.77,06/06/2020,13/12/2021
0350699V,,unité de formation et de recherche,Institut de préparation à l'administration générale,IPAG,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de Rennes (0353074B),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.34,,,,106 boulevard de la Duchesse Anne,35700,Rennes,35238,,02 23 23 78 93,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6683,48.1208,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6604,06/06/2020,16/03/2026
