Année,ID Muséofile,Région,Commune,Nom du musée,Titre de l'exposition,Departement,URL,Coordonnees
2018,M0212,Bretagne,Rennes,musée de Bretagne,"Rennes, les vies d'une ville",Ille-et-Vilaine,www.musee-bretagne.fr/,"48.105455, -1.674922"
2014,M0212,Bretagne,Rennes,musée de Bretagne,"Terre Neuve, Terre neuvas",Ille-et-Vilaine,www.musee-bretagne.fr/,"48.105455, -1.674922"
2024,M0212,Bretagne,Rennes,musée de Bretagne,"Mourir, quelle histoire !",Ille-et-Vilaine,www.musee-bretagne.fr/,"48.105455, -1.674922"
2024,M0211,Bretagne,Rennes,musée des beaux-arts,Aérosol. Histoire(s) de graffiti,Ille-et-Vilaine,mba.rennes.fr,"48.109837, -1.674981"
2015,M0211,Bretagne,Rennes,musée des beaux-arts,Gilles Aillaud 1928-2005,Ille-et-Vilaine,mba.rennes.fr,"48.109837, -1.674981"
2017,M0211,Bretagne,Rennes,musée des beaux-arts,Le fabuleux destin des tableaux de l’abbé Desjardins ; Peintures françaises des XVIIe et XVIIIe siècles des églises et musées de Québec,Ille-et-Vilaine,mba.rennes.fr,"48.109837, -1.674981"
