date_mesure,geocode_epci,libelle_epci,sens_flux,valeur
2022-01-01T00:00:00.000,243500139,Rennes Métropole,entrant,98436.52894683117
2022-01-01T00:00:00.000,243500139,Rennes Métropole,sortant,30930.66766098202
2022-01-01T00:00:00.000,243500139,Rennes Métropole,interne,179417.22428497483
