date_mesure,geocode_commune,libelle_commune,sens_flux,valeur
2022-01-01T00:00:00.000,35204,Nouvoitou,sortant,1543.1956904808424
2022-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,entrant,100.80230914473636
2022-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,interne,80.97416973699323
2022-01-01T00:00:00.000,35136,Janzé,sortant,2840.3776722090283
2022-01-01T00:00:00.000,35353,Vezin-le-Coquet,entrant,1736.6407319837642
2022-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,entrant,950.3452395728823
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,interne,1356.2075484599286
2022-01-01T00:00:00.000,35352,Vern-sur-Seiche,entrant,4300.874656135099
2022-01-01T00:00:00.000,35240,Le Rheu,entrant,4890.404333791258
2022-01-01T00:00:00.000,35250,Saint-Armel,sortant,935.1037277669673
2022-01-01T00:00:00.000,35081,Clayes,sortant,425.7844611591052
2022-01-01T00:00:00.000,35039,Brécé,entrant,957.4210818606929
2022-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,sortant,3122.8359795382253
2022-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,entrant,143.55787252595235
2022-01-01T00:00:00.000,35139,Laillé,entrant,1154.0247926189236
2022-01-01T00:00:00.000,35047,Bruz,interne,2562.5926094087704
2022-01-01T00:00:00.000,35136,Janzé,entrant,2166.801701852984
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,entrant,1713.8908879086166
2022-01-01T00:00:00.000,35204,Nouvoitou,interne,200.51355177445575
2022-01-01T00:00:00.000,35150,Lécousse,interne,274.51136264079264
2022-01-01T00:00:00.000,35088,Corps-Nuds,interne,261.61733692883234
2022-01-01T00:00:00.000,35200,Moutiers,sortant,345.45698924731164
2022-01-01T00:00:00.000,35275,Saint-Gilles,entrant,1275.4724326566964
2022-01-01T00:00:00.000,35144,Langan,interne,72.1815472259693
2022-01-01T00:00:00.000,35001,Acigné,entrant,1523.3199735285623
2022-01-01T00:00:00.000,35139,Laillé,sortant,2049.6539253990513
2022-01-01T00:00:00.000,35144,Langan,sortant,477.50824518579265
2022-01-01T00:00:00.000,35351,Le Verger,entrant,75.55247784093261
2022-01-01T00:00:00.000,35250,Saint-Armel,entrant,320.07836213440777
2022-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,interne,60.0771704180064
2022-01-01T00:00:00.000,35022,Bécherel,entrant,249.48781480976223
2022-01-01T00:00:00.000,35131,L'Hermitage,entrant,1600.0065796839772
2022-01-01T00:00:00.000,35120,Gévezé,interne,308.7974359993798
2022-01-01T00:00:00.000,35196,Mordelles,entrant,1880.111572405867
2022-01-01T00:00:00.000,35200,Moutiers,interne,111.90860215053758
2022-01-01T00:00:00.000,35051,Cesson-Sévigné,sortant,5207.544494618086
2022-01-01T00:00:00.000,35275,Saint-Gilles,interne,498.9185291822879
2022-01-01T00:00:00.000,35079,Chevaigné,sortant,1119.1009988900364
2022-01-01T00:00:00.000,35352,Vern-sur-Seiche,sortant,3047.8089635734677
2022-01-01T00:00:00.000,35024,Betton,interne,934.7733180000448
2022-01-01T00:00:00.000,35278,Saint-Grégoire,entrant,10817.518543040293
2022-01-01T00:00:00.000,35208,Orgères,sortant,2269.000059084152
2022-01-01T00:00:00.000,35250,Saint-Armel,interne,117.56579676682563
2022-01-01T00:00:00.000,35160,Loutehel,sortant,87.09228446832927
2022-01-01T00:00:00.000,35081,Clayes,interne,31.48712768842768
2022-01-01T00:00:00.000,35131,L'Hermitage,interne,380.38449814605127
2022-01-01T00:00:00.000,35208,Orgères,entrant,750.1946389320939
2022-01-01T00:00:00.000,35081,Clayes,entrant,42.76281682104815
2022-01-01T00:00:00.000,35352,Vern-sur-Seiche,interne,695.0615867039278
2022-01-01T00:00:00.000,35278,Saint-Grégoire,interne,957.6743159407846
2022-01-01T00:00:00.000,35204,Nouvoitou,entrant,326.64573493169985
2022-01-01T00:00:00.000,35132,Hirel,entrant,81.55882088054648
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,interne,80.7884882294409
2022-01-01T00:00:00.000,35076,Chavagne,interne,335.4083497447787
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,sortant,5428.5919920321785
2022-01-01T00:00:00.000,35170,Mecé,interne,24.70549672877347
2022-01-01T00:00:00.000,35022,Bécherel,interne,67.54711903756808
2022-01-01T00:00:00.000,35238,Rennes,sortant,31950.787180487074
2022-01-01T00:00:00.000,35135,Irodouër,entrant,96.62182334952433
2022-01-01T00:00:00.000,35079,Chevaigné,entrant,131.76417660736706
2022-01-01T00:00:00.000,35210,Pacé,entrant,4560.694782514181
2022-01-01T00:00:00.000,35136,Janzé,interne,1021.9287410926373
2022-01-01T00:00:00.000,35189,Montgermont,sortant,1436.8545805621388
