country_code,eutl_id,country_name,name,activity_code,activity_name,city,zip_code,address1,address2,emissions_start_year,emissions_end_year,company_country_code,company_name,snapshot_date,year,emissions_tco2e,geometry
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2005,69450,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2006,66256,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2007,61089,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2008,63246,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2009,65346,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2010,70526,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2011,52709,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2012,56302,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2013,42296,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2014,21997,"{'x': -1.6818644999999999, 'y': 48.1119791}"
FR,185,France,ENERSUD- Chaufferie du Blosne,20,Combustion of fuels,Rennes,35000,Avenue des Pays Bas,,2005,,FR,ENERSUD,2026-06-21,2015,29714,"{'x': -1.6818644999999999, 'y': 48.1119791}"
