seqe_id,account_holder_name,installation_name,parent_company,latitude,longitude,address1,address2,city,zip_code,country,main_activity_type_code,year,emissions,main_activity
179,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,0,0,Route de Nantes,NA,Chartres de Bretagne,35131,FR,20,2017,29056,Combustion of fuels
179,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,0,0,Route de Nantes,NA,Chartres de Bretagne,35131,FR,20,2018,33389,Combustion of fuels
179,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,0,0,Route de Nantes,NA,Chartres de Bretagne,35131,FR,20,2019,38982,Combustion of fuels
179,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,0,0,Route de Nantes,NA,Chartres de Bretagne,35131,FR,20,2020,23865,Combustion of fuels
179,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,0,0,Route de Nantes,NA,Chartres de Bretagne,35131,FR,20,2021,21821,Combustion of fuels
179,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,0,0,Route de Nantes,NA,Chartres de Bretagne,35131,FR,20,2022,16436,Combustion of fuels
179,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,PEUGEOT CITROEN RENNES SNC,0,0,Route de Nantes,NA,Chartres de Bretagne,35131,FR,20,2023,14363,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2005,18987,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2006,15770,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2007,11533,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2008,11968,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2009,11187,Combustion of fuels
193,En'Rnov,En'Rnov,ENGIE ENERGIE SERVICES,0,0,22 Avenue Charles Tillon,NA,Rennes,35000,FR,20,2010,8318,Combustion of fuels
