X,Y,seqe_id,account_holder_name,name,parent_company,address1,address2,city,zip_code,country,main_activity_type_code,year,emissions,main_activity,datasource.sourcename
-1.7012578,48.0281458,190,SNC COGELYO OUEST,COGELYO OUEST - CITROEN LA JANAIS,SNC COGELYO OUEST,La Janais,,CHARTRES DE BRETAGNE,35131,FR,1,2008,25183,Combustion installations with a rated thermal input exceeding 20 MW,
-1.7012578,48.0281458,190,SNC COGELYO OUEST,COGELYO OUEST - CITROEN LA JANAIS,SNC COGELYO OUEST,La Janais,,CHARTRES DE BRETAGNE,35131,FR,1,2009,25412,Combustion installations with a rated thermal input exceeding 20 MW,
-1.7012578,48.0281458,190,SNC COGELYO OUEST,COGELYO OUEST - CITROEN LA JANAIS,SNC COGELYO OUEST,La Janais,,CHARTRES DE BRETAGNE,35131,FR,1,2010,24898,Combustion installations with a rated thermal input exceeding 20 MW,
-1.7012578,48.0281458,190,SNC COGELYO OUEST,COGELYO OUEST - CITROEN LA JANAIS,SNC COGELYO OUEST,La Janais,,CHARTRES DE BRETAGNE,35131,FR,1,2011,12371,Combustion installations with a rated thermal input exceeding 20 MW,
-1.7012578,48.0281458,190,SNC COGELYO OUEST,COGELYO OUEST - CITROEN LA JANAIS,SNC COGELYO OUEST,La Janais,,CHARTRES DE BRETAGNE,35131,FR,1,2012,12420,Combustion installations with a rated thermal input exceeding 20 MW,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2013,9556,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2014,10182,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2015,10886,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2016,11683,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2017,11471,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2018,11896,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2019,12358,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2020,12557,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2021,13047,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2022,13227,Combustion of fuels,
-1.8534691,48.1518137,204059,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,SOCIETE LAITIERE DE L'HERMITAGE,Place de la Gare,L'HERMITAGE,35590,FR,20,2023,5415,Combustion of fuels,
-1.7012578,48.0281458,215180,COGELYO OUEST,Cogelyo Ouest enceinte Citroen,ENGIE,"PSA LA JANAIS, Route de Nantes",,Chartres de Bretagne,35131,FR,20,2020,5129,Combustion of fuels,
-1.7012578,48.0281458,215180,COGELYO OUEST,Cogelyo Ouest enceinte Citroen,ENGIE,"PSA LA JANAIS, Route de Nantes",,Chartres de Bretagne,35131,FR,20,2021,14208,Combustion of fuels,
-1.7012578,48.0281458,215180,COGELYO OUEST,Cogelyo Ouest enceinte Citroen,ENGIE,"PSA LA JANAIS, Route de Nantes",,Chartres de Bretagne,35131,FR,20,2022,10706,Combustion of fuels,
-1.7012578,48.0281458,215180,COGELYO OUEST,Cogelyo Ouest enceinte Citroen,ENGIE,"PSA LA JANAIS, Route de Nantes",,Chartres de Bretagne,35131,FR,20,2023,4821,Combustion of fuels,
