Code INSEE commune ou arrondissement,Commune ou arrondissement,Source,Location intermédiaire,Location sociale,Location très sociale
30258,Saint-Gilles,Loyer OLL,"9,14","7,52","5,91"
35001,Acigné,Loyer OLL,"9,84","8,1","6,37"
35022,Bécherel,Loyer OLL,"8,96","7,38","5,8"
35024,Betton,Loyer OLL,"9,84","8,1","6,37"
35032,Bourgbarré,Loyer OLL,"8,96","7,38","5,8"
35039,Brécé,Loyer OLL,"8,96","7,38","5,8"
35047,Bruz,Loyer OLL,"9,84","8,1","6,37"
35051,Cesson-Sévigné,Loyer OLL,"11,33","9,33","7,33"
35055,Chantepie,Loyer OLL,"10,67","8,79","6,91"
35058,La Chapelle-Chaussée,Loyer OLL,"8,96","7,38","5,8"
35059,La Chapelle-des-Fougeretz,Loyer OLL,"8,96","7,38","5,8"
35065,La Chapelle-Thouarault,Loyer OLL,"8,96","7,38","5,8"
35066,Chartres-de-Bretagne,Loyer OLL,"9,84","8,1","6,37"
35076,Chavagne,Loyer OLL,"8,96","7,38","5,8"
35079,Chevaigné,Loyer OLL,"8,96","7,38","5,8"
35080,Cintré,Loyer OLL,"8,96","7,38","5,8"
35081,Clayes,Loyer OLL,"8,96","7,38","5,8"
35088,Corps-Nuds,Loyer OLL,"8,96","7,38","5,8"
35120,Gévezé,Loyer OLL,"8,96","7,38","5,8"
35131,L'Hermitage,Loyer OLL,"8,96","7,38","5,8"
35139,Laillé,Loyer OLL,"8,96","7,38","5,8"
35144,Langan,Loyer OLL,"8,96","7,38","5,8"
35180,Miniac-sous-Bécherel,Loyer OLL,"8,96","7,38","5,8"
35189,Montgermont,Loyer OLL,"9,84","8,1","6,37"
35196,Mordelles,Loyer OLL,"8,96","7,38","5,8"
35204,Nouvoitou,Loyer OLL,"8,96","7,38","5,8"
35206,Noyal-Châtillon-sur-Seiche,Loyer OLL,"9,84","8,1","6,37"
35208,Orgères,Loyer OLL,"8,96","7,38","5,8"
35210,Pacé,Loyer OLL,"9,84","8,1","6,37"
35216,Parthenay-de-Bretagne,Loyer OLL,"8,96","7,38","5,8"
35238,Rennes,Loyer OLL,"11,55","9,51","7,48"
35240,Le Rheu,Loyer OLL,"8,96","7,38","5,8"
35245,Romillé,Loyer OLL,"8,96","7,38","5,8"
35250,Saint-Armel,Loyer OLL,"8,96","7,38","5,8"
35266,Saint-Erblon,Loyer OLL,"8,96","7,38","5,8"
35275,Saint-Gilles,Loyer OLL,"8,96","7,38","5,8"
35278,Saint-Grégoire,Loyer OLL,"10,69","8,8","6,91"
35281,Saint-Jacques-de-la-Lande,Loyer OLL,"9,86","8,12","6,38"
35315,Saint-Sulpice-la-Forêt,Loyer OLL,"8,96","7,38","5,8"
35334,Thorigné-Fouillard,Loyer OLL,"9,84","8,1","6,37"
35351,Le Verger,Loyer OLL,"8,96","7,38","5,8"
35352,Vern-sur-Seiche,Loyer OLL,"8,96","7,38","5,8"
35353,Vezin-le-Coquet,Loyer OLL,"9,84","8,1","6,37"
35363,Pont-Péan,Loyer OLL,"8,96","7,38","5,8"
36196,Saint-Gilles,Loyer CDL,"4,97","4,09","3,21"
50483,Saint-Gilles,Loyer CDL,"6,9","5,68","4,47"
51484,Saint-Gilles,Loyer CDL,"8,46","6,96","5,47"
53042,Brecé,Loyer CDL,"5,06","4,17","3,27"
53214,Saint-Erblon,Loyer CDL,"7,77","6,4","5,03"
56205,Saint-Armel,Loyer OLL,"9,4","7,74","6,08"
61317,Orgères,Loyer CDL,"6,11","5,03","3,96"
61321,Pacé,Loyer OLL,"7,38","6,08","4,78"
71425,Saint-Gilles,Loyer OLL,"7,91","6,51","5,12"
81253,Saint-Grégoire,Loyer CDL,"5,7","4,7","3,69"
